title,Pathomedicine Exam 5 (Fall 2018),patho,legacy
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
"Intro: Female of 51-years presents for evaluation of an oral lesion of the inner cheek. HPI: The lesion has been present for several months and gets in the way during eating, but is otherwise asymptomatic. MedHx: Diabetes mellitus-- HbA1c of 7.5% (1 week ago), fasting blood glucose of 140 mg/dL (this morning). Meds: Metformin, vitamin D and a multivitamin. Allergies: NKDA. SocHx: Denies. PhysEx: BP: 136/84 HR: 76 Regional H&N: EOE: My regional head and neck examination demonstrated no extra-oral nodules, asymmetry, or other grossly visible signs of pathology. The examination was negative for clinically detectible cervical lymphadenopathy and clinically detectible TMD. IOE: Intra-orally I identified: 1) A 1.0 x 1.0 cm mucosa-colored, smooth-surfaced nodule of the left buccal mucosa. All oral mucosal surfaces including upper and lower labial mucosae, gingiva, tongue, FOM, right buccal mucosa, bilateral maxillary and mandibular buccal vestibules, hard palate, soft palate and clinically visible oropharynx appeared healthy with no visible signs of atypical inflammation, infection, neoplasia, or other pathology. Radiographic exam: No radiographs taken. Clinical impressions (diagnosis): The nodule most likely represents a fibroma. However, other possibilities including a lipoma and salivary gland neoplasia cannot be ruled out. This nodule requires surgical excision (biopsy) under local anesthetic with suture placement for wound closure. Question: Assuming the medical history is accurate and the management is appropriate, what disease has this patient been diagnosed with?",Hypothyroidism,Hyperthyroidism,Chronic pancreatitis,Type 1 diabetes mellitus,Type 2 diabetes mellitus.,,,E,
"Intro: Female of 51-years presents for evaluation of an oral lesion of the inner cheek. HPI: The lesion has been present for several months and gets in the way during eating, but is otherwise asymptomatic. MedHx: Diabetes mellitus-- HbA1c of 7.5% (1 week ago), fasting blood glucose of 140 mg/dL (this morning). Meds: Metformin, vitamin D and a multivitamin. Allergies: NKDA. SocHx: Denies. PhysEx: BP: 136/84 HR: 76 Regional H&N: EOE: My regional head and neck examination demonstrated no extra-oral nodules, asymmetry, or other grossly visible signs of pathology. The examination was negative for clinically detectible cervical lymphadenopathy and clinically detectible TMD. IOE: Intra-orally I identified: 1) A 1.0 x 1.0 cm mucosa-colored, smooth-surfaced nodule of the left buccal mucosa. All oral mucosal surfaces including upper and lower labial mucosae, gingiva, tongue, FOM, right buccal mucosa, bilateral maxillary and mandibular buccal vestibules, hard palate, soft palate and clinically visible oropharynx appeared healthy with no visible signs of atypical inflammation, infection, neoplasia, or other pathology. Radiographic exam: No radiographs taken. Clinical impressions (diagnosis): The nodule most likely represents a fibroma. However, other possibilities including a lipoma and salivary gland neoplasia cannot be ruled out. This nodule requires surgical excision (biopsy) under local anesthetic with suture placement for wound closure. Question: Do the HbA1c and fasting blood glucose indicate that this patient has well-controlled diabetes? Choose the most accurate statement from the choices below.",Well controlled; HbA1c and fasting blood glucose are at appropriate levels for a diabetic patient,"Poorly controlled; HbA1c is too high, but the fasting blood glucose is at an appropriate level for a diabetic patient",Poorly controlled; HbA1c and fasting blood glucose are at inappropriately high levels for a diabetic patient,"Poorly controlled; HbA1c is at an appropriate level for a diabetic patient, but the fasting blood glucose is too high",,,,C,
"Intro: Female of 51-years presents for evaluation of an oral lesion of the inner cheek. HPI: The lesion has been present for several months and gets in the way during eating, but is otherwise asymptomatic. MedHx: Diabetes mellitus-- HbA1c of 7.5% (1 week ago), fasting blood glucose of 140 mg/dL (this morning). Meds: Metformin, vitamin D and a multivitamin. Allergies: NKDA. SocHx: Denies. PhysEx: BP: 136/84 HR: 76 Regional H&N: EOE: My regional head and neck examination demonstrated no extra-oral nodules, asymmetry, or other grossly visible signs of pathology. The examination was negative for clinically detectible cervical lymphadenopathy and clinically detectible TMD. IOE: Intra-orally I identified: 1) A 1.0 x 1.0 cm mucosa-colored, smooth-surfaced nodule of the left buccal mucosa. All oral mucosal surfaces including upper and lower labial mucosae, gingiva, tongue, FOM, right buccal mucosa, bilateral maxillary and mandibular buccal vestibules, hard palate, soft palate and clinically visible oropharynx appeared healthy with no visible signs of atypical inflammation, infection, neoplasia, or other pathology. Radiographic exam: No radiographs taken. Clinical impressions (diagnosis): The nodule most likely represents a fibroma. However, other possibilities including a lipoma and salivary gland neoplasia cannot be ruled out. This nodule requires surgical excision (biopsy) under local anesthetic with suture placement for wound closure. Question: It is well-documented that patients with diabetes may be at risk for post-operative infections following surgical procedures. You plan to surgically excise the left buccal mucosal nodule under local anesthesia with placement of sutures for wound closure. Based on the fasting blood glucose, is this patient at elevated risk of post-operative infection following the aforementioned procedure?",True,False,,,,,,B,
"Intro: Female of 51-years presents for evaluation of an oral lesion of the inner cheek. HPI: The lesion has been present for several months and gets in the way during eating, but is otherwise asymptomatic. MedHx: Diabetes mellitus-- HbA1c of 7.5% (1 week ago), fasting blood glucose of 140 mg/dL (this morning). Meds: Metformin, vitamin D and a multivitamin. Allergies: NKDA. SocHx: Denies. PhysEx: BP: 136/84 HR: 76 Regional H&N: EOE: My regional head and neck examination demonstrated no extra-oral nodules, asymmetry, or other grossly visible signs of pathology. The examination was negative for clinically detectible cervical lymphadenopathy and clinically detectible TMD. IOE: Intra-orally I identified: 1) A 1.0 x 1.0 cm mucosa-colored, smooth-surfaced nodule of the left buccal mucosa. All oral mucosal surfaces including upper and lower labial mucosae, gingiva, tongue, FOM, right buccal mucosa, bilateral maxillary and mandibular buccal vestibules, hard palate, soft palate and clinically visible oropharynx appeared healthy with no visible signs of atypical inflammation, infection, neoplasia, or other pathology. Radiographic exam: No radiographs taken. Clinical impressions (diagnosis): The nodule most likely represents a fibroma. However, other possibilities including a lipoma and salivary gland neoplasia cannot be ruled out. This nodule requires surgical excision (biopsy) under local anesthetic with suture placement for wound closure. Question: This patient is at risk of developing several other diseases based on her diabetic status.  She is at risk of developing all of the following diseases due to her diabetic status, EXCEPT one. Which one is the EXCEPTION?",Cardiovascular disease,Retinopathy,Cataracts,Adrenal insufficiency,Muscle weakness,,,D,
"Intro: Female of 51-years presents for evaluation of an oral lesion of the inner cheek. HPI: The lesion has been present for several months and gets in the way during eating, but is otherwise asymptomatic. MedHx: Diabetes mellitus-- HbA1c of 7.5% (1 week ago), fasting blood glucose of 140 mg/dL (this morning). Meds: Metformin, vitamin D and a multivitamin. Allergies: NKDA. SocHx: Denies. PhysEx: BP: 136/84 HR: 76 Regional H&N: EOE: My regional head and neck examination demonstrated no extra-oral nodules, asymmetry, or other grossly visible signs of pathology. The examination was negative for clinically detectible cervical lymphadenopathy and clinically detectible TMD. IOE: Intra-orally I identified: 1) A 1.0 x 1.0 cm mucosa-colored, smooth-surfaced nodule of the left buccal mucosa. All oral mucosal surfaces including upper and lower labial mucosae, gingiva, tongue, FOM, right buccal mucosa, bilateral maxillary and mandibular buccal vestibules, hard palate, soft palate and clinically visible oropharynx appeared healthy with no visible signs of atypical inflammation, infection, neoplasia, or other pathology. Radiographic exam: No radiographs taken. Clinical impressions (diagnosis): The nodule most likely represents a fibroma. However, other possibilities including a lipoma and salivary gland neoplasia cannot be ruled out. This nodule requires surgical excision (biopsy) under local anesthetic with suture placement for wound closure. Question: You plan to surgically excise the left buccal mucosal nodule under local anesthesia with placement of sutures for wound closure. Which of the following would be the appropriate prophylactic antibiotic regimen for this patient?",2 grams amoxicillin 30 minutes prior to the appointment,600 mg clindamycin 30 minutes prior to the appointment,400 mg doxycycline hyclate 30 minutes prior to the appointment,Antibiotic prophylaxis is not indicated,,,,D,
"Intro: Female of 51-years presents for evaluation of an oral lesion of the inner cheek. HPI: The lesion has been present for several months and gets in the way during eating, but is otherwise asymptomatic. MedHx: Diabetes mellitus-- HbA1c of 7.5% (1 week ago), fasting blood glucose of 140 mg/dL (this morning). Meds: Metformin, vitamin D and a multivitamin. Allergies: NKDA. SocHx: Denies. BP: 136/84 HR: 76 PhysEx: Regional H&N: EOE: My regional head and neck examination demonstrated no extra-oral nodules, asymmetry, or other grossly visible signs of pathology. The examination was negative for clinically detectible cervical lymphadenopathy and clinically detectible TMD. IOE: Intra-orally I identified: 1) A 1.0 x 1.0 cm mucosa-colored, smooth-surfaced nodule of the left buccal mucosa. All oral mucosal surfaces including upper and lower labial mucosae, gingiva, tongue, FOM, right buccal mucosa, bilateral maxillary and mandibular buccal vestibules, hard palate, soft palate and clinically visible oropharynx appeared healthy with no visible signs of atypical inflammation, infection, neoplasia, or other pathology. Radiographic exam: No radiographs taken. Clinical impressions (diagnosis): The nodule most likely represents a fibroma. However, other possibilities including a lipoma and salivary gland neoplasia cannot be ruled out. This nodule requires surgical excision (biopsy) under local anesthetic with suture placement for wound closure. Question: You obtain oral and written consent to remove the nodule from the left buccal mucosa under local anesthesia. You have successfully anesthetized the area, completely excised the nodule and achieved hemostasis using three interrupted 4-0 chromic gut sutures. You tell the patient she handled the procedure wonderfully. Yet her response to you is difficult to understand. You ask that she repeat herself and she mentions that she feels very weak. You also note that she is sweating. Is it possible that she is experiencing insulin shock?",True,False,,,,,,A,
Thyroid stimulating hormone is released from the:,Anterior pituitary,Posterior pituitary,Parafollicular C cells,Adrenal cortex,Adrenal medulla,,,A,
Drop foot is related to injury of the:,Peroneal nerve,Sciatic nerve,Superior gluteal nerve,Tibial nerve,Sural nerve,,,A,
Metabolic ketoacidosis occurs in:,Type 1 diabetes mellitus,Type 2 diabetes mellitus,Chronic lymphocytic thyroiditis (Hashimoto thyroiditis),Grave's disease,Sheehan disease,,,A,
"A female of 35-years presents to your practice for recall. You note that her face is red, she is fidgety and her eyes seem to be protruding more than you recall at prior visits. Your assistant notes that her heart rate is elevated. What is the most likely association?",Hyperparathyroidism,Adrenal insufficiency,Hypothyroidism,Hyperthyroidism,Hypoparathyroidism,,,D,
Thyroid storm constitutes a medical emergency. It may precipitate a lethal arrhythmia in some patients. This would most likely be associated with:,Hypoparathyroidism,Hyperparathyroidism,Chronic lymphocytic thyroiditis (Hashimoto thyroiditis),Grave's disease,Sheehan disease,,,D,
All of the following are features of Grave's EXCEPT one. Which one is the EXCEPTION?,Higher incidence in women compared to men,IgG antibodies that mimic the action of thyroid stimulating hormone,Weak genetic association,Most common cause of endogenous hyperthyroidism,Autoimmune disorder,,,C,
Statement 1: Serum thyroid stimulating hormone is increased in primary hypothyroidism. Statement 2: Serum thyroid stimulating hormone is NOT increased in secondary hypothyroidism.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,,A,
A female of 38-years developed hypothyroidism. A fine needle aspiration biopsy was taken from an enlarged area of her thyroid. Histopathological review of the specimen showed granulomatous inflammation. What was the most likely diagnosis?,Subacute granulomatous thyroiditis,Chronic lymphocytic thyroiditis (Hashimoto thyroiditis),Subacute lymphocytic thyroiditis,Riedel thyroiditis,Iodine deficiency,,,A,
What is the most common cause of hypothyroidism in areas of the world with sufficient iodine levels?,Subacute granulomatous thyroiditis,Chronic lymphocytic thyroiditis (Hashimoto thyroiditis),Subacute lymphocytic thyroiditis,Riedel thyroiditis,Iodine deficiency,,,B,
Patients with chronic lymphocytic thyroiditis (Hashimoto thyroiditis) are at elevated risk for:,Non-Hodgkin B cell lymphomas,Melanoma,Cutaneous squamous cell carcinoma,Oral squamous cell carcinoma,Colonic adenocarcinoma,,,A,
Which of the following neoplastic entities demonstrates the presence of amyloid upon histopathological review of tissue?,Anaplastic thyroid carcinomas,Follicular adenoma,Papillary thyroid carcinoma,Medullary thyroid carcinoma,Parathyroid carcinoma,,,D,
Endemic goiter is typically identified in geographic areas with:,Excess iodine,Minimal iodine,Normal levels of iodine,,,,,B,
Activation of protein kinase C through hyperglycemia is most closely related to:,Promoting synthesis of VEGF and TGF-beta,Overuse of NADPH diminishing availability of glutathione reductase (GSH),Drop foot,Autoimmune destruction of pancreatic alpha cells,Release of pro-inflammatory cytokines and release of reactive oxygen species (ROS),,,A,
The daily endogenous cortisol secretion in adults is approximately 20 mg. This is equivalent to approximately:,20 mg of prednisone,10 mg of prednisone,5 mg of prednisone,2 of prednisone,25 mg of prednisone,,,C,
All of the following are functions cortisol EXCEPT one. Which one is the EXCEPTION?,Inhibits uptake of glucose in the peripheral tissues,Activates osteoblasts,Inhibits lysosome release,Inhibits endothelial expression of adhesion molecules,Inhibits arachidonic acid metabolism,,,B,
"All of the following are secreted by the adrenal cortex, EXCEPT one. Which one is the EXCEPTION?",Cortisol,Aldosterone,Androgens,Epinephrine,,,,D,
"Intro: You are called for an inpatient consult by medicine for a 49 y/o M who had a recent kidney transplant (2017). He is currently on maintenance therapy, however, was feeling fatigued with night sweats and after a visit with his primary physician was noted to have abnormal lab results (elevated WBCs). He was subsequently admitted to the hospital, and after a thorough work up, was found to have multiple carious teeth in his URQ. He denies any pain or symptoms at this time, however, reports that he is constantly thirsty and drinking water and Gatorade. You are asked to perform a formal consultation and r/o whether there is an odontogenic etiology for his systemic symptoms. PMHx: Kidney transplant (2017), HTN. Meds: Prednisone, tacrolimus, azathioprine, furosemide, hydrochlorothiazide All: NKDA. SocHx: Negative. Physical Exam: On first impression, you note that the patient is in bed sitting, but hunched over. He had midline obesity. Vitals: BP: 140/94, HR: 88, Temp: 100.1 HEENT: EOE: My regional head and neck examination showed a round shaped face with excess facial hair and very pale complexion. The examination was negative for extra-oral nodules, asymmetry, or other grossly visible signs of pathology. The examination was negative for clinically detectible cervical lymphadenopathy and clinically detectible TMD. IOE: Intra-orally I identified: 1) Generalized mild gingival erythema 2) Incomplete, poorly maintained dentition- decayed and retained root tips at #s 3, 4 and 5. All other mucosal surfaces including the upper and lower labial mucosae, bilateral buccal mucosae, bilateral maxillary and mandibular buccal vestibules, tongue, FOM, hard palate, soft palate and clinically visible oropharynx appeared healthy with no visible signs of atypical inflammation, infection, neoplasia, or other pathology. Question: Based on the medical history and physical examination, which of the following is the most likely diagnosis?",Cushing syndrome,Cushing disease,Hyperthyroidism,Conn syndrome,Hyperparathyroidism,,,A,
"All of the following are known causes of chronic adrenocortical insufficiency, EXCEPT one. Which one is the EXCEPTION?",Addison disease,Tuberculosis (TB),Metastatic lung neoplasia,Metastatic breast neoplasia,Pituitary adenoma,,,E,
Statement 1: The most common cause of primary hyperparathyroidism is an adenoma of the parathyroid gland. Statement 2: The most common cause of secondary hyperparathyroidism is chronic kidney disease (CKD).,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,,A,
The most common type of hyper-functioning anterior pituitary adenoma is a:,Prolactinoma,Growth hormone producing-adenoma,Adamantinomatous craniopharyngioma,Adrenocorticotropic hormone-producing adenoma,Corticotropic-releasing hormone-producing adenoma,,,A,
Which of the following clinical manifestations is most likely in a male of 35-years with a growth hormone-producing adenoma of the anterior pituitary?,Gigantism,Acromegaly,Dwarfism,Osteitis fibrosa cystica,Waterhouse-Friderichsen syndrome,,,B,
