title,Pain & Anxiety Control Exam 2 (Spring 2020),painanx,exam2
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,option_i,option_j,correct,image
All benzodiazepines are poorly soluble in water.,True,False,,,,,,,,,B,
What pharmacological class of medication is midazolam?,Anticonvulsant,Antibiotic,Opioid,General Anesthetic,,,,,,,A,
Which of the following is true regarding propofol and it’s characteristics?,Antiemetic,Barbiturate,Analgesic,Anxiolytic,,,,,,,A,
"You are in the operating room preparing your patient for general anesthesia.  You obtain baseline vitals for your 39 yo M patient with no significant PMH and they are as follows: HR: 79, BP: 136/78, SpO2: 98%.  After induction of anesthesia with propofol, fentanyl and sevoflurane, you recheck your patient’s vitals and see the BP is now 110/60.  Is this normal and to be expected?",Yes,No,,,,,,,,,A,
"Fentanyl causes all of the following, except:",Delayed gastric emptying,Muscle rigidity,Respiratory depression,Mydriasis,,,,,,,D,
Naloxone is a scheduled drug and therefore you must be a healthcare provider to administer Naloxone.,True,False,,,,,,,,,B,
Which of the following drugs has the most sedative effects?,Atropine,Scopolamine,Glycopyrrolate,Epinephrine,,,,,,,B,
Which of the following drugs can produce emergence delirium?,Ketamine,Scopolamine,Atropine,"”Ketamine”, “Scopolamine”, and “Atropine”",”Ketamine” and “Scopolamine”,“Ketamine” and “Atropine”,,,,,E,
Which of the following clinical effects would you expect to see after administration of ketamine?,Increased oral secretions,Bronchoconstriction,Decreased heart rate,Verrill’s Sign,,,,,,,A,
"Statement 1: As per OSHA and NIOSH, 25 ppm is the maximum exposure limit for nitrous oxide for health care providers and staff in the dental office setting. Statement 2: The most effective method for analyzing nitrous oxide absorption in the air is by utilizing a time weighted monitoring device.",Statement 1 is true. Statement 2 is false,Statement 1 is false.  Statement 2 is true,Both statements are true,Both statements are false,,,,,,,D,
"When utilizing Guedel’s stages of anesthesia, which stage of anesthesia is the most dangerous for patients to be in:",Stage I,Stage II,Stage III,All of the above,,,,,,,B,
"In order to achieve general anesthesia, your patient must be cooperative.",True,False,,,,,,,,,B,
"General anesthesia occurs in four stages, which may or my not be observable because they can occur very rapidly.",True,False,,,,,,,,,A,
"Of the four stages of general anesthesia, which stage is the one in which muscles relax, and the patient’s breathing becomes more regular?",Analgesia,Delirium/Excitement,Surgical Anesthesia,Respiratory Paralysis,,,,,,,C,
Statement 1: A macintosh blade is a straight blade.  Statement 2: The macintosh blade is placed into the vallecula.,Statement 1 is true. Statement 2 is false,Statement 1 is false.  Statement 2 is true,Both statements are true,Both statements are false,,,,,,,B,
Which of the following airway devices is placed beyond the vocal cords?,Laryngeal Mask Airway,Endotracheal Tube,Nasopharyngeal Airway,Oropharyngeal Airway,,,,,,,B,
"You have a patient who is conscious but in respiratory depression.  You need to provide the patient with supplemental oxygen therapy, however, the nasal cannula alone is not providing the patient with enough oxygen.  You decide you need to place a supplemental airway device.  Which airway device would you choose for this patient?",Oropharyngeal airway,Nasopharyngeal airway,Laryngeal mask airway,Endotracheal tube,,,,,,,B,
Which of the following are triggering agents for malignant hyperthermia? LOCK THIS QUESTIONS ANSWER ORDER,Sevoflurane,Succinylcholine,Nitrous Oxide,Desflurane,All of the answer choices,All of the answer choices except “Nitrous Oxide”,,,,,F,
Statement 1: Malignant hyperthermia is a hypermetabolic state.  Statement 2: The mechanism of malignant hyperthermia is due to excess sodium existing in the sarcoplasmic reticulum.,Statement 1 is true. Statement 2 is false,Statement 1 is false.  Statement 2 is true,Both statements are true,Both statements are false,,,,,,,A,
Which treatment agent for malignant hyperthermia is in powder form?,Dantrolene,Ryanodex,,,,,,,,,A,
Which is the largest vein in the antecubital fossa?,Median Basilic Vein,Cephalic Vein,Median Cephalic Vein,Basilic Vein,,,,,,,A,
Which of the following statements regarding the TCDM Opioid Prescribing Policy is FALSE?,Narcotic analgesics will not be utilized as first line agents for pain control unless special circumstances exist.,Narcotic analgesics can only be prescribed after the prescribing faculty member personally examines and interviews the patient.,Controlled substance prescriptions will only be issued to cover three days of pain control.,Lost or damaged prescriptions can be re-prescribed without another visit to the dentist.,Informed consent regarding narcotic analgesics must be obtained from the patient or his/her guardian before these substances are prescribed.,All of the statements in this question are TRUE.,,,,,D,
"Statement 1: Class I controlled substances have a high potential for abuse, have no currently accepted medical use in treatment in the US, and have a lack of accepted safety for use under medical supervision. Statement 2: An example of a Class II controlled substance is vicodin.",Statement 1 is true. Statement 2 is false,Statement 1 is false.  Statement 2 is true,Both statements are true,Both statements are false,,,,,,,A,
A 45 yo M patient in severe dental pain is seen in your dental practice; you notice that one of his prescriptions is methadone.  Why might he be taking this medication?,Opioid use disorder,Medically supervised withdrawal,Pain management,Prescribed for dental pain,All of the answer choices,"” Opioid use disorder”, “Medically supervised withdrawal”, “Pain management”","“Opioid use disorder”, “Medically supervised withdrawal”, “Prescribed for dental pain”",,,,F,
What schedule of controlled substances do dentists and surgeons most commonly prescribe when absolutely necessary?,Class I,Class II,Class III,Class IV,Class V,,,,,,C,
"Once you graduate dental school, in order to prescribe controlled substances, you need to provide proof of your diploma to pharmacies.",True,False,,,,,,,,,B,
Which of the following drug combinations is correct?,Percocet (oxycodone/acetaminophen),Vicodin (oxycodone/acetaminophen),Percocet (hydrocodone/acetaminophen),Vicoprofen (oxycodone/ibuprofen),Vicodin (hydrocodone/ibuprofen),,,,,,A,
Acetaminophen max daily dose:,3 grams/daily,4 grams/daily,2 grams/daily,1 gram/daily,,,,,,,A,
"A 37 yo F patient with gastric ulcers presents to your office in severe pain, necessitating extraction of non-restorable #3 with caries into the pulp and furcation involvement.  You expect your patient to be in some degree of post-operative pain over the next couple of days.  Which of the following medications would be best to prescribe for this patient?",Naproxen,Acetaminophen,Ibuprofen,Aspirin,,,,,,,B,
"All of the following are a part of the Touro Dental Health Controlled Substance Policy, EXCEPT:",Any changes in federal or New York State regulations supersede any guidelines set forth in the current policy.,Paper and/or electronic prescribing is required for prescribing controlled substances.,The New York State Prescription Monitoring Program registry must be checked no more than 24 hours before a prescription is issued.,A limited number of faculty will be authorized to prescribe narcotic analgesics.,,,,,,,B,
