title,Oral Pathology Exam 2 (Spring 2019),oralpath,exam2
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
At what location do osseous and cartilagenous choristomas most commonly occur in the oral cavity?,Dorsal tongue,Ventral tongue,Soft palate,Hard palate,Upper labial mucosa,,A,
Statement 1: Cystic hygromas frequently occur in the neck. Statement 2: Lymphangiomas frequently occur in the oral cavity.,Both statements are true,Both statements are false,"Statement 1 is true, the statement 2 is false","Statement 1 is false, the statement 2 is true",,,A,
"All of the following are features of Sturge-Weber syndrome, EXCEPT one. Which one is the EXCEPTION?",Unilateral distribution along cranial nerve V,Port wine stains,Vascular proliferations of the face and brain,Intracranial calcifications,First degree relatives with Sturge-Weber syndrome,,E,
Statement 1: Central vascular malformations usually present radiographically as a radiopacity. Statement 2: Central vascular malformations may result in tooth mobility.,Both statements are true,Both statements are false,"Statement 1 is true, the statement 2 is false","Statement 1 is false, the statement 2 is true",,,D,
The initial diagnosis of true hemangiomas are typically made in older adults on the oral mucosal tissues.,True,False,,,,,B,
See attached image. Tooth #9 is non-vital. What is the most likely diagnosis for the soft tissue abnormality indicated by the arrow?,Necrotizing sialometaplasia,Melanotic neuroectodermal tumor of infancy,Fistula,Abscess,Parulis,,E,images/oralpath-exam2-spring-2019/fig16.jpeg
"All of the following are features of the melanotic neuroectodermal tumor of infancy, EXCEPT one. Which one is the EXCEPTION?",Elevated urinary levels of vanillylmandelic acid,Occurrence in the first year of life,Pigementation,Rare recurrence,Predilection for the anterior maxilla,,D,
At which site does the congenital granular cell tumor most commonly occur?,Cutaneous tissues of the head and neck,Maxillary alveolar tissues,Dorsal tongue,Mandibular alveolar tissues,Ventral tongue,,B,
In which of the following entities does pseudoepitheliomatous hyperplasia occur?,Necrotizing sialometaplasia,The mucocele,The Warthin tumor,The oncocytoma,The palisaded encapsulated neuroma,The granular cell tumor,F,
"All of the following are known to occur in patients with multiple neuroendocrine neoplasia 2B (MEN 2B), EXCEPT one. Which one is the EXCEPTION?",Medullary thyroid carcinoma,Pheochromocytoma,Malignant peripheral nerve sheath tumor,,,,C,
"All of the following are components of neurofibromatosis I (NFI), EXCEPT one. Which one is the EXCEPTION?",Café au lait spots,Lisch nodules,Optic gliomas,Axillary freckling,Mucosal neuromas,,E,
Statement 1: Verocay bodies are seen in palisaded encapsulated neuromas. Statement 2: The face (nose and cheek) is the most common location for palisaded encapsulated neuromas to occur.,Both statements are true,Both statements are false,"Statement 1 is true, the statement 2 is false","Statement 1 is false, the statement 2 is true",,,D,
Statement 1: The traumatic neuroma may occur following surgical procedures in the oral cavity. Statement 2: Patients with traumatic neuromas do not report pain.,Both statements are true,Both statements are false,"Statement 1 is true, the statement 2 is false","Statement 1 is false, the statement 2 is true",,,C,
Statement 1: The peripheral ossifying fibroma typically grows larger than 3.0 cm. Statement 2: The peripheral ossifying fibroma recurs in most cases following excision.,Both statements are true,Both statements are false,"Statement 1 is true, the statement 2 is false","Statement 1 is false, the statement 2 is true",,,B,
In which setting is the epulis granulomatosa identified?,An extraction socket,Abnormal proliferation from a buccal mucosal biopsy site,Abnormal proliferation from a labial mucosal biopsy site,Abnormal proliferation from the ventral tongue following trauma,Injury to the minor salivary glands,,A,
"See attached image. All of the following represent appropriate treatment for the condition depicted in the image, EXCEPT one. Which one is the EXCEPTION?",Resting the tissue from the prosthesis and establishing hygienic practices,Antifungal medications if organisms persist,Excision of tissue with submission for microscopic examination,Reline or fabrication of a new prosthesis,Antibacterial medications if organisms persist,,E,images/oralpath-exam2-spring-2019/fig26.jpeg
"See attached image. Intro: A female of 65-years presents for comprehensive dental care. HPI: Primary care provider instructed patient to see a dentist for routine care. MedHx: Papillary thyroid carcinoma managed by thyroidectomy and radioactive iodine ablation 17-years prior, subsequent hypothyroidism. Meds: Levothyroxine. Allergies: Denies. SocHx: Denies. PhysEx: BP: 110/78. HR: 82/min. Resp: 15/min. Question: Which of the following represents the LEAST reasonable measurement for the abnormality of the lower labial mucosa?",0.5 x 0.5 cm,0.4 x 0.4 cm,0.3 x 0.3 cm,1.0 x 1.0 cm,,,D,images/oralpath-exam2-spring-2019/fig27.jpeg
A male of 2-years presents with a mass demonstrating a red-to-purple hue of the left face measuring approximately 2.0 x 2.0 cm. The lesion extends over the skin superior to the left vermillion and onto the philtrum. It was present at birth and has increased in size at about the same rate as the child's overall growth. What is the most likely diagnosis?,Non-involuting congenital hemangioma,Rapidly-involuting congenital hemangioma,Hemangioma of infancy,Mucocele,Nevus flammeus,,A,
Bilateral schwannomas of CN VIII are seen in:,Neurofibromatosis type I (NF I),Neurofibromatosis type II (NF II),Multiple endocrine neoplasia type II B (MEN2B),Sturge-Weber syndrome,,,B,
Which of the following represents a variant of normal?,Fibroma,Epulis fissuratum,Giant cell fibroma,Inflammatory papillary hyperplasia,Retrocuspid papilla,,E,
Which of the following sialographic features is correctly matched with its corresponding condition?,“Sausage link” ductal compressions: Chronic sialadenitis,“Leafless tree” caused by hypertrophic acini: Adenomatoid hyperplasia,"“Fruit-laden, branchless tree” sialectasia: Sialosis","Normal distribution of tracer until a specific point in the duct, and then no response: Sialorrhea",,,A,
Which of the following conditions is NOT associated with xerostomia?,Sjogrens syndrome,Salivary gland aplasia,Necrotizing sialometaplasia,Acute sialadenitis,,,C,
Which of the following statements is true regarding a plunging ranula?,The feeding parotid gland must be removed,Imaging (CT/MRI) is required to establish the diagnosis,The temporalis muscle is dissected by the lesion,It is the most common presentation of a mucocele,,,B,
Your minor salivary gland biopsy report reads: “Six minor salivary gland lobules with large aggregates of periductal lymphocytic inflammation observed in all six glands”.  Which piece of information should be included in your conversation with your patient?,Patient should undergo surgery to excise the bilateral submandibular glands,Patient should be referred to a neurologist,Patient should undergo prophylactic full mouth exodontia,Patient should be referred to have a further work up for Sjogren syndrome,No further counsel is needed,,D,
Which of the following is an established etiology for true sialorrhea?,Heavy-metal poisoning,Muscular dystrophy,Dissociative personality disorder,Burning mouth syndrome (stomatodynia),,,A,
Which of the following entities is associated with eating disorders?,Acute sialadenitis,Adenomatoid hyperplasia,Salivary gland aplasia,Sialolithiasis,Sialosis,,E,
Which of the following conditions is correctly paired with the BEST/most definitive treatment modality?,Mucocele: marsupialize or “pop” it,Acute sialadenitis: pilocarpine,Necrotizing sialometaplasia: none required,Sjogren syndrome: ibuprofen,Adenomatoid hyperplasia: radiation therapy,,C,
Statement 1: Acute sialadenitis is most commonly associated with T. denticola. Statement 2: Acute sialadenitis can be seen as a post-operative complication.,Both statements are true,Both statements are false,"Statement 1 is true, the statement 2 is false","Statement 1 is false, the statement 2 is true",,,D,
Which of the following statements regarding sialolithiasis is TRUE?,Radiography may be helpful in diagnosis,Symptoms remain constant throughout the day,"Within the duct, the sialolith will always be soft on palpation",Sialoliths are not associated with chronic sialadenitis,The parotid duct is the most common site for a sialolith,,A,
At which location is a lesion that is thought to be a mucocele (based on clinical evaluation) LEAST suspicious for a neoplasm:,Upper lip,Lower lip,Retromolar pad,Hard palate,,,B,
Which of the following is usually associated with the poorest prognosis?,Acinic cell carcinoma,Polymorphous adenocarcinoma,Warthin tumor,Adenoid cystic carcinoma,,,D,
"All of the following statements are true regarding carcinoma ex-pleomorphic adenoma, EXCEPT one.  Which one is the EXCEPTION?",Most commonly occurs on the hard palate,May resemble its benign counterpart clinically,May have multiple histologic patterns,May be associated with recent onset of pain and rapid growth,,,A,
Statement 1: Secretory carcinoma generally has the most favorable prognosis of all malignant salivary gland tumors. Statement 2: Secretory carcinoma can be differentiated from other salivary gland tumors by the presence of a specific oncogene.,Both statements are true,Both statements are false,"Statement 1 is true, the statement 2 is false","Statement 1 is false, the statement 2 is true",,,D,
"Statement 1: The most common salivary gland tumor to arise in the retromolar pad area is mucoepidermoid carcinoma. Statement 2: Clinically, mucoepidermoid carcinoma can resemble a mucocele.",Both statements are true,Both statements are false,"Statement 1 is true, the statement 2 is false","Statement 1 is false, the statement 2 is true",,,A,
Which of the following is LEAST likely to demonstrate perineural invasion?,Adenoid cystic carcinoma,Polymorphous adenocarcinoma,Acinic cell carcinoma,Mucoepidermoid carcinoma,,,C,
Which of the following is the least common site for salivary gland tumors?,Parotid gland,Submandibular gland,Sublingual gland,Palate,,,C,
Which of the following has a histopathology often described as “Swiss cheese”?,Adenoid cystic carcinoma,Acinic cell carcinoma,Pleomorphic adenoma,Polymorphous adenocarcinoma,Secretory carcinoma,,A,
What is the most common salivary gland tumor to occur in the tongue and lower lip?,Pleomorphic adenoma,Secretory carcinoma,Polymorphous adenocarcinoma,Canalicular adenoma,Mucoepidermoid carcinoma,Mucocele,E,
Which cellular organelle is found in greater than typical abundance and responsible for the appearance of oncocytic cells (oncocytes)?,Mitochondria,Rough endoplasmic reticulum,Smooth endoplasmic reticulum,Lysosomes,Ribosomes,,A,
The development of which of the following entities has the strongest association with smoking?,Sialadenoma papilliferum,Warthin tumor,Canilicular adenoma,Mucocele,Pleomorphic adenoma,,B,
