title,PCOD I Midterm Exam (Fall 2018),pcod1,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
How should the margins of a dental amalgam restoration be trimmed?,By carving along the margins with a sharp instrument that rests on the tooth surface,By carving from the restoration to the tooth with a sharp instrument,By carving from the tooth to the restoration with a sharp instrument,By burnishing from the tooth to the restoration until the amalgam is trimmed at the margin,,,,A,
The amalgam on tooth #19 has an overhang on the distal aspect. The dentist MOST likely failed to do which of the following?,To use a matrix,To place the wedge properly,To prepare a flat gingival floor,To use appropriate condensation force,,,,B,
Carious lesions are LEAST likely to occur on which of the following:,Lingual surfaces of mandibular incisors,Lingual surfaces of Maxillary incisors,Lingual surfaces of maxillary molars,Facial surfaces of mandibular molars,,,,A,
Fluoride therapy modifies which of the following four factors the most?,Host,Time,Substrate,Microflora,,,,A,
The most susceptible area on a tooth to acquire dental caries is:,The cusp tips,The proximal surfaces,The developmental pits and fissures,The buccal and lingual surfaces,,,,C,
Which of the following is not an essential factor needed for the initiation of a carious lesion?,Susceptible host (tooth),Microflora with cariogenic bacteria (plaque),Saliva,Suitable substrate (dietary carbohydrates),,,,C,
There is abundant evidence that the initiation of dental caries requires a high proportion of:,Staphylococcus aureus within saliva,Steptococcus mutans within dental plaque,Steptococcus mutans within food,Staphylococcus aureus within dental plaque,,,,B,
Enamel is etched with:,Boric acid,Phosphoric acid,Nitric acid,Acetic acid,,,,B,
When etching a toothin preparation for a composite restoration A. The etch is left on for 15 seconds B. The etch is left on for 30 seconds C. The etch is placed on enamel D. The etch is placed on dentin,"A, C and D","B, C, and D",B and D,A and C,,,,A,
Statement 1: The tofflemire matrix retainer should ideally be placed on the facial surface. Statement 2: The band should be positioned so as to be 1.0mm apical to the adjacent marginal ridge.,The first statement is true; the second is false,The first statement is false; the second is true,Both statements are true,Both statements are false,,,,A,
The acceptable thickness of an amalgam in a stress-bearing area is.,1.0mm,1.5mm,2.0mm,2.5mm,3.0mm,,,C,
"The smear layer of dentin formed when a tooth is prepared by a rotary instrument must be removed prior to bonding. However, if left in place prior to placement of other restorative materials, it could provide a certain degree of insulation or pulpal protection.",The first statement is true; the second is false,The first statement is false; the second is true,Both statements are true,Both statements are false,,,,C,
You have decided to place a class I composite in a patient who has a very small carious lesion in the mesial fossa of tooth #3. The preparation,Must extend .5mm into dentin,Does not need to extend .5mm into dentin,Should extend across the oblique ridge,Should include the entire primary groove pattern,,,,B,
Which of the following is the best indication for Class I and/or Class II direct composite restorations?,Areas where wear resistance need to be high,Areas requiring a high modulus of elasticity,Areas where rubber dam cannot be utilized,Conservative restorations,,,,D,
"You have completed the outline form for a Class II DO amalgam restoration on tooth #30. You note that there is 2.5mm of mesial marginal ridge remaining. In order to properly complete this preparation, you should",Complete this preparation only as a DO preparation,Convert this preparation to an MOD,Recommend converting this to an onlay restoration,None of the above,,,,A,
"When checking to see if proper contact has been restored between a freshly restored tooth and the adjacent tooth, the dentist should",Ask the patient if it feels too tight,Check in the mirror,Use articulating paper,Use dental floss,,,,D,
The angle created between the pulpal floor and the distal wall of a Class II MO amalgam preparation should be,A right angle,Slightly obtuse,Slightly acute,Varies according to how close you are to the marginal ridge,,,,B,
What alloys make up amalgam?,Tin,Mercury,Copper,Two of the above,All of the above,,,E,
The reason for establishing secure finger rests when using handpieces and hand instruments is:,to increase the accuracy of the work,to prevent the operator from accidentally injuring the soft tissue adjacent to the tooth,to increase control of the handpiece or hand instrument,all of the above,none of the above,,,D,
The 330 carbide bur is generally used to create:,convergent walls,parallel walls,divergent walls,a smooth pulpal floor,a deep pulpal floor,,,A,
The “convenience form” of a tooth preparation is defined as:,the shape of the tooth preparation that prevents dislodgement of the restoration during function.,the shape of the tooth preparation that insures that the remaining tooth structure and restoration can resist fracturing during function.,the shape of the tooth preparation beyond ideal that allows complete access to a carious lesion.,all of the above,none of the above,,,C,
Ergonomics in dentistry involves:,the dentist's seating position,the patient's head position,the arrangement of dental instruments and equipment,a and b only,all of the above,,,E,
Amalgam gamma-2 phase refers to:,Ag-Sn,Ag-Hg,Sn-Hg,Cu-Sn,Cu-Hg,,,C,
In discussing your treatment plan with Mr. Den Tin you find out that he was a chemistry teacher. You explain that you plan to restore some of her cavitated lesions with Composite resin. You explain to him that you are going to prime the tooth with acid. He immediately wants to know what acid you are using. You should answer?,35% citric acid,37% malic acid,10% carbamide peroxide,35% phosphoric acid,35% polycarboxylic acid,,,D,
Composite polymerization can be activated through the following ways,Ultra-Violent Light,Benzoyl Peroxide,Condensation of a saline Coupler,A. B. and C.,B and C Only,A and B only,A and C only,F,
Untreated silica glass filler particles in composite are initially repelled by resin because,Inorganic silica grouping forms a positive anion in its structure causing van der walls forces to repel one another,Silica filler has hydroxyl terminations that naturally repel the resin,Untreated silica will still have the presence of toxin monomers causing repulsion forces,Treating silica glass removes the DC electric charge and kinetic energies that are in opposition to resin lattice structures,None of the above,,,B,
Which of the following about composite curing lights is true,The intensity of the light is inversely proportional to the square root of the distance from the source to the surface of the composite,The intensity of the light is proportional to the square of the distance from the source to the surface of the tooth,The intensity of the light is proportional to the distance from the source to the surface of the composite,The intensity of the light is proportional to the square of the distance from the source to the surface of the composite,,,,D,
The compressive strength of amalgam is greater than that of composite,True,False,,,,,,A,
The compressive strength of amalgam is greater than that of Enamel.,True,False,,,,,,A,
Which of the following statements about composite is true,Saliva presence provides a slight advantage for the polymerization process,Composite chemically bonds to enamel and dentin,Composite chemically bonds to enamel only,Composite chemically bonds to dentin only,Composite chemically bonds to resin bonding agent only,,,E,
"“Priming” refers to applying a hydrophilic monomer, usually hydroxyethyl methacrylate (HEMA), to the dentin network created by acid etching; it must be hydrophilic to penetrate into the moist etched dentin surface.",True,False,,,,,,A,
Which of the following statements about Etch is true,It is used as a desensitizer because the bonding resin can open the dentinal tubules,It exposes the collagenous network of the enamel,It is used as a „‟one time‟‟ 2 minute application,It is used to completely remove the smear layer in enamel,,,,D,
"“Bonding” refers to applying a hydrophobic monomer, usually a mixture of bisGMA and TEGDMA, to the enamel or “primed” areas of the dentin; this step is necessary to enable the chemical adherence of the composite to the bonding agent",True,False,,,,,,A,
In discussing your treatment plan with Mrs. D Bee you find out that she was a chemistry teacher. You explain that you plan to restore some of her cavitated lesions with Composite resin. She asks you what are the two major basic generic components. You answer?,Silane and acrylic,Acrylic and hema,Filler and acrylic,Silane and filler,Acid and filler,,,D,
As you explain the procedure to Ms D Bee she wants to find out about all the material you are using. The acrylic found in composite resin is?,Silane methacylate,BisGma,Hemacrylate,Titanium dioxide,,,,B,
As you take out the curing light Ms D Bee wants to know what that is for and how it will effect the material you are placing on her tooth. You explain the importance of the light and tell her that all the factors mentioned below will effect the length that the curing light must be in position except?,Shade of composite,Proper isolation,Nanometer output of the curing light,Temperature of composite,,,,D,
