title,Oral & Maxillofacial Surgery Final Exam (Spring 2019),omfs,final
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
"The Caldwell-Luc procedure eliminates blind procedures and facilitates the recovery of large root tips, entire teeth, or foreign bodies that have been displaced into the maxillary antrum. When performing this procedure, a lateral window is created through the facial wall of the maxillary antrum above the:",Maxillary tuberosity.,Maxillary lateral incisor crown.,Maxillary premolar roots.,Maxillary second molar roots.,Site where the object entered the antrum.,,C,
"During extraction of a maxillary third molar, the tuberosity is fractured but remains attached to the periosteum with an intact blood supply. What is the treatment?",Remove the tuberosity and suture the soft tissue closed primarily.,Refer the patient to an ENT surgeon.,Elevate the flap and place transosseous wires to stabilize the tuberosity during healing.,Reposition the fragment and stabilize with sutures.,Remove the tuberosity and place a xenograft to regain the proper anatomy.,,D,
A patient develops a severe dull ache in the jaw four days after a dental extraction. Which of the following statements is TRUE?,The most likely etiology is loss of the alveolar blood clot.,Narcotic analgesics are necessary for pain relief.,The most likely etiology is exposure of cementum of an adjacent tooth.,Antibiotics are necessary for resolution,The tooth should be put back in so the patient feels better.,,A,
Hemorrhage after dental procedures can be prevented by or treated by:,Applying pressure.,Ligating bleeding vessels.,Identifying and treating systemic bleeding issues.,Performing careful surgery including atraumatic reflection of mucoperiosteal flaps.,All of the above.,,E,
"You are extracting a lower right third molar with pericoronitis that is in close proximity to the inferior alveolar nerve. You have almost completely delivered the tooth from the socket, but a piece of the distal root has fractured off. What do you do?","If the piece of root is greater than 2mm and close to the inferior alveolar nerve, it should be left in place and monitored.","If the piece of root is less than 2mm and close to the inferior alveolar nerve, it should be left in place and monitored.","The piece of root must be removed, despite the risk of injuring the inferior alveolar nerve.",The piece of root should be reduced in size with a handpiece to less than 4mm and retained in the socket for monitoring.,"Manipulation with an elevator might accidentally displace the root into the inferior alveolar nerve canal or through the lingual plate, so the root should be obliterated with a large round bur.",,B,
You have extracted a lower left third molar on a 21 year-old male. The socket won't stop bleeding after you have applied pressure for ten minutes. You maintain good suction and identify the source of bleeding as directly from the bone marrow. You are able to see an intact bony socket without any exposure of the inferior alveolar nerve. What is the next step?,Pack with gauze again and apply pressure only.,"Pack with gelfoam or Surgicel, apply pressure, then suture the socket.","Irrigate the socket copiously, suture, and discharge the patient.",Send the patient to the hospital for angiography and embolization.,Give the patient anti-hypertensive medication to lower their blood pressure so that the bleeding will stop.,,B,
"You are extracting a palatally inclined upper right third molar. Despite having a throat pack in place, while you are delivering the tooth the patient coughs, and the tooth disappears. Now what?",Check that the patient is still responsive and breathing comfortably.,Carefully remove the throat pack and see if the tooth is somewhere in the throat pack.,Inform the patient of what may have happened with the tooth - that it may have entered their GI or respiratory tract.,Send the patient to the emergency room for evaluation including chest/abdominal radiographs to locate tooth.,All of the above.,,E,
An 8-year-old presents with a pulp exposure due to a traumatic crown fracture on a permanent central incisor. You determine the pulpal and periapical diagnosis to be healthy. The root is not completely formed. The best procedure here is:,Apexification.,Apexogenesis.,Pulp regeneration.,Pulpotomy.,None of the above.,,B,
An adult patient presents to your office with recent trauma to his front teeth. Periapical radiograph shows a horizontal root fracture of tooth #9 in the apical third of the root. The tooth should be splinted for:,4 months.,4 weeks.,4 years.,6 months.,6 weeks.,,B,
What is the recommended treatment for a horizontal root fracture?,Always perform root canal therapy to the apex (both coronal and apical segments).,Always perform root canal therapy up to the fracture line.,Always perform root canal in the apical segment only.,Always perform root canal therapy of the coronal segment and extract the apical segment.,"Any treatment, including possible root canal therapy, will be dictated by the location of the fracture and other specifics regarding the tooth injury and current status.",,E,
A patient presents with a subluxation injury to tooth #9. The best treatment is:,Root canal therapy.,Extraction of the subluxed tooth.,Splinting for 6-8 weeks.,Monitor and follow up.,Pulpectomy.,,D,
Which luxation injury is usually associated with an alveolar fracture?,Intrusive luxation.,Lateral luxation.,Extrusive luxation.,Subluxation.,Concussion.,,B,
"Because the prognosis for most intrusive luxation injuries is favorable, the treatment of choice is to monitor and follow up rather than root canal therapy.",True.,False.,,,,,B,
A patient calls to say her front tooth was knocked out. She has the tooth in her hand. The best thing you can tell her is:,Place the tooth in a cup of water and bring it to the office immediately.,Place the tooth in a cup of milk and bring it to the office within the next couple hours.,Place the tooth in a cup of milk and bring it to the office immediately.,Give the tooth to the tooth fairy and use the money you receive to pay for an implant.,Scrub the tooth with soap and water and bring it to the office in the morning when she feels better.,,C,
"If an avulsed tooth was replanted after being out of the socket for an extended period of time, the most likely outcome is:",Internal root resorption.,Invasive cervical resorption.,Apical periodontitis.,Replacement resorption (ankylosis).,External root resorption.,,D,
All forms of root resorption are amenable to root canal therapy.,True.,False.,,,,,B,
The treatment of choice for pulp canal obliteration (calcification) after trauma is root canal therapy:,True.,False.,,,,,B,
Which of the following statements is TRUE regarding the treatment of traumatized PRIMARY TEETH?,Avulsed primary teeth should be replanted within 3 hours of the avulsion.,Laterally luxated primary teeth that have been severely displaced should be repositioned and splinted for 2 weeks.,Laterally luxated primary teeth that have been severely displaced should be repositioned and splinted for 8 weeks.,Palatally displaced intruded primary teeth should be observed and allowed to spontaneously re-erupt.,Facially displaced intruded primary teeth should be observed and allowed to spontaneously re-erupt.,,E,
Which of the following signs or symptoms may be indicative of devitalization of a primary tooth that has been traumatized in the past?,Discoloration of the tooth.,Fistula on the gingiva overlying the root.,Swelling of the gingiva overlying the root.,Pain in the tooth.,All of the above.,,E,
Greater than 50% of physical trauma in child abuse happens in the head and neck region.,True.,False.,,,,,A,
Which are the most frequently traumatized teeth?,Central incisors.,Lateral incisors.,Canines.,Premolars.,First and second molars.,,A,
"A 14-year-old male presents with his mother after a mountain biking accident. Exam reveals an uncomplicated crown fracture and concussion of tooth 6, lateral luxation of tooth 8, and an anterior maxillary alveolar fracture spanning from teeth 10-12. During your initial examination, what are the most important factors to consider?",Make sure the patient is stable.,Obtain a comprehensive history and physical.,Evaluate for neurological trauma.,Locate any foreign bodies with radiographic imaging.,All of the above.,,E,
"A 14-year-old male presents with his mother after a mountain biking accident. Exam reveals an uncomplicated crown fracture and concussion of tooth 6, lateral luxation of tooth 8, and an anterior maxillary alveolar fracture spanning from teeth 10-12. What is the treatment for tooth 6?",Direct pulp cap and restoration.,Composite restoration and monitor.,Pulpotomy and monitor.,Semi-rigid splint.,Rigid splint.,,B,
"A 14-year-old male presents with his mother after a mountain biking accident. Exam reveals an uncomplicated crown fracture and concussion of tooth 6, lateral luxation of tooth 8, and an anterior maxillary alveolar fracture spanning from teeth 10-12. What is the appropriate treatment for tooth 8?",Direct pulp cap and restoration.,Root canal and monitor.,"Reposition, semi-rigid splint, and evaluation and follow by endodontist.","Reposition, rigid splint, and evaluation and follow by endodontist.",Pulpectomy and monitor.,,C,
"A 14-year-old male presents with his mother after a mountain biking accident. Exam reveals an uncomplicated crown fracture and concussion of tooth 6, lateral luxation of tooth 8, and an anterior maxillary alveolar fracture spanning from teeth 10-12. What is the appropriate treatment for the alveolar fracture 10 -12?","Reposition, soft diet and NSAIDs and no further treatment.","Reposition, semi-rigid splint for 7 days.","Reposition, semi-rigid splint for 6-8 weeks.","Reposition, rigid splint for 7 days.","Reposition, rigid splint for 6-8 weeks.",,E,
"Case Scenario: Congratulations!  You have successfully completed your OMFS Residency and have just opened your own office.  Your very first patient is a 68-year-old female who presents requesting extraction of two broken teeth on lower left. HPI: Complains of several days of minor pain at teeth 18/19. PMH was significant for: Crohn’s disease Insulin dependent diabetes (IDDM) Osteoporosis DVT (deep vein thrombosis) Vaso-vagal episodes with medical procedures Medications: Insulin regimen –sliding scale as follows: Regular and NPH titrated Prednisone - 60 mg po daily for one month Fosamax –70 mg once per week Warfarin –5 and 10 mg alternating daily Examination: Non-restorable, carious roots –18/19/30 17 –severe distal cervical caries, deemed to be non-restorable Missing –31/32 No swelling/fistula No trismus Moderate expansion of the right posterior mandible Panoramic radiograph: See below. You inform the patient about the lesion of the right mandible and her need for treatment of this lesion.  You explain that her ultimate treatment will depend on the histopathologic diagnosis.  You consult her physician regarding her medical history, medications, and proposed treatment. He confirms the information you obtained from the patient about her diseases and medications, reports that she is in her optimal condition, and agrees that she can undergo treatment.  At your request, he checks her INR 3 days prior to treatment and reports a value of 1.8. Which of the following is a reasonable initial treatment for the lesion that you and the physician agree on?",Perform an excisional biopsy after discontinuing the warfarin for 3 days.,Perform an excisional biopsy without interrupting the warfarin therapy.,Perform an incisional biopsy after discontinuing the warfarin for 3 days.,Perform an incisional biopsy without interrupting the warfarin therapy.,Remove the entire lesion after discontinuing the warfarin for 3 days.,,D,images/omfs-final-spring-2019/fig64.jpeg
"Case Scenario: Congratulations!  You have successfully completed your OMFS Residency and have just opened your own office.  Your very first patient is a 68-year-old female who presents requesting extraction of two broken teeth on lower left. HPI: Complains of several days of minor pain at teeth 18/19. PMH was significant for: Crohn’s disease Insulin dependent diabetes (IDDM) Osteoporosis DVT (deep vein thrombosis) Vaso-vagal episodes with medical procedures Medications: Insulin regimen –sliding scale as follows: Regular and NPH titrated Prednisone - 60 mg po daily for one month Fosamax –70 mg once per week Warfarin –5 and 10 mg alternating daily Examination: Non-restorable, carious roots –18/19/30 17 –severe distal cervical caries, deemed to be non-restorable Missing –31/32 No swelling/fistula No trismus Moderate expansion of the right posterior mandible Panoramic radiograph: See below. You inform the patient about the lesion of the right mandible and her need for treatment of this lesion.  You explain that her ultimate treatment will depend on the histopathologic diagnosis.  You consult her physician regarding her medical history, medications, and proposed treatment. He confirms the information you obtained from the patient about her diseases and medications, reports that she is in her optimal condition, and agrees that she can undergo treatment.  At your request, he checks her INR 3 days prior to treatment and reports a value of 1.8. Which of the following actions should be done prior to entering the lesion for the initial treatment?",Just proceed with treatment - it is not necessary to aspirate the lesion.,"Aspirate the lesion. If aspiration is positive for blood (blood rapidly fills the syringe), the lesion may be vascular and treatment should be deferred.","Aspirate the lesion. If aspiration is positive for blood (blood rapidly fills the syringe), the anticoagulation effect of the warfarin is still active and treatment should be deferred.","Aspirate the lesion. If aspiration is positive for straw colored fluid, the lesion is malignant and the patient should be referred to a Head and Neck Surgeon.","Aspirate the lesion. If aspiration is positive for air, the lesion is metastatic lung cancer and the patient should be referred to a Thoracic Surgeon.",,B,images/omfs-final-spring-2019/fig65.jpeg
"Case Scenario: Congratulations!  You have successfully completed your OMFS Residency and have just opened your own office.  Your very first patient is a 68-year-old female who presents requesting extraction of two broken teeth on lower left. HPI: Complains of several days of minor pain at teeth 18/19. PMH was significant for: Crohn’s disease Insulin dependent diabetes (IDDM) Osteoporosis DVT (deep vein thrombosis) Vaso-vagal episodes with medical procedures Medications: Insulin regimen –sliding scale as follows: Regular and NPH titrated Prednisone - 60 mg po daily for one month Fosamax –70 mg once per week Warfarin –5 and 10 mg alternating daily Examination: Non-restorable, carious roots –18/19/30 17 –severe distal cervical caries, deemed to be non-restorable Missing –31/32 No swelling/fistula No trismus Moderate expansion of the right posterior mandible Panoramic radiograph: See below. You inform the patient about the lesion of the right mandible and her need for treatment of this lesion.  You explain that her ultimate treatment will depend on the histopathologic diagnosis.  You consult her physician regarding her medical history, medications, and proposed treatment. He confirms the information you obtained from the patient about her diseases and medications, reports that she is in her optimal condition, and agrees that she can undergo treatment.  At your request, he checks her INR 3 days prior to treatment and reports a value of 1.8. For this question, assume that an in-office procedure is being performed with local anesthesia. The patient has an early morning appointment and can eat normally prior to the procedure and should be able to eat normally following the procedure. Which of the following would be the most reasonable approach for peri-operative medication management that you and the physician agree on?","Stress steroids should be given as follows: Administer twice the daily dose on the day before, the day of, and the day after the procedure, and then resume the regular daily dose Preoperatively, insulin should be adjusted as follows: Usual dose of regular insulin and ½dose of NPH.","Stress steroids should be given as follows: Administer twice the daily dose on the day before, the day of, and the day after the procedure, and then resume daily dose Preoperatively, insulin should be adjusted as follows: Skip insulin and supplement with IV dextrose as needed.","It is not necessary to administer stress steroids. Preoperatively, insulin should be adjusted as follows: Usual dose of regular insulin and ½dose of NPH.","It is not necessary to administer stress steroids. Preoperatively, insulin should be adjusted as follows: Skip insulin and supplement with IV dextrose as needed.",,,C,images/omfs-final-spring-2019/fig66.jpeg
"Case Scenario: Congratulations!  You have successfully completed your OMFS Residency and have just opened your own office.  Your very first patient is a 68-year-old female who presents requesting extraction of two broken teeth on lower left. HPI: Complains of several days of minor pain at teeth 18/19. PMH was significant for: Crohn’s disease Insulin dependent diabetes (IDDM) Osteoporosis DVT (deep vein thrombosis) Vaso-vagal episodes with medical procedures Medications: Insulin regimen –sliding scale as follows: Regular and NPH titrated Prednisone - 60 mg po daily for one month Fosamax –70 mg once per week Warfarin –5 and 10 mg alternating daily Examination: Non-restorable, carious roots –18/19/30 17 –severe distal cervical caries, deemed to be non-restorable Missing –31/32 No swelling/fistula No trismus Moderate expansion of the right posterior mandible Panoramic radiograph: See below. You inform the patient about the lesion of the right mandible and her need for treatment of this lesion.  You explain that her ultimate treatment will depend on the histopathologic diagnosis.  You consult her physician regarding her medical history, medications, and proposed treatment. He confirms the information you obtained from the patient about her diseases and medications, reports that she is in her optimal condition, and agrees that she can undergo treatment.  At your request, he checks her INR 3 days prior to treatment and reports a value of 1.8. For this question, assume that the lesion is being completely excised and the site is being reconstructed with a bone plate and bone graft. This procedure will be performed under general anesthesia in the operating room. The patient has an early morning appointment and must be NPO (they cannot eat) prior to the procedure and will have difficulty eating following the procedure. Which of the following would be the most reasonable approach for peri-operative medication management that you and the physician agree on?","Stress steroids should be given as follows: Administer twice the daily dose on the day before, the day of, and the day after the procedure, and then resume daily dose Preoperatively, insulin should be adjusted as follows: Usual dose of regular insulin and ½dose of NPH.","Stress steroids should be given as follows: Administer twice the daily dose on the day before, the day of, and the day after the procedure, and then resume daily dose Preoperatively, insulin should be adjusted as follows: Skip insulin and supplement with IV dextrose prn","It is not necessary to administer stress steroids. Preoperatively, insulin should be adjusted as follows: Usual dose of regular insulin and ½dose of NPH.","It is not necessary to administer stress steroids. Preoperatively, insulin should be adjusted as follows: Skip insulin and supplement with IV dextrose prn",,,B,images/omfs-final-spring-2019/fig67.jpeg
"Case Scenario: Congratulations!  You have successfully completed your OMFS Residency and have just opened your own office.  Your very first patient is a 68-year-old female who presents requesting extraction of two broken teeth on lower left. HPI: Complains of several days of minor pain at teeth 18/19. PMH was significant for: Crohn’s disease Insulin dependent diabetes (IDDM) Osteoporosis DVT (deep vein thrombosis) Vaso-vagal episodes with medical procedures Medications: Insulin regimen –sliding scale as follows: Regular and NPH titrated Prednisone - 60 mg po daily for one month Fosamax –70 mg once per week Warfarin –5 and 10 mg alternating daily Examination: Non-restorable, carious roots –18/19/30 17 –severe distal cervical caries, deemed to be non-restorable Missing –31/32 No swelling/fistula No trismus Moderate expansion of the right posterior mandible Panoramic radiograph: See below. You inform the patient about the lesion of the right mandible and her need for treatment of this lesion.  You explain that her ultimate treatment will depend on the histopathologic diagnosis.  You consult her physician regarding her medical history, medications, and proposed treatment. He confirms the information you obtained from the patient about her diseases and medications, reports that she is in her optimal condition, and agrees that she can undergo treatment.  At your request, he checks her INR 3 days prior to treatment and reports a value of 1.8. You consider several treatment options for the lesion. Which of the following statements regarding treatment options is INCORRECT?",Marsupialization of the lesion may allow the lesion to decrease in size over time and lessen the chance of injury to the inferior alveolar nerve.,"If marsupialization is performed, excision of residual lesion may be necessary in the future.",Excision of the entire lesion puts the inferior alveolar nerve at risk of damage which may result in neurosensory disturbance along its distribution.,Intraoperative fracture risk is greater with excision when compared to the risk with marsupialization.,Marsupialization is a treatment option that may be useful no matter what the diagnosis is.,,E,images/omfs-final-spring-2019/fig68.jpeg
