title,Pathomedicine Exam 4 (Fall 2018),patho,legacy
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
Clinical signs and symptoms of chronic kidney disease usually develop at:,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,,,,C,
"All of the following represent functions of parathyroid hormone (PTH), EXCEPT one. Which one is the EXCEPTION?",Inhibit tubular reabsorption of PTH,Stimulate vitamin D synthesis,Enhance renal excretion of calcium,,,,,,C,
"Acidosis is likely to result in all of the following, EXCEPT one. Which one is the EXCEPTION?",Ammonia retention,Nausea,Anorexia,Fatigue,Excitability,,,,E,
Azotemia refers to accumulation of:,Acidic compounds in the blood,Protein in the urine,Protein in the blood,Non-protein nitrogenous compounds in the blood,Azole antifungals in the urine,,,,D,
The damage inflicted on the kidneys by hypertension (HTN) primarily impacts the:,Vasculature,Glomeruli,None of the above,,,,,,A,
Which of the following is the LEAST likely cause of end-stage renal disease (ESRD)?,Diabetes mellitus (DM),Hypertension (HTN),Chronic glomerulonephritis,Polycycsitc kidney disease,Systemic lupus erythematosus,,,,E,
"All of the following are synthesized by the kidney, EXCEPT one. Which one is EXCEPTION?","1,25-dihydroxycholeciferol",Renin,Aldosterone,Erythropoietin,,,,,C,
A malignant tumor is identified in the peripheral tissues of the right upper lobe of the lung of a non-smoking female. What is the most likely diagnosis?,Small cell carcinoma,Squamous cell carcinoma,Large cell carcinoma,Adenocarcinoma,,,,,D,
"All of the following are features of Horner syndrome, EXCEPT one. Which one is the EXCEPTION?",Ipsilateral enophthalmos,Ptosis,Miosis,Anhidrosis,Empyema,,,,E,
Which of the following has a greater potential for fibrosis and carcinogenesis?,Amphiboles,Chrysotiles,,,,,,,A,
Which of the following would be the most likely complication of coal worker's pneumoconiosis?,Emphysema,Tuberculosis,COPD,Cor pulmonale,,,,,D,
"Acute respiratory distress syndrome (ARDS) is result of damage to the alveolar epithelium and capillaries and leads to respiratory failure. All of the following are common initial insults that can result in ARDS, EXCEPT one. Which one is the EXCEPTION?",Sepsis,Severe trauma,Diffuse pulmonary infection,Gastric aspiration,Primary surfactant deficiency,,,,E,
"Which of the following drugs may induce a hemolytic anemia, leukopenia and thrombocytopenia?",Isoniazid,Rifampin,Pyrazinamide,Streptomycin,Aspirin,,,,B,
Histopathological review of involved tissue showing caseating granulomas is most indicative of:,Asthma,Emphysema,COPD,Chronic bronchitis,Tuberculosis,,,,E,
Statement 1: Miliary tuberculosis is spread hematogenously. Statement 2: Miliary tuberculosis is tuberculosis limited to the lung.,Both statements are true,Both statements are false,"The first statement is true, the second statement is false","The first statement is false, the second statement is true",,,,,C,
Empyema is best described as:,Focal collection of purulence in the parenchyma,Focal collection of neutrophils and necrotic tissue,Focal collection of eosinophilic crystalloids,Bacterial infection contiguously involving a complete single lobe,Patchy distribution of bacterial infection in more than one lobe,,,,A,
An elevated cold agglutinin titer is suggestive of a pneumonia caused by:,Mycoplasma pneumonia,Legionella pneumophila,Staphylococcus aureus,Haemophilus influenza,Streptococcus pneumonia,,,,A,
"Nitrous oxide should be avoided in patients with all of the following diagnoses, EXCEPT one. Which one is EXCEPTION?",Moderate bronchitis,Severe COPD,Centriacinar (centrilobular) emphysema,Distal acinar (paraseptal) emphysema,Panacinar (panlobular) emphysema,,,,A,
What type of emphysema are patients with alpha-1-antitrypsin deficiency most likely to present with:,Panacinar (panlobular),Centriacinar (centrilobular),Distal acinar (paraseptal),Irregular,Multilocular,,,,A,
The primary feature of bronchitis is:,Type I hypersensitivity,Type II hypersensitivity,Hypersecretion of mucus,Inflammation leading to spasm of the bronchioles,Permanent enlargement of the air spaces,,,,C,
"Intro: An eighteen-year-old female patient presents to your office with a CC of “I think my wisdom teeth are growing in and they hurt”.HPI: Patient reports the pain has been worsening on biting in the past couple of weeks and she noticed the upper right tooth was erupting for about a month.MedHx: Asthma.Meds: Advair, albuterol.Allergies: NKDA.SocHx: Denies.PhysEx: 114/68; HR: 78; RR: 16Regional H&N:EOE: No extra-oral nodules, asymmetry, or other grossly visible signs of pathology. Negative for clinically detectible cervical lymphadenopathy and clinically detectible TMD.IOE: Inflamed operculum overlying partially erupted #16. All other oral mucosal surfaces including upper/lower labial mucosae, bilateral buccal mucosae, bilateral maxillary/mandibular buccal vestibules, uninvolved gingiva, tongue, FOM, hard palate, soft palate and clinically visible oropharynx appeared healthy with no visible signs of atypical inflammation, infection, neoplasia, or other pathology.Radiographic exam: #1, 17, 32 full bony impactions; #16 partially eruptedTreatment plan: Extraction #1, 16, 17 and 32.Question: Question: You choose to extract number #16 under local anesthetic. As you begin your injection you notice that her body becomes tense. After completing the injection she begins to make a high pitched sound during expiration. She complains of difficulty breathing and chest tightness. All of the following MAY have been advisable to help prevent this clinical scenario from occurring, EXCEPT one. Which one is the EXCEPTION?",Nitrous inhalation,Administration of a short-acting benzodiazepine,Administration of a narcotic,Engendering an emotionally comfortable environment in the office/clinic,,,,,C,
"Intro: An eighteen-year-old female patient presents to your office with a CC of “I think my wisdom teeth are growing in and they hurt”.HPI: Patient reports the pain has been worsening on biting in the past couple of weeks and she noticed the upper right tooth was erupting for about a month.MedHx: Asthma.Meds: Advair, albuterol.Allergies: NKDA.SocHx: Denies.PhysEx: 114/68; HR: 78; RR: 16Regional H&N:EOE: No extra-oral nodules, asymmetry, or other grossly visible signs of pathology. Negative for clinically detectible cervical lymphadenopathy and clinically detectible TMD.IOE: Inflamed operculum overlying partially erupted #16. All other oral mucosal surfaces including upper/lower labial mucosae, bilateral buccal mucosae, bilateral maxillary/mandibular buccal vestibules, uninvolved gingiva, tongue, FOM, hard palate, soft palate and clinically visible oropharynx appeared healthy with no visible signs of atypical inflammation, infection, neoplasia, or other pathology.Radiographic exam: #1, 17, 32 full bony impactions; #16 partially eruptedTreatment plan: Extraction #1, 16, 17 and 32.Question: Question: You choose to extract number #16 under local anesthetia. As you begin your injection you notice that her body becomes tense. After completing the injection she begins to make a high pitched sound during expiration. She complains of difficulty breathing and chest tightness. What is the next most appropriate step in addressing this patient's situation?",Activate the emergency response system,Initiate CPR,Administer albuterol,Administer a second dose of local anesthetic,Administer Advair,"Administer subcutaneous injection of 0.4 mL 1:1,000",,,C,
"Intro: An eighteen-year-old female patient presents to your office with a CC of “I think my wisdom teeth are growing in and they hurt”. HPI: Patient reports the pain has been worsening on biting in the past couple of weeks and she noticed the upper right tooth was erupting for about a month. MedHx: Asthma. Meds: Advair, albuterol. Allergies: NKDA. SocHx: Denies. PhysEx: 114/68; HR: 78; RR: 16 Regional H&N: EOE: No extra-oral nodules, asymmetry, or other grossly visible signs of pathology. Negative for clinically detectible cervical lymphadenopathy and clinically detectible TMD. IOE: Inflamed operculum overlying partially erupted #16. All other oral mucosal surfaces including upper/lower labial mucosae, bilateral buccal mucosae, bilateral maxillary/mandibular buccal vestibules, uninvolved gingiva, tongue, FOM, hard palate, soft palate and clinically visible oropharynx appeared healthy with no visible signs of atypical inflammation, infection, neoplasia, or other pathology. Radiographic exam: #1, 17, 32 full bony impactions; #16 partially erupted Treatment plan: Extraction #1, 16, 17 and 32. Question: You choose to extract number #16 under local anesthetia. As you begin your injection you notice that her body becomes tense. After completing the injection she begins to make a high pitched sound during expiration. She complains of difficulty breathing and chest tightness. What is most likely occurring?",She has developed emphysema,She has developed tuberculosis,She is having an asthma attack,She has developed emphysema,None of the above,,,,C,
Curshmann bodies represent:,Aggregations of eosinophil protein crystalloids,Aggregations of basophil protein crystalloids,Mucous plugs with whorls of shed epithelium,Iron-laden macrophages that have phagocytosed debris from degenerating erythrocytes,Keratin protein aggregates with fungal hyphae,,,,C,
"All of the following are early phase changes in asthma, EXCEPT one. Which one is the EXCEPTION?",Type 2 helper T (TH2) cell activity,Activation of eosinophils,IgE production,Degranulation of mast cells,Smooth muscle hypertrophy,,,,E,
"The FEV:FVC ratio would be decreased in all of the following diseases, EXCEPT one. Which one is the EXCEPTION?",Emphysema,Asthma,Chronic bronchitis,Pneumoconiosis,Bronchiectasis,,,,D,
Statement 1: Type I pneumocytes produce surfactant. Statement 2: Type II pneumocytes are more numerous compared to type I pneumocytes.,Both statements are true,Both statements are false,"The first statement is true, the second statement is false","The first statement is false, the second statement is true",,,,,B,
Statement 1: The pores of Kohn are perforations between adjacent alveolar walls in the lungs. Statement 2: The pores of Kohn permit the passage of air and spread of disease.,Both statements are true,Both statements are false,"The first statement is true, the second statement is false","The first statement is false, the second statement is true",,,,,A,
