title,Endodontics Review Final Exam (Summer 2020),endorev,
question,option_a,option_b,option_c,option_d,option_e,correct,image
Hidden canals are best discovered by,Taking a CBCT and reading the axially sectioned anatomy,Taking periodical x-rays from diﬀerent angles,Examining the floor of the pulp chamber after it has been uncovered,Vitality testing after the canals already found have been instrumented,,A,
Internal resorption stops,When the pulp is removed,When a sedative dressing is placed close to the pulp,When antibiotics are taken,It is unstoppable,,A,
The benefit of having a long shank round bur during access preparation is that it is harder to perforate that way.,True,False,,,,B,
The instrument you most often use to help you locate canal orifices is:,Long shank spoon excavator,Endodontic explorer,Barbed broach,Plastic instrument,,B,
The dentist and assistant should be wearing eye protection at all times during an endodontic procedure. However for the patient it is only important they wear it during the injection.,True,False,,,,B,
"If patient requests that you don’t use rubber dam during the endodontic procedure because it makes them feel claustrophobic and they can’t tolerate it, that is okay and you can proceed without the rubber dam.",True,False,,,,B,
"“Please pass me a 35 .04, 21 mm file”. The number 35 represents:",Tip size,Length,Taper,Resistance gauge,,A,
An apex locator is used to measure what component of the root canal:,Apical foramen,Anatomical apex,Radiographic apex,Apical constriction,,D,
Cotton gauze is not often used during endodontic procedures and as such are not always required in an endodontic set-up.,True,False,,,,B,
If you start a root canal but are unable to complete it you will place calcium hydroxide as inter-visit medicament.,True,False,,,,A,
What is used to remove the smear layer during endodontic treatment?,RC prep,Sodium hypochlorite,EDTA,Chlorhexidine,,C,
When obturating (filling) a root canal with gutta percha the ideal length should reach:,To the apical constriction,2 mm short of the anatomical apex,1 mm past the radiographic apex,1 mm short of the apical constriction,,A,
When taking a working length radiograph with reamers in the canals it is best to make sure the rubber dam is off at this point. It will make taking the radiograph much easier.,True,False,,,,B,
The irrigant of choice during endodontic treatment is chlorhexidine as it possesses wide spectrum anti-microbial properties and tissue dissolving capabilities.,True,False,,,,B,
The intervisit medicament of choice if root canal cannot be completed in one visit is:,Chlorhexidine,EDTA,Calcium hydroxide,Sodium hypochlorite,,C,
The irrigant that we use right in beginning of endodontic treatment to remove the smear layer is EDTA.,True,False,,,,B,
"A patient presents with a chief complaint of pain in the upper right quadrant. Cold test produces a response lingering for 1 minute on tooth #4. In addition, tooth #4 is sensitive to percussion with the blunt end of an instrument. What is the pulpal and periapical diagnosis?","Irreversible pulpitis, normal periapex","Irreversible pulpitis, symptomatic apical periodontitis","Reversible pulpitis, symptomatic apical periodontitis","Necrotic pulp, chronic apical abscess","Necrotic pulp, acute apical abscess",B,
"A patient presents to your ofﬁce with a chief complaint of dull aching, diffuse pain in the lower right quadrant. The nerve ﬁbers responsible for this sensation are:",Myelinated A ﬁbers,Unmyelinated A ﬁbers,Myelinated C ﬁbers,Unmyelinated C ﬁbers,Subodontoblastic plexus of Raschkow,D,
"You are instrumenting a canal with a size 35 .02, 25 mm k-type ﬁle. What does each of the sizes denote, respectively?","The length of the ﬁle, the diameter of the tip of the ﬁle, and the taper.","The diameter of the tip of the ﬁle, the taper, and the length of the ﬁle.","The taper of the ﬁle, the length of the ﬁle, and the diameter of the tip.","The diameter of the tip of the ﬁle and the taper of the ﬁle, and length.",The length of the ﬁle and the taper of the ﬁle,B,
A patient presents to your ofﬁce with pain on her lower second premolar. This tooth is sensitive to percussion and shows a periapical radiolucency on radiographic examination. The tooth does not respond to either cold or electric pulp tests. There is an irregular bulge on the occlusal surfaces of the tooth. The most likely diagnosis is:,Irreversible pulpitis,Dens invaginatus,Dens evaginatus,Pulp stones,Internal resorption,C,
"When instrumenting and subsequently obturating a root canal, the length should be determined by the:",Anatomic apex,Apical foramen,Apical constriction,Radiographic apex minus 2 mm,,C,
The endodontic access form is triangular in shape for which tooth?,Maxillary central incisor,Maxillary ﬁrst premolar,Maxillary second premolar,Mandibular first molar,,A,
"During instrumentation of the mesial root of tooth #18, your ﬁle separates and remains stuck in the canal. In an attempt to remedy this procedural error, you attempt to bypass and remove the instrument. If you are unable to remove or bypass the instrument, what should your next step be?",Extract the tooth,Perform a root amputation,Prepare and obturate up to the separated instrument,Obturate the distal canals only,,C,
The most common tooth in the mouth to have a c-shaped root canal figuration is:,Mandibular 1st molar,Mandibular 2nd molar,Maxillary 1st molar,Mandibular 1st premolar,Maxillary 2nd premolar,B,
A 7-year-old patient presents to your office for an emergency visit with a history of traumatic exposure of tooth #9. The accident happened 1 year previously. Radiographic exam reveals a periapical lesion on this tooth. The treatment of choice for this patient is:,Apexogenesis,Root canal therapy,Apexification,Vital pulp therapy,,C,
What are the ideal conditions under which to perform an incision for drainage?,A tooth with reversible pulpitis and pain on mastication,A necrotic tooth with an indurated swelling at the apex,A necrotic tooth with a fluctuant swelling at the apex,A tooth with irreversible pulpitis and pain on percussion,A necrotic tooth with spontaneous pain but no swelling,C,
A tooth with a diagnosis of pulp necrosis with chronic apical abscess is a good indicator for antibiotic prescription.,True,False,,,,B,
