title,Oral Surgery II Final Exam (Fall 2022),osii,
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
You request medical information from the physician of an 83 y.o. new patient who requires restorations and extractions.  The patient reports a history of myocardial infarction two years ago with placement of 2 stents.    The physician reports that the patient has a history of both well-controlled hypertension and atrial fibrillation.  The patient is on blood thinners.  The physician comments that they have not seen the patient in 1 ½ years but said that the patient is cleared for surgery. Which of the following statements is/are TRUE? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),Theis clearance should not be accepted by the dentist since the physician has not seen the patient in 1 ½ years.,It is safe to proceed with treatment from a medical standpoint since the physician cleared the patient.,It is safe to proceed with treatment from a legal standpoint since the physician cleared the patient.,Consultation with physicians is not necessary since dental training includes extensive background in medicine.,Dentists should make treatment decisions after seeking medical consultation from a physician prior to treating medically compromised patients.,,,,E,
Which of the following statements is/are TRUE? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),The lifespan of a white blood cell is approximately 13 - 20 days.,"Normal white blood cell count is 4,500 – 11,000 per microliter.",White blood cells are produced in the bone marrow.,Low levels of white blood cells make patients more susceptible to bleeding.,Patients with very low white blood cell counts may develop severe infections but be unable to show clinical signs of these infections.,,,,E,
Which of the following statements is/are TRUE? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),"The clinical effects of radiation include “the 3Hs” – hypocellularity, hypovascularity, and hypoxia.","Radiation mucositis symptoms include diffuse erythema, ulceration, and exudate and often last approximately 1 month.",Xerostomia may result from radiation therapy which damages the major and minor salivary glands.,Radiation induced trismus results from fibrosis of the muscles of mastication and the anterior tonsillar pillar and retromolar area.,Xerostomia plays a role in causing cervical caries in irradiated patients.,,,,E,
Which of the following statements is FALSE? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),"Hyperbaric oxygen was used successfully prior to an extraction on an irradiated patient 2 months ago.  The patient now needs another extraction, but it is not necessary for the hyperbaric oxygen to be administered again.","Hyperbaric oxygen was used successfully prior to an extraction on an irradiated patient 6 months ago.  The patient now needs another extraction, but it is not necessary for the hyperbaric oxygen to be administered again.","Hyperbaric oxygen was used successfully prior to an extraction on an irradiated patient 12 months ago.  The patient now needs another extraction, but it is not necessary for the hyperbaric oxygen to be administered again.","Hyperbaric oxygen was used successfully prior to an extraction on an irradiated patient 24 months ago.  The patient now needs another extraction, but it is not necessary for the hyperbaric oxygen to be administered again.",Hyperbaric oxygen is of no benefit when irradiated patients require extractions.,,,,E,
"Consider the following statements: I.  Velopharyngeal closure closes off the nose from the mouth. II. When velopharyngeal closure is incomplete, air may escape through the nose and cause speech that is hypernasal. Which of the following choices is correct?",I and II are both TRUE.,I and II are both FALSE.,I is TRUE and II is FALSE.,I is FALSE and II is TRUE.,,,,,A,
Which of the following statements is/are TRUE? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),Alveolar bone grafting can promote the eruption of teeth bordering the cleft.,Alveolar bone grafting provides support to the alar base and nasal floor.,Alveolar bone grafting provides periodontal support to the teeth bordering the cleft.,Alveolar bone grafting facilitates closure of the oro-nasal fistula.,Alveolar bone grafting with autogenous hip bone has been shown to be more effective than grafting with BMP (bone morphogenetic protein).,,,,C,
Which of the following statements is/are TRUE? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),The upper and middle thirds of the nose is bone and the lower third or tip are cartilage.,One advantage of the closed rhinoplasty is that it is a blind procedure while the open structure rhinoplasty is done under direct visualization.,Elongating the nose via septal extension grafts is a simple rhinoplasty procedure that easily achieves good results.,"When showing a patient the anticipated facial surgical result with a “predictive” image, it is important to keep their expectations realistic.","For an open structure rhinoplasty, incision of the skin is not necessary.",,,,D,
Which of the following statements is/are TRUE? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),The incision for a transcutaneous upper eyelid blepharoplasty is made in an existing skin crease.,"If an excessive amount of skin is removed during a transcutaneous upper eyelid blepharoplasty, the patient may not be able to close their eye properly after the procedure.",The upper eyelid in the typical American female should be 12 – 15 mm.,Lower eyelid blepharoplasty can be accomplished via a transcutaneous (skin) approach or via a transconjunctival (inner surface of the eyelid) approach.,Lower eyelid blepharoplasty involves removal of skin from each the five fat pads in the lower lid.,,,,D,
"During facelift procedures, methylene blue dye can be injected through the Parotid duct into the parotid gland.  This enables the surgeon to clearly determine the extent and outline of the parotid gland as shown in this photograph: Which of the following statements is/are TRUE? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.)",Dissecting superior to the parotidomasseteric fascia creates a safe plane because the branches of the facial nerve are buried deep within the middle of the parotid gland.,It is safest to perform blunt dissection at the anterior border of the parotid gland because the facial nerve remains deep in this location.,"The branches of the facial nerve in this region include the trigeminal, zygomatic, buccal, marginal mandibular, and cervical branches.",Injecting dye through Wharton’s duct as described here helps to prevent paralysis of the muscles innervated by the branches of Cranial Nerve VII.,Sharp dissection is preferred over blunt dissection in the area of the facial nerve branches so the surgeon can work more precisely to protect the nerves.,,,,A,images/osii-final-fall-2022/fig21.jpeg
Bilateral parotid swelling may be indicative of sialosis.  Which of the following statements is/are TRUE? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),Sialosis may be caused by diabetes or malnutrition.,"In this CT scan image, the red arrows point to enlarged parotid glands:","In this CT scan image, the red arrows point to enlarged parotid glands:","In this CT scan image, the red arrows point to enlarged parotid glands:","In this CT scan image, the red arrows point to enlarged parotid glands:",Alcohol abuse is not a cause of sialosis.,,,B,images/osii-final-fall-2022/fig22.jpeg
Which of the following statements is/are TRUE? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),Acid damages the labial surfaces of the maxillary teeth in patients with bulimia.,"A possible explanation for bilateral parotid swelling in patients with bulimia may be “work hypertrophy”, as the parotid glands produce excess saliva with the excessive vomiting which occurs.",Excessive vomiting may cause cardiac dysrhythmias in patients with bulimia due to the electrolyte loss which occurs with vomiting.,Patients who have GERD (Gastro-Esophageal Reflux Disease) produce excessive saliva which may increase the damage to the esophageal walls.,Patients with GERD (Gastro-Esophageal Reflux Disease) are at increased risk of developing Barrett’s Esophagus which is not significant as this is a benign condition.,,,,C,
Which of the following statements is/are TRUE? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),Often salivary stones are asymptomatic and are first diagnosed as incidental findings.,Patients who present with symptomatic salivary stones often report previous incidents of transient swelling which resolved on its own.,Saliva may stagnate and form stones because Wharton’s duct extends posteriorly in the floor of the mouth and then at the posterior border of the mylohyoid muscle it makes a rightangle bend and dives down into the submandibular gland.,"After incising the salivary duct to excise a stone, water-tight primary closure of the duct with long-lasting resorbable sutures is necessary.","After incising the salivary duct to excise a stone, loose primary closure of the duct is necessary.",,,,C,
41. Which of the following statements is/are TRUE? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),Translational movement occurs in the upper joint space.,Rotational movement occurs in the lower joint space.,Rotational and translational movements occur in the upper joint space.,Rotational and translational movements occur in the lower joint space.,Mandibular movements are only rotational.,,,,B,
Which of the following symptoms are consistent with a diagnosis of myofascial pain and dysfunction? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),"Diffuse, poorly localized pain",Pain that is cyclic/episodic.,Pain that is frequently worse in the evening.,Sleep disturbance.,"Bruxism, sore teeth.",,,,E,
Which of the following are potential indications for arthrocentesis? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),Acute and chronic condylar dislocation in which patient gets stuck in an open position.,Chronic pain with good range of motion and anterior disk displacement with reduction,Inflammatory conditions,Degenerative osteoarthritis,Acute trauma,,,,E,
Which of the following statements about implants related to MRONJ is TRUE? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),The majority of implant failures related to MRONJ do not occur early after implant placement.,Implants should never be placed in patients who are currently taking bisphosphonates.,Implants should never be placed in patients who are currently taking or who have ever taken bisphosphonates at any time in their lives.,Implant failures related to MRONJ most commonly present when osseointegration does not occur and the implants simply fall out soon after placement.,Implant failures related to MRONJ most commonly present when osseointegration is maintained and the implants come out within a sequestrum of bone.,,,,E,
Which of the following is NOT a necessary criterion for the diagnosis of MRONJ? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),The patient has taken both an antiresorptive and antangiogenic medication.,The presence of exposed bone or bone that can be probed through an intra- or extra-oral fistula lasting greater than 3 weeks.,The patient has undergone radiation therapy to the jaws.,The patient has undergone radiation therapy to an area of the body other than the jaws.,The patient has had a surgical procedure performed on the affected area.,,,,E,
Which of the following statements is FALSE? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),There are no studies that support the benefit of utilizing drug holidays to minimize MRONJ risk for patients on bisphosphonates.,Rank ligand inhibitors such as denosumab bind to bone for a longer period of time than bisphosphonates.,The effects on bone remodeling of rank ligand inhibitors such as denosumab are mostly diminished within two months of treatment cessation.,Planned dentoalveolar surgery should not be performed until at least 6 months after the last dose of denosumab has been administered.,Denosumab can be reinstituted 6 – 8 weeks after surgery.,,,,D,
Consider this clinical photograph: This depicts a mandible fracture that was treated by:,Open reduction with internal fixation,Closed reduction only,Resection,Incision and drainage,Open reduction without internal fixation,,,,A,images/osii-final-fall-2022/fig32.jpeg
Which of the following images depicts a LeFort II Fracture?,,,,None of these images depicts a LeFort II Fracture.,All of these images depict a LeFort II Fracture.,,,,A,
Which of the following statements is/are TRUE when performing a maxillary full arch reconstruction? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),The treatment plan should be prosthetically driven.,It is the restorative dentist’s decision if the final restoration will be removable or fixed.,The surgeon must dictate the overall treatment plan as they are most skilled at interpreting the CBCT.,Financial factors cannot be considered when determining a treatment plan.,None of these statements is TRUE.,,,,A,
Which of the following statements regarding immediate restorations with implants is TRUE?,If an immediate load implant is planned but torque is found to be less than 40 ncm the implant must be removed.,"If the implant placement protocol was strictly followed, it is not necessary to check torque prior to placing an immediate load restoration.",Immediate load restorations should never be used.,Torque must be greater than 50 ncm to use an immediate load restoration.,None of these statements is TRUE.,,,,E,
Which of the following statements about mucosa supported CT guided stents is TRUE? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),Placement is more variable than tooth-supported guides.,Use of anchor pins is necessary to maximize guide stability and accuracy of implant placement.,Mucosa supported guides should never be used.,Mucosa supported guides should always be used.,Full-thickness flaps should be developed to allow placement of the guide the directly on bone.,,,,B,
Which of the following statements is TRUE? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),CT is generally better for showing soft tissue than MRI.,AN MRI is generally quicker to obtain than a CT scan.,IV contrast use during CT imaging will highlight vascularity in a lesion.,IV contrast use during CT imaging will highlight an infectious process.,IV contrast is of no benefit in showing an infectious process.,,,,D,
A case was shown with a lesion in the patient’s cheek area. The surgeon decided not to make an incision directly over the lesion because: I. A significant noticeable scar would result. II. Damage to the facial nerve could occur causing loss of sensation in the area. Choose the correct answer below:,I and II are both TRUE.,I and II are both FALSE.,I is TRUE and II is FALSE.,I is FALSE and II is TRUE.,,,,,C,
A patient presents with the lesion seen in this radiograph: Which of the following statements is TRUE? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),"The lesion should be removed and the site grafted immediately, due to the size of the lesion and risk of pathologic fracture.","The lesion and tooth should both be removed and the site grafted immediately, due to the size of the lesion and risk of pathologic fracture.","Depending on the diagnosis of the lesion, the amount of bone destruction, and the relationship of the tooth and lesion to the inferior alveolar nerve, excision of the lesion may not be the best immediate treatment option.","If the lesion is infected, there is a decreased likelihood that the patient is having pain.","For a lesion with this radiographic appearance, the ultimate treatment will be the same no matter what the pathological diagnosis is.",,,,C,images/osii-final-fall-2022/fig39.jpeg
