title,Periodontics II Midterm Exam (Fall 2017),perio2,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
The goal of periodontal therapy includes:,Creating a maintainable environment,Arresting disease progression,Resolving inflammation,Altering or eliminating periodontal pathogens,All of the above,E,
Which of the following is part of Non-Surgical Periodontal Treatment?,Occlusal Adjustment,Scaling and Root Planing,Systemic Antibiotics,"a, b, and c.",b and c,D,
What is true regarding a re-evaluation visit?,Is used to identify root caries and defective restorations,The recommended time period after Scaling/Root Planing is 8 weeks,Is used to determine whether additional periodontal procedures area required,"a, b, and c.",a and c.,E,
What happens during healing after Scaling/Root Planing?,There is a decrease in erythema and edma,Healing is via periodontal regeneration,There is an increase in Gingival Crevicular Fluid flow,All of the above,,A,
"Certain medications contribute to Gingival Overgrowth. Which of the following medications is used in the treatment of hypertension, blocks intracellular mobilization of calcium, and dilates peripheral vasculature?",Cyclosporine,Nifedipine,Phenytoin,None of the above,,B,
Which of the following are indications for the treatment of Gingival Overgrowth?,Interference with speech,Aesthetics,Access for home care,All of the above,,D,
What is true regarding Necrotizing Ulcerative Periodontitis?,It only presents in patients with HIV infection,It is characterized by necrosis of the periodontal ligament,Patient is usually asymptomatic,All of the above,,B,
What percentage of patients are estimated to be aware that they have a parafunctional habit?,50%,30%,20%,40%,,C,
What is true regarding the radiographic landmark called “Lamina Dura?”,It appears as a continuous white line,It contains foramina which allows nerves to pass between bone and PDL,It may be evident when there is increased mobility and/or increased occlusal loading,"a, b, and c.",a and b.,D,
Which of the following are objectives of surgical pocket reduction?,To restore periodontal architecture to enhance plaque removal,Improve access to root surfaces to facilitate dental procedures,To reduce pocket depths to improve plaque removal,All of the above,,D,
