title,GDA Final Exam (Summer 2022),gda,final,"3 questions (cleft lip classification, cleft palate classification, and a cranial suture) reference a figure that was not available in the source file."
question,option_a,option_b,option_c,option_d,option_e,correct,image
Pharyngeal arches 4 and 6 are innervated by which Cranial Nerve?,CN II Optic,CN VII Facial,CN V Abducens,CN X Vagus,CN XI Spinal Accessory,D,
"What do aortic arch 5, pharyngeal arch 5 and pharyngeal pouch 5 have in common?",All are related to the common carotid artery,All give rise to structures in the ear,They have no derivatives,They are all related to development of the tongue,,C,
Which of the following is TRUE of marijuana exposure to the fetus during pregnancy?,Marijuana will not cross the placenta.,There is increased risk of miscarriage with marijuana use.,Babies are likely to have a higher than average birth weight.,There are no developmental delays seen later in life.,,B,
It is unnecessary to use a lead apron with a thyroid collar when taking radiographs of a pregnant patient.,True,False,,,,B,
During what stage of odontogenesis does the enamel organ produce the inner and outer enamel epithelium?,Bud stage,Cap stage,Bell stage,Eruption stage,,B,
What structure is enamel derived from?,Mesenchyme,Neural crest cells,Endoderm,Ectoderm,,D,
The growth spurt in girls peaks at ____cm at age _____.,9cm; 12,9cm; 14,10cm; 12,10cm; 14,,A,
Sutural growth occurs when there is length and thickness added as new bone is laid down.,True,False,,,,B,
Which of the following is not a growth site of the mandible?,Symphysis menti,Condylar cartilages,Posterior border of the rams,Alveolar ridge,All are growth sites of the mandible,E,
What is the angle of the mandible in an individuals with an oval face?,Less than 120 degrees,120 degrees to 130 degrees,More than 130 degrees,,,C,
"You are treating an elderly patient for whom you have collected a thorough medical history. The patient has presented for a routine restoration on tooth #30 DO. You are going to be using 2% Lidocaine 1:100,000 epic on this patient based on the fact that they have history of mild cardiovascular disease. What is the maximum number of carpules you would be comfortable using for this patient?",1 carpule,0.5 carpools,2 carpules,5 carpools,,C,
Which of the following is a successional tooth?,First molar,Second molar,Canine,Third molar,Supernumerary tooth,C,
A 9 year old patient presents to your office with her parents with chief complaint that the lateral incisors are very small in comparison to the other teeth. You explain that this a common finding called a peg lateral and is an example of what condition?,Macrodontia,Microdontia,Supernumerary tooth,Enamel hypoplasia,,B,
The attached figure is an example of what clinical finding?,Gemination,Dens invaginatus,Dens evaginates,Fusion,Peg lateral,D,images/gda-final-summer-2022/fig36.jpeg
Which cells are responsible for the production of enamel?,Ameloblasts,Cementoblasts,Odontoblasts,Osteoclasts,,A,
Enamel and dentin formation begins at the root of the tooth and progresses toward the future cusp tip.,True,False,,,,B,
Identify the false statement about the physical properties of enamel.,Enamel is 70% inorganic hydroxyapatite.,The organic component of enamel is enamelin.,The color of enamel is grayish white and it is translucent.,Enamel is permeable to bacteria and fluids.,,A,
When does secondary dentin form?,When enamel begins to form,In response to attrition or abrasion,When the crown comes into clinical occlusal function,When the pulp space needs to be obliterated,,C,
The cell-free zone of the pulp is also known as what?,Odontogenic zone,Parietal zone,Zone of fibroblasts,Zone of Weil,,D,
Which of the following is not a physical characteristic of cementum?,Cementum is less mineral than enamel or dentin.,Cementum is yellow in color.,Cementum appears very shiny.,Cementum is softer to the touch than dentin.,,C,
Statement 1: Boys teeth tend to erupt earlier than girls. Statement 2: Maxillary central incisors are often the first to erupt around 8-10 months.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,B,
The cusp tips of the primary second molars have begun mineralization in utero around 6 months before birth.,True,False,,,,A,
Statement 1: The first primary teeth to erupt are usually the mandibular central incisors. Statement 2: The last primary teeth to erupt are the second molars.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,A,
The figure provided is most likely a clinical finding related to which of the following conditions?,Fluorosis,Congenital syphilis,Rh Incompatibility,Dentinogenesis Imperfecta,Dens evaginatatus,B,images/gda-final-summer-2022/fig46.jpeg
What color primary teeth would you expect to find in a child with erythroblastosis fetalis?,Purple,Red,Blue,Green,Grayish brown,D,
Both primary and permanent teeth are equally affected in Dentinogenesis Imperfects Type II.,True,False,,,,A,
Statement 1: In teeth with taurodontism there is no pulp chamber present. Statement 2: The highest incidence of taurodontism is found in the permanent molar.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,D,
Which of the following is NOT TRUE in regards to supernumerary teeth?,A mesiodens is another name for a supernumerary tooth occurring at the midline.,90% of supernumerary teeth occur in the maxilla.,There are a number of syndromes with supernumerary teeth as a common clinical finding.,"Supernumerary teeth can occur in the maxilla, mandible, anterior and posterior.",Supernumerary teeth are never extracted because they do not cause any esthetic or functional concerns.,E,
What is the rarest missing tooth?,Mandibular central incisor,Maxillary second molars,Primary canines,Maxillary central incisors,Maxillary second premolars,D,
The failure of all teeth to develop is known as:,Hypodontia,Anodontia,Oligodontia,,,B,
Statement 1: Leg length is the area of most rapid growth in adolescence. Statement 2: Puberty is landmark of physical development and sexual reproduction is possible.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,A,
Which of the following is not a profile change seen during adolescence?,Larger brow area due to pneumatization of the sinuses,Decreased prominence of the nose,Increased prominence of the chin,Facial shape becomes more concave,,B,
The roots of the third molars may not reach full development until age 25.,True,False,,,,A,
A teenage patient presents to your office for routine hygiene care. On exam you notice three teeth that have occlusal decay and will need to be restored. Mom is upset with patient. What advice might you give to prevent further decay?,Recommend sealant be placed on all molars that do not yet have decay.,Limiting of carbohydrate heavy snacks and snacking between meals.,Place topical fluoride in office and recommend a highly fluoride rinse.,Counsel the patient on appropriate brushing and flossing techniques and recommend an electric toothbrush.,All of the above are appropriate advice.,E,
Statement 1: Mandibular prognathism is when the maxilla protrudes forward of the normal limits of the face. Statement 2: In bimaxillary retrognathism both jaws are posterior to the normal limits of the face.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,D,
"The R in OSCAR stands for Reality and is the consideration of patient finances, priority of oral health and expected life span.",True,False,,,,A,
Which of the following is a true statement regarding squamous cell carcinomas?,Squamous cell carcinomas make up about 10% of oral malignancies.,Squamous cell carcinoma is only found in patients older than 75.,Tobacco and alcohol use increase the prevalence of squamous cell carcinoma.,Patients rarely need radiation as it will resolve on its own.,,C,
Which of the following describes tooth loose from mechanical forces caused by a foreign object?,Attrition,Erosion,Abrasion,Abfraction,,C,
Recommended treatment for root surface caries more prevalent in older populations do not include:,Oral hygiene counseling,Large amalgam restorations on the facial surfaces in the esthetic zone,Tobacco cessation,Nutrition counseling,,B,
Why is the elderly patient more predisposed to periodontal disease?,Poor oral hygiene due to decreased manual dexterity,Decreased keratinization of tissue that arises with age,Decreased fibroblasts in the periodontal ligament,All are contributing factors,,D,
Which of the following is not a recommendation for treatment of xerostomia in a patient?,Sipping water throughout the day and staying hydrated.,Eating salty and spicy foods to stimulate salivation.,Using prescription or over the counter saliva substitutes.,"Avoiding alcohol, tobacco and caffeine.",Chewing sugar free gum to increase salivary flow.,B,
Which of the following is not a consequence of an atrophic mandible?,Decreased risk of jaw fracture,Poorly fitting dentures,Mandibular canal and mental foramen closer to the border of the mandible,Difficulty placing implants due to lack of bone height and width,,A,
Statement 1:Patients with missing teeth tend to look older than their age because of drooping of facial features. Statement 2: Implants are helpful in maintaining bone and therefore face shape in the event of a lost tooth or teeth.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,A,
The figure provided shows what clinical condition which is a common finding in patients who have ill-fitting dentures?,Candidiasis,Denture Stomatitis,Angular chelitis,None of the above,,C,images/gda-final-summer-2022/fig66.jpeg
Which layer of the tooth is primarily responsible for giving the tooth its crown color?,Enamel,Dentin,Pulp,Cementum,,B,
"Which type of dentin is formed in response to plural stimulation from attrition, abrasion, caries or restorative treatment?",Primary dentin,Secondary dentin,Tertiary dentin,Globular dentin,,C,
"Statement 1: When treatment planning for elderly patients, you should assume the finances will prevent them from choosing more expensive restorative options. Statement 2: Pharmacologic treatment of systemic disease plays no role in dental health so there is no need to have an interdisciplinary approach to dental care.",Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,B,
Xerostomia is not related to which of the following conditions,Diabetes,Polypharmacy,Radiation therapy for head and neck cancer,Salivary duct stones,,D,
Which of the following age-related changes to teeth may make extractions more difficult?,Hypercementosis,Obliteration of pulp,Thinning of enamel,Decreased fibroblasts in the periodontal ligament,,A,
When examining elderly patients it is common to find an increased sensitivity to pulp tests.,True,False,,,,B,
Which of the following is true regarding the development of the sinuses?,"When viewing sinuses on a panoramic film, they should always appear symmetrical.",Sinuses expand into the space once occupied by the permanent teeth once they erupt.,Sinuses do not develop fully until middle age.,None of the above are true.,,B,
Which of the following is not a function of the periodontal ligament?,Nutritive,Sensory,Supportive,Remodeling,All of the above are functions of the PDL,E,
Fetal alcohol syndrome has the largest effect on development during the first trimester.,True,False,,,,B,
