title,TMD & Orofacial Pain Midterm Exam (Spring 2019),tmd,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
"A patient describing their pain using the following adjectives: burning, knife like, electric searing, unbearable, would likely be describing:",Muscular pain,Joint pain,Neuropathic pain,Vascular pain,,,C,
Neuropathic pain is most likely to mimic:,A disc displacement,A muscle spasm,A sinus infection,A toothache,,,D,
Which of the following is false?,Occlusion has been de-emphasized as an etiologic agent.,Occlusal changes can be the result of TM joint pathology.,Premature occlusal contacts are a primary cause of TMD,Bruxing habit places extra load on the TM joint.,,,C,
Which of the following is true?,Placebo effect works only in a few select patients.,Placebo effect contributes to successful outcomes.,Placebo effect only works with muscle problems not joint problems.,Placebo effect rarely works.,,,B,
The TM joint has regenerative potential. An example is,The formation of a pseudo or secondary disc,Disc ossification,Articular eminence osteodegeneration,Synovial refreshment,,,A,
All of the following promote articular cartilage degradation except,Increased joint loading force,Increased inflammatory component,Mobilization of a joint,,,,C,
Initial treatment of TM disorders involves the following:,Soft diet,Reduce parafunctional habits,Construction of a bite plate,All of the above,,,D,
All of the following can be used to decrease night time bruxing except:,Botox,Muscle relaxant,Bite plate,Jaw stretching exercise,,,D,
Neuropathic pain can be treated with:,Muscle relaxant,Topical anti-inflammatory,Nerve membrane stabilizer medication,Habit awareness,,,C,
Treatment for TMD should always begin with simple reversible treatment.,True,False,,,,,A,
Internal derangement with reduction would exhibit:,A disruption of the pulp resulting in internal resorption of dentin.,Mental illness with a reduced capacity to feel pain.,Subclinical fracture of the mandible,Clicking in the TM joint.,,,D,
Disc displacement in the TM joint always progresses to further complications.,True,False,,,,,B,
Realistic goals of TMD treatment are: 1.to improve jaw function. 2. to reduce pain to the lowest level possible. 3. to restore anatomy 4. to completely eliminate pain.,2 and 3,1 and 2,2 and 3 and 4,3 and 4,,,B,
Current concepts in TMD treatment include all of the following except:,The TM joint is not unique.,The TM joint shares similarities with other joints,Orthopedic treatment of other joints can be applied to the TM joint.,The goal of treatment is to restore anatomy.,,,D,
Immobilization of the mandible allows for healing of the TM joint.,True,False,,,,,B,
Bite plates can do all of the following except:,Reduce masticatory muscle activity.,Distract the condyle from fully seating.,Reduce bruxism by making patients aware of oral habits.,Acts as a stress reducer.,,,D,
"Statement #1: TMJ Surgery should be avoided at all times, even if conservative measures do not alleviate symptoms Statement #2: TMJ surgery can reliably reposition the disc and keep it in that position for years to come","Statement #1 is true, statement #2 is true","Statement # 1 is true, statement #2 is false","Statement #1 is false, statement #2 is true","Statement #1 is false, statement #2 is false",,,D,
Statement #1: The synovium is responsible for making the lubricating fluid in the joint Statement #2: The pumping action of the synovial fluid is necessary for the nutrition of chondrocytes and maintaining the articular cartilage,"Statement #1 is true, statement #2 is true","Statement # 1 is true, statement #2 is false","Statement #1 is false, statement #2 is true","Statement #1 is false, statement #2 is false",,,A,
The term internal derangement of the TMJ,Usually refers to a displacement of the disc,Is likely to be caused by changes in the structure and function of cartilage and synovium,Joint overload leading to cartilage breakdown can contribute to internal derangement,All of the above are correct,Only a and b are correct,,D,
Which one of the following is NOT an indication for performing TMJ surgery,Continued pain due to an intra-articular disorder,Full course of appropriate non-surgical treatments that do not resolve symptoms,MRI showing and anterior disc displacement,Symptoms persisting that have an adverse effect on quality of life in spite of appropriate non-surgical therapy,,,C,
Which of the following is a major advantage of TMJ arthroscopy over arthrocentesis,Arthroscopy is less expensive,Arthroscopy can only be done in the office,Arthroscopy can provide a diagnosis through visualization and obtaining a biopsy specimen,Arthroscopy recovery does not require a soft diet,,,C,
A 40 year old female has painful clicking and crepitus of the left temporomandibular joint. These signs are specific for:,Osteoarthritis of the TMJ,Rheumatoid arthritis of the TMJ,Synovial chondromatosis of the TMJ,These signs can occur in any of the above conditions,,,D,
An example of minimally invasive temporomandibular joint surgery is,Prosthetic total joint replacement,Arthroscopy,Arthroplasty,Occlusal stabilization splint,,,B,
Which one of the following is NOT an indication for temporomandibular joint surgery?,Intermittent pain in the TM joint which started 3 weeks ago and patient took Ibuprofen for pain,"Severe pain, full course of non surgical therapy, failure to improve after 3 months",Severe limitation of jaw opening due to pathology in the temporomandibular joint,"Symptoms in the TMJ with MRI showing severe pathology, fluid in the joint and the diagnosis is uncertain.",,,A,
"Statement #1: Arthroscopic TMJ surgery is only diagnostic and not designed to reduce symptoms Statement #2: Following successful arthroscopic surgery, most patients are cured and do not require postoperative rehabilitation","Statement #1 is true, statement #2 is true","Statement # 1 is true, statement #2 is false","Statement #1 is false, statement #2 is true","Statement #1 is false, statement #2 is false",,,D,
Which of the following factors are major contributors to cartilage degradation in the TM joint?,Joint overload from clenching,Multiple carious teeth requiring extensive dental work,Speaking continuously most of the day,Immobilization of the jaw,All of the above,Only a and d are correct,F,
Studies on synovial fluid analysis of the temporomandibular joint have demonstrated the presence the following substance(s) in diseased joints?,Inflammatory mediators,Cartilage degradation byproducts,Keratan Sulfate,Cytokines,All of the above,,E,
"Extensive temporomandibular joint surgery in the 1980's resulted in many patients being injured from the use of Proplast Teflon as a disc replacement, ultimately resulting in foreign body reactions.",True,False,,,,,A,
Which of the following is NOT CORRECT concerning the condition synovitis?,It represents a significant inflammation of the synovial tissues,It is associated with significant swelling and pain,It may impair joint lubrication,the only effective treatment for synovitis is anti-inflammatory medications,arthroscopic surgery can provide direct injection of steroids into the inflamed synovial tissues,,D,
Which of the following is NOT LIKELY to be maintained following arthroscopy TM joint surgery?,Disc repositioning to a normal position between the articular eminence and head of the condyle,Improved mandibular range of motion,Reduction in pain,Removal of adhesions and scar tissue,,,A,
Which one of the following is a symptom that is not likely to occur in a synovial joint that is diseased?,Swelling,Pain,Limited mobility,Rash,Crepitus or clicking sounds,,D,
Arthroscopic TMJ surgery is routinely performed by all oral &maxillofacial surgeons through training in their residency programs.,True,False,,,,,B,
