title,Oral & Maxillofacial Surgery Final Exam (Spring 2018),omfs,final
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
Which of the following statements regarding coronectomy is NOT TRUE?,"Coronectomy is a useful procedure when extraction of a mandibular third molar is indicated, but significant risk of damage to the inferior alveolar nerve exists because of the anatomic relationship between the tooth root and the inferior alveolar nerve canal.","If delayed removal of the apical portion of a tooth that is left in during a coronectomy becomes necessary because the fragment has moved away from the nerve and come to the surface, the risk of damage to the inferior alveolar nerve is the same as if the entire tooth was removed initially.",CBCT is a diagnostic technique that is useful in determining the risk of damage to the inferior alveolar nerve when determining how to treat an impacted mandibular third molar.,Coronectomy may be a more technically difficult procedure than extraction of the full tooth.,A coronectomy procedure on a mandibular third molar may result in inferior alveolar nerve damage.,,,,B,
Which of the following statements is TRUE?,The terms “unerupted tooth” and “impacted tooth” have the same meaning and can be used interchangeably.,Complications and recovery time increase if impacted teeth are extracted on older patients.,"Any tooth that has not come through the gingival tissue into the oral cavity is, by definition, an impacted tooth.",All unerupted teeth should be extracted.,All impacted teeth should be extracted.,,,,B,
Which of the following statements is TRUE?,It is unusual for mandibular third molars to begin their development in a horizontal position.,All mandibular third molars that begin their development in a horizontal position will become impacted.,Vertically oriented mandibular third molars will not become impacted.,"If there is adequate arch length between the ramus of the mandible and the mandibular second molar, the mandibular third molar will always erupt.",None of these statements are TRUE.,,,,E,
In which of the following choices are the image and statement inconsistent?,The tooth in this image is considered a mesioangular impaction.,The tooth in this image is considered a horizontal impaction.,The tooth in this image is considered a vertical impaction.,The tooth in this image is considered a distoangular impaction.,All of these choices show images and statements that are consistent.,,,,E,images/omfs-final-spring-2018/fig14.jpeg
Which of the following statements about the Pell and Gregory Classifications of impacted teeth is TRUE?,"Pell and Gregory Classes 1, 2, and 3 are based on the relationship of the tooth to the occlusal plane as measured by the depth of the impacted tooth compared with height of adjacent 2nd molar.","Pell and Gregory Classes A, B, and C are based on mesiodistal diameter of the crown and its relationship to the border of the ramus.",Pell and Gregory Classifications are useful because they are indicative of the degree of difficulty that can be expected when a tooth is extracted.,Pell and Gregory Classifications are utilized by insurance companies to determine payments made for extractions.,"Although Pell and Gregory led an Expedition through the uncharted American interior to the Pacific Northwest in 1804-06, Lewis and Clark stole the credit for the expedition. Pell and Gregory then classified impacted teeth to get their names in the history books.",,,,C,
"While extracting a mandibular third molar, you realize that the distal root tip is missing and it is not seen in the socket. Where is it MOST LIKELY to be found?",In the infratemporal fossa.,In the submandibular space.,In the mandibular canal.,In the pterygopalatine fossa.,In the ipsilateral lung.,,,,B,
Why is a conventional dental handpiece that expels forced air contraindicated when performing dentoalveolar surgery involving cutting of bone and teeth?,It can remove too much bone because of its rapid cutting.,"It can cause tissue emphysema or an air embolus, which can be fatal.",It is not high-powered enough to remove bone,"It will only cut through enamel and dentin, but not through cementum.",It cannot be adequately sterilized.,,,,B,
Risk fractures for mandible fracture during extraction of a mandibular tooth include:,Patient age greater than 40 years.,Atrophic mandible.,Pathology such as a cyst or tumor.,Crowding of mandibular teeth.,Inexperienced surgeon using excessive force or improper techniques.,,,,D,
"If an impacted maxillary third molar is inadvertently displaced during an attempted extraction, it can end up in the ___________.",Canine space or infratemporal space.,Pterygomaxillary space or pharyngeal space.,Infratemporal space or pharyngeal space.,Pharyngeal space or submandibular space.,Maxillary sinus or infratemporal space.,,,,E,
"During extraction of a maxillary third molar, the tuberosity fractures and is removed with the tooth. What is the proper treatment in this case?",Remove the tuberosity from the tooth and re-implant it.,Smooth the sharp edges of the remaining bone and suture the soft tissue.,Re-implant the tooth the attached tuberosity.,Perform a tension free primary closure with a buccal fat pad graft.,Perform an immediate reconstruction of the site with a bone graft harvested from the patient's iliac crest.,,,,B,
All of the following can be signs and symptoms of an alveolar osteitis EXCEPT:,Throbbing/radiating pain.,Bilateral lymphadenopathy.,Fetid odor.,Bad taste.,Pain over side of face extending to ear.,,,,B,
The root of which tooth is MOST COMMONLY dislodged into the maxillary sinus during an extraction procedure?,Palatal root of the maxillary first premolar.,Palatal root of the maxillary first molar.,Distobuccal root of the maxillary first molar.,Palatal root of the maxillary second molar.,Root of severely inclined lateral incisor.,,,,B,
"The Caldwell-Luc procedure eliminates blind procedures and facilitates the recovery of large root tips, entire teeth or foreign bodies that have been displaced into the maxillary sinus. When performing this procedure, a lateral window is created through the facial wall of the maxillary antrum (sinus) above the:",Maxillary tuberosity.,Maxillary lateral incisor crown.,Maxillary premolar roots,Maxillary second molar roots.,Anterior nasal spine.,,,,C,
"During extraction of a maxillary third molar, the tuberosity is fractured but remains attached to the periosteum with an intact blood supply. What should you do?",Remove the tuberosity and suture the soft tissue closed primarily.,Send the patient to a hospital Emergency Room.,Elevate the flap and place transosseous wires to stabilize the tuberosity during healing.,Reposition the fragment while maintaining its attachment to the periosteum and stabilize with sutures or refer to an oral surgeon who will do this.,Do whatever you have to do to make sure that the patient does not find out that this has happened.,,,,D,
Which of the following statements regarding a severe dull ache in the jaw 3-5 days after a dental extraction is TRUE?,It is probably caused by loss of the alveolar blood clot.,A narcotic should be prescribed to resolve the problem.,It is probably caused by exposure of the cementum of an adjacent tooth.,An antibiotic should be prescribed to resolve the problem.,It is probably caused by the onset of an acute pulpitis of an adjacent tooth.,,,,A,
"Hemorrhage after oral surgery can be prevented by or minimized by pre-, intra-, and post-operative techniques. Which of the following techniques may be applicable?",Application of pressure to the surgical site.,Ligation of bleeding vessels.,Treatment of systemic bleeding issues.,Atraumatic reflection of mucoperiosteal flaps during surgical procedures.,All of the above.,,,,E,
What is the most common intraoperative complication to occur during tooth extraction?,Displacement of a root into the maxillary sinus.,Bleeding.,Injury to the inferior alveolar nerve.,Root fracture.,Mandibular fracture.,,,,D,
"You are extracting a mandibular third molar that is in close proximity to the inferior alveolar nerve. You have almost completely delivered the tooth from the socket, but a fragment of the distal root has fractured off. Which of the following is TRUE?","If the root fragment is greater than 2mm in length and close to the inferior alveolar nerve, it should be left in place and monitored.","If the root fragment is less than 2mm in length and close to the inferior alveolar nerve, it should be left in place and monitored.",The root fragment should always be removed despite the significant risk of injury to the inferior alveolar nerve. The size of the fragment is irrelevant.,The root fragment should be reduced in size with a handpiece to less than 4mm and retained in the socket for monitoring.,The patient needs to be informed of the fractured root and it is their decision if they want you to remove it or leave it in place.,,,,B,
You have extracted a mandibular third molar on a 21 year-old male. The socket continues to bleed after you have applied pressure only. You maintain good suction and identify the source of bleeding as directly from the bone marrow. Which of the following options is your next best step?,Use gauze again to apply pressure only. Tell the patient to continue the pressure for a few hours and that the bleeding will eventually stop. Discharge the patient.,"Pack the socket with Gelfoam or Surgicell, apply pressure, then suture the socket and continue to apply gauze pressure. Monitor for continued bleeding. Discharge the patient if the bleeding has stopped. Make sure that they understand the post-operative instructions.",Irrigate the socket copiously and discharge the patient. Explain to the patient that they have a lot of blood to begin with and that they cannot lose a lot of blood from a single tooth extraction.,Send the patient to the hospital for angiography and embolization.,"Send the patient to their physician to check their INR, PT, PTT, and platelet count.",,,,B,
"You are extracting a palatally inclined upper right third molar. You have a throat pack in place. While you are delivering the tooth the patient coughs, and the tooth disappears. Now what?",Check that the patient is still responsive and breathing comfortably.,Carefully remove the throat pack to ensure that the tooth isn't somewhere in the throat pack.,Inform the patient of what may have happened with the tooth.,Send the patient to the Emergency Room for evaluation which should include chest/abdominal radiographs to locate the tooth.,All of the above.,,,,E,
"Which organisms, common in a chronic dental infection, are facultative anaerobes?",Fusobacterium.,Prevotella.,Tannerella.,Porphyromonas.,Streptococcus Viridans.,,,,E,
Which of the following fascial spaces is not a subdivision of the masticator space?,Masseteric space.,Submandibular space.,Pterygomandibular space.,Infratemporal space.,Superficial temporal space.,,,,B,
Which vital anatomical structure might be encountered while performing an intraoral incision and drainage in the mandibular bicuspid region?,Mental nerve.,Buccal branch of the facial nerve.,Inferior alveolar nerve.,Mandibular branch of the facial nerve.,Lingual nerve.,,,,A,
"Which oral antibiotic, often used for dental infections, is most similar to the intravenous antibiotic Unasyn?",Clindamycin.,Azithromycin.,Augmentin.,Metronidazole.,Amoxicillin.,,,,C,
What element is found in the contrast agents used for a CT scan with contrast?,Magnesium.,Sodium.,Iodine.,Chromium.,Iridium.,,,,C,
Which three lab values are most often used in conjunction to confirm the presence of an infectious process?,"Hemoglobin, hematocrit, white blood cell count (WBCs).","C-reactive protein (CRP), platelet count, blood urea nitrogen (BUN).","Erythrocyte sedimentation rate (ESR), blood urea nitrogen (BUN), white blood cell count (WBCs).","White blood cell count (WBCs), C-reactive protein (CRP), erythrocyte sedimentation rate (ESR).","Erythrocyte sedimentation rate (ESR), C-reactive protein (CRP), creatinine.",,,,D,
Which intraoral fascial space is found above the mylohyoid muscle?,Submandibular space,Sublingual space,Submental space,Masseteric space,Lateral pharyngeal space,,,,B,
Failure to diagnose malignancies in a timely fashion is a serious problem that can result in:,Increased morbidity and mortality for patients.,Increased treatment for patients.,Increased medical costs.,Increased number of malpractice suits and size of malpractice settlements.,All of the above.,,,,E,
When evaluating a lesion on a patient:,It is mandatory for a provider to develop a differential diagnosis of the lesion.,The potential diagnoses may be referred to as “R/O” (Rule-out).,Neither of these statements are TRUE.,Both of these statements are TRUE.,,,,,D,
"If you believe that a lesion you have removed during your biopsy is benign, a follow-up visit is not indicated.",TRUE.,FALSE.,,,,,,,B,
The specimen taken for an incisional biopsy should include normal appearing soft tissue adjacent to the lesion.,TRUE.,FALSE.,,,,,,,A,
Which of the following is NOT a characteristic of a lesion that should raise suspicion of malignancy?,Lesion bleeds with gentle manipulation.,Lesion with duration of greater than 2 weeks.,Erythroplasia.,Lesion is attached to adjacent structures.,Rapid growth of the lesion occurs.,Lesion and adjacent tissue are indurated.,Lesion is ulcerated.,All of these characteristics should raise suspicion of malignancy.,H,
"Providers should have a high suspicion for malignancy when intraoral lesions are found in “high-risk” areas, such as:",Lateral border of the tongue,Middle and posterior one third of the tongue.,Floor of the mouth.,None of these areas.,All of these areas.,,,,E,
Which of the following anatomic structures is most likely to be accidentally injured when a lingual frenectomy is performed?,Stenson's duct.,Wharton's duct.,Inferior alveolar nerve.,Mental nerve.,Aorta.,,,,B,
A submucosal vestibuloplasty is indicated when:,There is inadequate height of maxillary bone to support a denture.,There is adequate height of bone to support a denture but soft tissue attachment is on or near the alveolar crest resulting in inadequate mucobuccal fold to accommodate a denture.,You notice lip shortening when elevating soft tissue with a mouth mirror in maxillary vestibule.,There is adequate vestibular depth and alveolar bone to support a denture and provide good retention.,There is only enough bone to place short implants.,,,,B,
When performing a lip switch/ transpositional vestibuloplasty it is acceptable to allow the exposed labial mucosa to heal by secondary intention.,TRUE.,FALSE.,,,,,,,A,
Up to 60% of alveolar bone loss occurs in the first 2-3 years following tooth loss.,TRUE.,FALSE.,,,,,,,A,
A crucial aspect of site preservation during the extraction of teeth is to:,Remove as much bone as you can to get the tooth out quickly and replace it with bone graft material.,: Reflect a large flap to obtain primary closure.,Extract the tooth traumatically.,"Maintain as much native bone as you can, especially the buccal plate",Allow the site to heal so that delayed secondary grafting can be performed when the patient is more comfortable.,,,,D,
Which of the following is NOT generally done when removing impacted teeth?,Expose the area adequately with a soft tissue flap.,Remove sufficient bone as needed.,Section the tooth and place purchase points if necessary.,Luxate the tooth to expand the cortical plates.,"Smooth the bone, irrigate the socket, and close the flap.",,,,D,
"When extracting an impacted mandibular third molar, all of the following are TRUE, EXCEPT:","Before making the incision, the bone distal to the tooth should be palpated to insure that the incision is made over bone and minimize risk to the lingual nerve.",The incision should be flared to the buccal as it extends distally to minimize risk to the lingual nerve.,An envelope flap will generally be easier to suture and heal better than a 3-corner flap.,A CBCT should be obtained to determine the anatomic relationship between the tooth and the lingual nerve if there is any concern that arises from the panoramic radiograph.,"A detailed informed discussion should be conducted with the patient so that they understand the risks, benefits, likelihood of success, and alternatives to the extraction, as well as the risks and benefits of these alternatives.",,,,D,
Which of the following courses of action is the MOST REASONABLE choice?,You should extract the tooth because there is no significant risk of bleeding at this INR.,"You should check the MAPPP app and manage the patient's Coumadin based on the algorithms in the app. In the meantime, smooth the sharp edges of the tooth to minimize the tongue trauma.","You should tell the patient to discontinue their Coumadin for 3 days and then have them come back to take the tooth out. In the meantime, smooth the sharp edges of the tooth to minimize the tongue trauma.","You should contact the physician managing their Coumadin and consult with them to come to an agreement on the best course of action to take. In the meantime, smooth the sharp edges of the tooth to minimize the tongue trauma.","You should contact the physician managing their Coumadin and do what they tell you. In the meantime, smooth the sharp edges of the tooth to minimize the tongue trauma.",,,,D,images/omfs-final-spring-2018/fig51.jpeg
Which of the following risks does NOT need to be discussed with the patient during the informed consent discussion?,Possibility of a root fracture and leaving a piece of the root in.,Possibility of sinus complications such as an oro-antral communication or displacement of the tooth or root fragment into the sinus.,Possibility of damage to an adjacent tooth.,Possibility of post-operative bleeding.,Possibility of temporary or permanent numbness of the lip.,,,,E,images/omfs-final-spring-2018/fig52.jpeg
You are getting ready to extract the tooth in whichever situation you chose above. The patient's pre-op readings are: • BP: 129/82 • HR: 67 • O2 sat: 96% Which of the following options for local anesthesia could be considered a good choice based on the reasoning accompanying it?,Use local anesthesia with epinephrine because the epinephrine will be helpful in controlling intra-operative bleeding.,Use local anesthesia without epinephrine so potential bleeding is not masked while the patient is in the office and then they go home and have a bleeding problem,Both of these options could be considered a good choice.,,,,,,C,images/omfs-final-spring-2018/fig53.jpeg
Which of the following is the best option for post-operative pain control in this patient?,Acetaminophen.,Ibuprofen.,Naproxen.,Combination of acetaminophen and ibuprofen.,Combination of naproxen and acetaminophen.,,,,A,images/omfs-final-spring-2018/fig54.jpeg
You remove the entire tooth but are concerned about a potential sinus communication. Which of the following instructions should be given to the patient as part of their “sinus precautions”?,Do not blow your nose.,Sneeze with your mouth open.,Avoid high elevation/altitude.,Do not do any activities that will cause straining and increase sinus pressure.,All of the above.,,,,E,images/omfs-final-spring-2018/fig55.jpeg
The patient returns the next day with active bleeding from the extraction socket. Which of the following would NOT be useful in helping to control the bleeding?,Remove the “liver” clot that is protruding from the extraction site.,Apply firm pressure over the extraction site with moist gauze.,Pack the extraction site with a hemostatic agent such as Surgicell or a collagen plug.,Use topical thrombin at the site.,Place bone graft material in the socket to close the presumed sinus communication which is the most probable cause of the bleeding.,,,,E,images/omfs-final-spring-2018/fig56.jpeg
"The patient returns 3 days after the extraction. They report that the bleeding stopped after your intervention on post-op day 1. They are concerned because they are now ecchymotic along the side of their face and on their neck and onto their chest. When you examine their mouth, you observe that there is no active bleeding. You should:",Open the extraction site and repack and re-suture.,Give Vitamin K to reverse any remaining effects of the Coumadin.,Call their physician and ask them to arrange for hospital admission.,Send the patient to a hematologist for evaluation.,Reassure the patient that this is not a problem and remind them that you told them pre-operatively that they may get “black and blue.”,,,,E,images/omfs-final-spring-2018/fig57.jpeg
It may be prudent for a general dentist to refer a medically compromised patient who needs a tooth extraction with potential for bleeding or sinus complications to an Oral and Maxillofacial Surgeon.,TRUE.,FALSE.,,,,,,,A,images/omfs-final-spring-2018/fig58.jpeg
