title,DAO Midterm Exam (Summer 2018),dao,midterm,"1 question (listing the four structures of the periodontium) was a fill-in-the-blank question in the source, not multiple choice, so it was omitted from this practice exam."
question,option_a,option_b,option_c,option_d,option_e,correct,image
What feature of the temporomandibular joint system separates the joint into two cavities?,articular disc,mandibular condyle,articular eminence,coranoid process,,A,
Which of the following statements regarding the temporomandibular joint is correct?,The temporomandibular joint is a ginglymoarthrodial joint.,The temporomandibular joint is capable of both hinge action and translation.,The superior cavity of the temporomandibular joint allows for hinge action.,a and b only.,All of the above.,D,
"When using only hinge action at the temporomandibular joint, what skeletal feature limits full depression of the mandible (opening fully)?",articular disc,mandibular condyle,articular eminence,coranoid process,,C,
"During right lateral excursion of the mandible, which condyle is protracted?",right,left,neither,both,,B,
Terminal Hinge Position :,After this point in the opening movement there will be translation movement of the condyles,It usually falls within the chewing loop,The condyles are in the CR position,It is the end of purely rotational movement of the condyles in the opening border movement,"a,c and d only",E,
Which of the following are the anatomic features of permanent maxillary central incisors? 1. Cingula 2. Mamelons 3. Cusp ridges 4. Marginal ridges 5. Cervical lines 6. Triangular ridges,"1, 4, 6","1, 2, 3, 6","2, 3, 6","1, 2, 4, 5",,D,
Which characteristic (trait) of canines does NOT also apply to all incisors?,The crown is wedge shaped (somewhat triangular) when viewed from the proximal view.,The crown is wider faciolingually than mesiodistally.,"When viewed from the mesial or distal, the lingual outline is somewhat S-shaped.",The facial and lingual crests of curvature (heights of contour) are located in the cervical third of the crown.,,B,
A Y-shaped occlusal groove pattern is characteristic of a:,Mandibular first premolar,Maxillary first premolar,Mandibular second premolar,Maxillary second premolar,,C,
Which describes the motion of the non-working side condyle?,Strictly anterior and downward,"Upward, forward and laterally (away from the midline","Downward, forward and medial",Rotational only,,C,
Which is not true of Anterior Guidance,It helps protect the back teeth from destructive forces,One of the factors contributing to proper guidance is the shape of the posterior wall of the mandibular (glenoid) fossa,Proper guidance depends upon the position and length of the lower incisors,Horizontal and vertical overlap are determinants,,B,
