title,Ethics Final Exam (Summer 2017),ethics,,"1 question (about the ADA Ethics Hotline) is an intentional single-choice question in the source — the instructor's note explains there is only one answer option and everyone gets credit for marking it. It was omitted since this app requires at least two choices per question."
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
The Student Ethics and Professionalism Association (SPEA) is a national organization that promotes and supports students' lifelong commitment to ethical behavior in order to benefit the patients they serve and to further the dental profession. The Touro college of Dental Medicine is proud to be the home of the newest chapter of this organization. This statement is:,True,False,,,,,,,A,
"We discussed a case in the small group sessions about a patient who needed antibiotic premedication for a procedure, but did not want to comply with taking the antibiotics. The patient told his dentist that he would go to another dentist and not provide the medical information to the new dentist so he could be treated without the antibiotics. He told his original dentist not to communicate with the new dentist. Which of the following statements is TRUE:","If the original dentist tells the new dentist that the patient needs antibiotics before treatment, this is consistent with the ethical principle of PATERNALISM.","If the original dentist does not tell the new dentist that the patient needs antibiotics before treatment, this is consistent with the ethical principle of BENEFICENCE.","If the original dentist does not tell the new dentist that the patient needs antibiotics before treatment, this is consistent with the ethical principle of NON-MALEFICENCE.",If the original dentist does the procedure without premedication as the patient requested this is consistent with the ethical principle of NON-MALEFICENCE.,"If the original dentist does not tell the new dentist that the patient needs antibiotics before treatment, this is consistent with the ethical principle of patient AUTONOMY.",,,,E,
The ADA has published a White Paper entitled The Ethics of Temporary Charitable Events. These events are sponsored by many organizations in order to increase access to dental care for patients that might not otherwise receive care. Which of the following scenarios is consistent with the ethical principle of NON-MALEFICENCE?,These events are dependent on volunteers so it may be necessary to assign assisting duties to personnel who have not been trained or credentialed.,Dentists may perform services that they do not routinely perform if an appropriate specialist is not available.,"Conditions at the site of the event may not allow for the same infection control techniques that are standard in the office setting. However as long as an effort is made to attempt to adhere to accepted standards, the event may be considered compliant.","Discussions regarding treatment, including options and risks and benefits may be delegated to non-professionals in order to provide care to the largest number of people.",Patients cannot be abandoned and must be provided with pertinent information and appropriate contact information so that they may receive necessary follow-up care.,,,,E,
"We discussed a case in the small group sessions about a suspected undocumented immigrant who was seeking care at a medical clinic. From a LEGAL standpoint, which of the following statements is TRUE?","Doctors are obligated to report any crime, whether they witnessed it directly or their staff made them aware of it.",Doctors are obligated to treat everyone.,A duty to treat arises because a doctor has a pre-existing relationship with a patient or because in the circumstances the patient reasonably relies on the doctor's help,"“Good Samaritin” laws protect doctors who voluntarily decide to provide care to an individual in need, whether or not the doctor receives compensation for that care.","If a patient lies to a doctor, the information they have provided (name, address, and any other data such as her health history and current complaint, etc.) is not protected from disclosure under the Health Insurance Portability and Accountability Act (HIPAA) <http://journalofethics.ama-assn.org/2016/03/pfor5-1603.html> and its implementing regulations.","If a doctor suspects that a patient is attempting to commit insurance fraud, they can still bill the insurance provider, as long as they make a note about it in the patient's chart.",,,C,
"We discussed a case in the small group sessions about a suspected undocumented immigrant who was seeking care at a medical clinic. In the opinion of the authors providing commentary about this case, from an ETHICAL standpoint, which of the following statements is NOT TRUE?","If a patient has an acute life-threatening condition (for example, a stroke, respiratory distress, or ongoing blood loss), it is the physician's moral obligation to treat him or her, except under rare and extenuating circumstances-such as certain risk of dangerous exposure, injury, or death from attempting treatment.",Working for free is a duty of all physicians.,Doctors should leave prejudices at home when they enter the clinic or hospital.,"The demands of beneficence and the weight of the patient-doctor relationship can transcend the law, and a doctor could be morally justified if she or he chose not to comply with a specific law.",Physicians are morally justified in “conscientiously objecting” to any law that requires them to act in contradiction to their professional duties to patients.,,,,B,
"You were taught to analyse situations by applying the ethical principles that we discussed.  In any given situation, you will always reach the same conclusion of what to do, no matter which of the principles you are applying.",True,False,,,,,,,B,
Which of the following statements in regard to cheating in dental schools is NOT TRUE?,Cheating is a significant problem in dental schools.,Significant differences exist between students' and faculty members' perceptions of academic integrity.,"Situational ethics, such as ""everybody else is doing it,"" is not a valid justification for cheating.",Performing unnecessary patient procedures in order to meet requirements for graduation can be justified if the procedures are not harmful.,Delaying patient care to better accommodate a dental student's education should not be done if there is any possibility of harm to the patient.,,,,D,
"All of the following are consistent with the Faculty Code of Conduct, EXCEPT:",Faculty members should be aware of ethical principles AND should model ethical behavior for the students.,Faculty members should stay current with knowledge and continually develop and improve their scholarly competence.,Faculty members should maintain confidentially regarding student information.,Faculty members should assist students in attaining competencies.,Faculty calibration and adherence to rubrics for grading students' procedures are utilized.,Faculty members' allegiance to dental students comes before their allegiance to the public.,,,F,
We discussed a case in class where a faculty member selected students for a corporate dental group to interview for jobs. The following questions could be formulated: • Did the faculty member receive any compensation or perks for helping this company? • Did all of the students have the same exposure to this faculty member? • Did this help the school by giving some of its students a better chance of getting these good jobs than students from other schools? • Did students who might have otherwise had a chance at those jobs miss out because of the faculty member's intervention? • What criteria did the faculty member use in selecting the students for interviews? All of these questions are useful in assessing this case from an ethical standpoint.,True,False,,,,,,,A,
Which of the following statements is TRUE?,Abuse of prescription medications and heroin addiction are two unrelated problems facing this nation.,Non-medical use of prescription opiates may become a national health crisis in the future.,Easy availability of drugs with abuse potential is a contributing factor for putting healthcare professionals at risk of developing problems.,"The pharmacological and psychological knowledge and understanding that healthcare professionals have puts them in a position where, even if they use drugs illicitly, they can function both personally and professionally without problems.","Saving unused prescription medications in case they are needed in the future by the patient, a family member, or trusted friend, is a sound practice that could save significant money for both individuals and the healthcare system and should be recommended when prescriptions are given.",,,,C,
Which one of the following practices should be followed when prescribing opiates?,A maximum of a two week supply of opiates should be prescribed after a routine dental procedure.,"It is appropriate to include three refills of opiates with the initial prescription after a dental procedure. If a patient request more opiates following these refills, the dentist should talk to them before giving additional refills.","NSAIDs (e.g. ibuprofen, Motrin, Advil) and/or acetaminophen can often be used to provide adequate pain relief following dental procedures so that opiates may not be necessary.",Opiates may only be prescribed for someone who is not a patient of record in emergency situations where they are in otherwise uncontrollable pain.,"Opiates may be safely prescribed to patients taking any drugs, whether or not those drugs were prescribed to them.",,,,C,
"Attachments to pain prescriptions may be a useful tool in reducing prescription drug abuse. The attachment should include all of the following, EXCEPT:",Your unused pain medication is a potential threat to family and friends.,A main source of abused pain medication is the unused pills from your prescription. Younger family members and their friends are especially at risk.,"Properly dispose of unused medications, rather than keeping them for that “just in case” moment.","Do not flush medications down any drains, as medication may find its way into the water supply.",Make sure that anyone you share this medication with understands that it MAY impair them and that they should not drive or operate heavy machinery while taking this medication.,,,,E,
"In regard to the risk of developing a problem with the illicit use of prescription analgesics and/or developing medical harm from this use, all of the following statements are TRUE, EXCEPT:",Patients over 65 are at high risk.,Patients on both opioids and benzodiazepines are at high risk.,Patients with existing substance abuse disorder are at high risk.,Patients with Mental Health Disorders are at high risk.,Adolescents are at high risk.,Legitimate opiate use before high school graduation is NOT associated with an increased risk of future opiate misuse after high school.,,,F,
"All of the following behavioral characteristics may be indicative that a patient has a substance abuse problem, EXCEPT:",Inappropriate behavior.,Unreliable with appointments.,Knows exactly which drug to ask for.,Enraged when frustrated.,No anxiety regarding having treatment done.,Extreme anxiety about pain.,,,E,
"In regard to pain management in patients with substance abuse problems, the following statements are TRUE, EXCEPT:",Healthcare providers are legally bound not to contribute to addiction.,"Although NSAIDs (e.g. ibuprofen, Motrin, Advil) may generally provide adequate pain relief for many conditions, there are circumstances where they might not provide adequate pain relief.","Due to acquired tolerance to opiates, increased dosages may be required for adequate pain control.",Medications that have the potential for abuse should be given to the patient's “trusted other”.,"Patients with substance abuse problems, do not have the same rights to adequate pain control as patients without substance abuse disorders.",,,,E,
"Patients may present for treatment when they are ""high"". Which of the following statements is NOT a legitimate concern when making decisions on how to best treat these patients?",These patients may not be able to give valid informed consent.,These patients may not be able to adequately comply with treatment and post-op instructions.,Treating these patients can put you and your staff at risk.,These patients might have untoward reactions to any aspect of the treatment.,These patients should be treated at that time because a dentist cannot discriminate against a patient for any reason.,,,,E,
"When providing dental care to patients who are in Recovery, which of the following statements is NOT TRUE?","Avoid mood altering drugs, if at all possible.",Coordinate with the patient's family/rehab sponsor if mood altering drugs become necessary so the patient has the support they need.,"When providing treatment, use long acting local anesthesia to get them through the immediate post-operative period.",Whenever possible treat the problem and provide the necessary dental care to get them out of pain rather than waiting and relying on medications.,"If they are receiving medications to help them with their abuse problem, such as methadone or buprenorphine maintenance, they cannot have problems with the use of opiates.",,,,E,
"Patients below the age of 18 are generally considered minors and their parent or guardian is required to provide consent for treatment. In certain circumstances, patients under the age of 18 may be legally allowed to make their own medical decisions and consent to or refuse treatment. Which of the following statements is TRUE?","In NY, patients must be 13 years-old or older to legally provide consent when the treating doctor believes that they have the emotional and cognitive ability to function as an adult.","In all states in the U.S., patients must be 13 years-old or older to legally provide consent when the treating doctor believes that they have the emotional and cognitive ability to function as an adult.","In NY, patients must be 16 years-old or older to legally provide consent whenthe treating doctor believes that they have the emotional and cognitive ability to function as an adult.","In all states in the U.S., patients must be 16 years-old or older to legally provide consent when the treating doctor believes that they have the emotional and cognitive ability to function as an adult.",Patients of any age can legally consent to procedures if they are in pain.,,,,A,
"In regard to rules and regulations which affect dentists in practice, which of the following statements is NOT TRUE?","The federal government is responsible for laws regarding the economic aspects of healthcare, including those affecting the relationships between providers.","The state government is responsible for laws regarding the actual practice of healthcare, such as scope of practice of different providers and licensing of providers.","The local government is responsible for laws regarding the business aspects of healthcare, such as office zoning issues and regulations regarding in-home offices.","Federal, state, and local governments can each impose laws regarding any and all aspects of healthcare practice.",,,,,D,
"Consider the following two statements: • I. ”Kickbacks"" and referral fees are two different terms for a practice that is both illegal and unethical. • II. ”Kickbacks"" only refer to the payment of money for a referral. Gifts such as vacations are not considered ""kickbacks.""",Statements I and II are both TRUE.,Statements I and II are both FALSE.,Statement I is TRUE and statement II is FALSE.,Statement I is FALSE and Statement II is TRUE.,,,,,C,
Which of the following practices is NOT useful in maintaining HIPAA compliance for protecting patients' information?,Using heavy-duty sheetrock in the walls of a doctor's office to prevent people from over-hearing conversations between patients and medical staff.,Avoiding leaving specific information on a patient's answering machine.,Asking patients what specific information you can discuss with other people.,Finding out from patients what specific people you may talk to regarding their information.,Posting a list of the day's patients and their planned procedures in front of the chair in your dental operatory so that your assistants do not have to tell you the schedule when a patient can overhear.,,,,E,
"If a HIPAA breach occurs in your office, having a specific policy in place and showing that your intent was to be compliant, will be helpful when the authorities are considering what actions will be taken against you.",True.,False.,,,,,,,A,
Consider the following two statements: • I.  Malpractice occurs when treatment provided deviates from the standard of care. • II.  The standard of care can vary from one community to another.,Statements I and II are both TRUE.,Statements I and II are both FALSE.,Statement I is TRUE and statement II is FALSE.,Statement I is FALSE and Statement II is TRUE.,,,,,A,
"Access to dental care is a multi-factorial problem involving many stakeholders and viewpoints. All of the following factors play a role in this problem, EXCEPT:",Individual's personal choices with oral care and diet.,Choices with personal finances or lack of finances.,Lack of oral health literacy.,Lack of cooperation of medical community.,Lack of financing for Medicaid.,Lack of knowledge by senior citizens that Medicare provides extensive dental benefits.,Complex social determinants of oral health.,Societal and political view that universal health and dental coverage is unwarranted.,F,
"Consider this list of descriptors of cohorts of the US population: • Children • Low Income • Elderly • Native Americans: American Indian, Native Alaskan People of Color • Those with disabilities • Those in Institutions • Homeless • Rural • “Inner City” All of these groups are underserved in regard to the provision of dental care.",True,False,,,,,,,A,
"As stated in the ADA document, Ethics and Code of Professional Conduct, which of the following statements is TRUE:",Ethical obligations and legal obligations are equivalent.,Legal obligations often exceed ethical obligations.,Ethical obligations often exceed legal obligations.,,,,,,C,
Which of the following statements applies if a former patient requests that you send a copy of their records to a new dentist that they are switching to:,You should send a copy of the records once the patient provides a verbal request.,You cannot deny the request because the patient owes you money for treatment that you provided.,You can charge whatever fee you set for copying and sending the records.,"Before you send the chart, you can go back in the chart and make changes in the entries to better clarify the treatment that was provided.",You can refuse the request if you are concerned that the patient wants to sue you.,,,,B,
Which of the following is NOT related to the ethical principle of Justice?,Dentists cannot refuse to treat certain patients by discriminating against any protected class of people.,Dentists must have procedures in place for their patients to receive emergency care.,"When evaluating the work of others, dentists should make an effort to learn the facts involved in the case so that they can provide only justifiable criticism.","When providing expert testimony in a malpractice suit, all testimony must be just and fair.",Dentists should be involved in research and development.,,,,E,
Consider the following two statements: • I.  Dental students should not become involved in personal relationships with patients because the nature of the professional relationship puts the student in a position of judgement and power over the patient. • II.  Licensed dentists should not become involved in personal relationships with their patients because the nature of the professional relationship puts the dentist in a position of judgement and power over the patient.,Statements I and II are both TRUE.,Statements I and II are both FALSE.,Statement I is TRUE and statement II is FALSE.,Statement I is FALSE and Statement II is TRUE.,,,,,A,
"The ADA document, Principles of Ethics and Code of Professional Conduct, celebrated its 150th anniversary in 2016. Consider the following five statements: • This document has stood the test of time and should not be revised at any time in the future. • A proposal has been made to add an additional ethical principle, Respect for Human Dignity. • Revisions may be necessary as scientific advances in areas such as technology and genetics occur and change the techniques we utilize to provide care to patients. • Revisions may be necessary as scientific advances in areas such as genetics occur and information we learn about individual patients can be used in detrimental fashions. • This document is out of date and no longer relevant to the practice of dentistry.",None of these statements are TRUE.,One of these statements is TRUE.,Two of these statements are TRUE.,Three of these statements are TRUE.,Four of these statements are TRUE.,All of these statements are TRUE.,,,D,
Requirements necessary for applicants to qualify for a license as a dentist are delineated at the New York State Education Department website. Which of the following is NOT a requirement for licensure in NYS?,Completion of education for and obtain a doctoral degree in dentistry at an institution meeting NYS requirements.,"Have satisfactory experience in and complete a clinically-based postdoctoral general practice or specialty dental residency program, of at least one year's duration, that meets NYS requirements.",Pass a written examination meeting NYS requirements.,Be of good moral character as determined by the department.,All of the choices above are requirements.,,,,E,
There are numerous courses and programs available from which dentists can obtain Continuing Education. Consider the following two statements: • I.  Continuing Education is an ethical obligation of dentists as this practice is consistent with the ethical principles of Beneficence and Non-Maleficence. • II. Continuing Education is a legal obligation of dentists in NYS as per regulations set forth by the NYS Department of Health.,Statements I and II are both TRUE.,Statements I and II are both FALSE.,Statement I is TRUE and statement II is FALSE.,Statement I is FALSE and Statement II is TRUE.,,,,,A,
"A dentist who is licensed in NYS must practice within the limits set forth in the Definition of the Practice of Dentistry as described by the state. Consistent with the current Definition, licensed dentists are allowed to do all of the following, EXCEPT:","Diagnose, treat, operate, or prescribe for any disease, pain, injury, deformity or physical condition of the oral and maxillofacial area related to restoring and maintaining dental health.",Prescribe and fabricate dental prostheses and appliances.,Perform physical evaluations in conjunction with the provision of dental treatment.,Own an office employing other healthcare professionals including physicians.,,,,,D,
