title,Pathomedicine Exam 2 (Fall 2017),patho,legacy
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Which of the following structural changes of the heart are likely to be related to pressure overload?,Increased ventricular chamber size,Increased ventricular wall thickness,Decreased ventricular wall thickness,Static ventricular wall thickness,,,B,
"An enlarged heart, tachycardia, third heart sound (S3) and rales at the lung bases are most consistent with:",Right-sided heart failure,Left-sided heart failure,Hypertension,Infectious endocarditis,Ischemic heart disease,,B,
Your patient who requires a dental extraction has a pre-existing condition for which she requires antibiotic prophylaxis to prevent infective endocarditis (IE). After completing the procedure you realize you forgot to have the patient take the prophylactic regimen. You started the procedure at 9:30AM according to the Axium note. What is the latest time the patient can take the medication and still have appropriate coverage against IE?,Before 11:30AM,Before 12:30PM,Before 1:30PM,Before 2:30PM,Before 3:30PM,,A,
Which of the following complications is likely to directly arise from a pericardial effusion of a significant volume (greater than 500 mL)?,Cardiac tamponade,Atelectasis,Ascites,Pretibial edema,Periorbital edema,,A,
Dyspnea in heart failure results from:,Cheyne-Stokes respirations,Hepatic congestion,Splenic wall congestion,Pulmonary congestion,Jugular vein distention,,D,
All of the following are signs of digitalis toxicity except:,Headache,Hyposalivation,"Fatigue, drowsiness and malaise",Vomiting,Arrhythmias,,B,
What organism is most likely responsible for a diagnosis of infective endocarditis in an IV drug user?,S. arureus,S. oralis,P. gingivalis,S. salivarius,S. mutans,,A,
"Osler's nodules (tender nodules of the digital pulp), Janeway lesions (non-tender macular lesions of the foot sole) and Roth spots (oval retinal hemorrhages with a pale center) are manifestations of:",Deep-vein thrombosis,Caisson sickness,Ischemic heart disease,Atrial fibrillation,Infective endocarditis,,E,
"A patient requiring antibiotic prophylaxis for protection against infective endocarditis is presently on amoxicillin for a sinus infection. You plan a dental procedure that requires antibiotic prophylaxis. If you want to use amoxicillin as opposed to a different antibiotic, how many days will you need to wait?",Two days following completion of the present antibiotic regimen,Five days following completion of the present antibiotic regimen,Seven days following completion of the present antibiotic regimen,Ten days following completion of the present antibiotic regimen,Fourteen days following completion of present antibiotic regimen,,D,
The most common cause of arrhythmias is ischemic injury. The preceding statement is:,True,False,,,,,A,
"Please Refer to Case 1 Attachment :What is the greatest number of carpules containing 2% lidocaine with 1:100,000 epinephrine that is considered safe for use during the procedure with this patient?",1 carpule,2 carpules,3 carpules,4 carpules,5 carpules,,B,
Please refer to case 1 Attachment. Extraction of tooth #3 has the potential to produce a bacteremia. What is the appropriate antibiotic prophylaxis regimen for this patient?,2 grams of amoxicillin oral 30-60 minutes prior to the appointment,600 mg of clindamycin oral 30-60 minutes prior to the appointment,Antibiotic prophylaxis is not required,,,,C,
Please refer to case 1 Attachment. The patient's blood pressure reading today is at a safe level for the planned treatment. What is the cutoff point in terms of blood pressure readings for performing elective dental procedures?,140/80,150/80,160/100,180/110,190/120,,D,
"Please refer to case 2 Attachment. What is the greatest number of carpules containing 2% lidocaine with 1:100,000 epinephrine that is considered safe for to use during the procedure with this patient?",1 carpule,2 carpules,3 carpules,4 carpules,5 carpules,,B,
Please refer to case 2 Attachment. Scaling and root planing has the potential to produce a bacteremia. What is the appropriate antibiotic prophylaxis regimen for this patient?,2 grams of amoxicillin 30-60 minutes prior to the appointment,600 mg of clindamycin 30-60 minutes prior to the appointment,Antibiotic prophylaxis is not required,,,,B,
Please refer to case 2 Attachment. Which of the following are likely to reduce the patient's stress and anxiety associated with dental treatment?,A positive interpersonal relationship with the doctor and staff,Short appointments,Administration of nitrous oxide,Pre-medication with a short-acting benzodiazepine,All of the above,,E,
Please refer to case 2 Attachment. At a subsequent appointment the patient presents with a blood pressure reading of 155/95 (measured twice 5 minutes apart). Which of the following is the most likely reason for this elevated blood pressure reading?,Poor sleep the night before,No exercise that morning,She smoked a cigarette that morning,She ate a breakfast high in saturated fats that morning,She did not take her thiazide diuretic,,E,
"Please refer to case 3 Attachment. You strongly suspect that the patient has some degree of congestive heart failure. Based on your physical exam and the patient's reported history, what side of the heart is likely involved?",Right,Left,A and B,,,,C,
"Please refer to case 3 Attachment. Patients with congestive heart failure may be taking digitalis (Digoxin). For these patients, epinephrine use is contraindicated for the reason that it may directly:",Cause dyspnea,Cause orthostatic hypotension,Precipitate a dangerous spike in blood pressure,Cause Cheyne-Stokes respirations,Precipitate an arrhythmia,,E,
Please refer to case 3 Attachment. Heart failure cells are hemosiderin-laiden macrophages. In which anatomic location can these cells be found?,Most cutaneous surfaces,Liver,Spleen,Lung,Pericardium,,D,
Please refer to case 3 Attachment. The patient mentioned he has difficulty breathing when lying flat on his back. Choose the option that provides both the name for this finding and what type of heart failure (right or left) it is related to.,Orthopnea/right side,Orthopnea/left side,Dyspnea/right side,Dyspnea/left side,Orthostatic hypotension,,B,
1. Arterial thrombi occur at sites of endothelial injury. 2. The composition of arterial thrombi are rich in red blood cells.,Both statements are true.,The first statement is true and the second statement is false.,The first statement is false and the second statement is true.,Both statements are false.,,,B,
Hypertension primarily impacts,Large and medium sized arteries,Capillaries,Veins,Venules,All the above,,A,
Which of the patients would be an appropriate candidate for early fibrinolytic treatment?,Patient with blood pressure reading of over 180/110 and epistaxis.,Patient with chest pain that increases with exercise and diminishes with rest.,Patient with a myocardial infarction and elevated ST segment,Patient with a myocardial infarction and a non-elevated ST segment,Patient with dependent edema and hepatospenomegaly,,C,
Characteristics of vulnerable atherosclerotic plaques include all of the following except:,Low lipid content.,Thin fibrous cap.,Increased number of foam cells.,Increased number of inflammatory cells.,High lipid content.,,A,
