title,Endodontics Midterm Exam (Spring 2019),endo,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
When viewing a tooth with a periapical area,the tooth should still be tested for vitality with ice or electric pulp tester,it is automatically assumed that it is non-vital,may or may not need treatment based on how the patient feels,do a biopsy to determine the true cause of the lesion.,,,A,
The most common cause of root canal infection is:,Allergic reaction to a filling,Occlusal trauma,Bacteria and their byproducts,Periodontal breakdown,,,C,
The most common cause of apical periodontitis is:,Allergic reaction to a root canal filling material,Periodontal disease,Systemic diseases,Bacteria and their byproducts,,,D,
If the diagnosis of the pulp is „reversible pulpitis' the treatment of choice is a root canal.,True,False,,,,,B,
A lingering response to cold is indicative of a dying pulp.,True,False,,,,,A,
A tooth with a periapical radiolucency caused by endodontic disease will most often not respond to cold testing.,True,False,,,,,A,
"If there are periapical radiolucency's associated with teeth #23, 24, 25, 26 and they all respond WNL (within normal limits) to cold they should all be treated with a root canal.",True,False,,,,,B,
A patient presents with a sinus tract associated with tooth #30. Tooth #30 has a periapical lesion. The diagnosis is:,Symptomatic apical periodontitis,Chronic apical abscess,Acute apical abscess,Symptomatic irreversible pulpitis,,,B,
The treatment of choice if a patient presents to the clinic with an acute apical abscess is to obtain drainage by initiating root canal therapy and a possible incision and drainage. The patient should usually also be given an antibiotic.,True,False,,,,,A,
Prior to accessing tooth #30 you should have a pre-op x-ray to evaluate the location and depth of the pulp chamber,True,False,,,,,A,
The best way to determine working length is with a combination of the apex locator and radiographic interpretation.,True,False,,,,,A,
The most efficient way to locate an MB2 is with 2D radiographic interpretation.,True,False,,,,,B,
X-ray of tooth #11 reveals a long narrow canal. This always means the canal is long and narrow in all dimensions.,True,False,,,,,B,
CBCT is a useful tool when trying to locate an MB2 canal in an upper molar.,True,False,,,,,A,
