title,Removable Prosthodontics Midterm Exam (Fall 2019),rempros,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Impressions made with stock full arch trays,Can be used as final impressions for complete dentures if PVS material is used,Are ideally designed for having uniform thickness of impression material,Create impressions that have overextended borders,Have a handle design that should be mimicked in a custom tray,,,C,
"In an ideal denture setup, anterior teeth should:",Have no vertical overlap,Have detectable contact when the patient is in MIP,Should be just out of contact,Have no bearing on anterior guidance,,,C,
In an ideal maxillary residual ridge,"There will be freely movable, unsupported tissues in the anterior to minimize resorption",Keratinized tissues are present,Tuberosities are flat and low profile to allow placement of denture teeth,Is “V” shaped in cross section,,,B,
"In the above photo, which of Hanau's Quint is being depicted?",Condylar inclination,Occlusal Plane,Incisal guidance,Compensating Curve,,,C,images/rempros-midterm-fall-2019/fig19.jpeg
"In the edentulous maxilla, both the labial frenum and buccal frenum are made up of purely membranous tissue",True,False,,,,,B,
"In the same photo, does the anatomy of the patient, or the treating dentist, dictate what is depicted?",The anatomy,The dentist,,,,,B,images/rempros-midterm-fall-2019/fig21.jpeg
Lingualized Occlusion is indicated in which of the following scenarios?,The patient has resorbed ridges but is very demanding esthetically,The patient has loose flabby ridges,The patient complains that their old flat dentures didn't chew very well,a and c only,"a ,b, and c",,E,
"Neil Lateral Throat Form (Class I, II, and III) relates to which of the following anatomic features in the denture wearing patient?",Location of the crest of the pterygomandibular raphe,"Amount of reflection of the maxillary soft palate, and thus, location of the terminal (posterior) extent of the maxillary denture base.","Location of the floor of the mouth posteriorly, which identifies the depth of the lingual vestibule.","Location of the height of the genial tubercles, which identifies the extent of the lingual crescent in the mandibular edentulous arch.",,,B,
Occlusal rims are used for which of the following?,Centric relation position,Vertical dimension of occlusion,Arch form,Denture teeth selection,All the above,,E,
The 18 and 22mm markings on the clear ruler indicate:,The expected width of a central incisor,The length of a canine,The respective height of an ideal mandibular and maxillary occlusal rim,None of the above,,,C,
The buccal vestibule in the maxilla is bounded by,The buccal frenum and the retromolar pad,The labial frenum and the buccal frenum,The mid palatine raphe and the buccal frenum,None of the above,,,D,
The difference between the vertical dimension of rest and the vertical dimension of occlusion:,They are coincident as a patient's teeth should be in light contact at rest,Allows for proper speech,"Is always a static, repeatable dimension",All of the above,,,B,
The difference between the vertical dimension of rest and the vertical dimension of occlusion:,"None, they are coincident as a patient's teeth should be in light contact at rest",Allows for proper speech,"Is always a static, repeatable dimension",All of the above,,,B,
The distal half of the maxillary canine's incisal edge lies along,The buccal cusps of the maxillary premolars,The lingual cusps of the opposing premolars',The central groove of the maxillary posterior teeth,All the above,,,C,
The extent of a custom tray is ideally where:,The depth of the vestibule is captured in the initial impression,Always 3mm from the crest of the ridge,Where the fixed tissues end and the unattached tissues start,The borders of the patients previous denture,,,C,
The flat area surrounding your captured intaglio surface on a master cast is referred to as:,The buccal borders,The landing area,The posterior seal,None of the above,,,D,
The handle of a custom tray:,Should come straight out horizontally from the tray to help hold the lip out for border molding,Should be applied after the initial curing of the tray,Is positioned vertically with a slight posterior tilt so it does not interfere with proper border molding,a and b only,None of the above,,E,
The maxilla and mandible show similar patterns of resorption,True,False,,,,,B,
"The maxilla, due to its arch form, has significantly greater area for support for a denture base than the mandible",True,False,,,,,A,
The maxillary canines,Is independent of the posterior teeth,Transition from the anterior to the posterior setup,Is indicated by the height of the lip,Has a mesial inclination,,,B,
The purpose of the initial impression of a denture is:,To create a trial denture for the patient,To provide diagnostic information that will lead to proper treatment planning,To create a custom tray for a final impression,b and c only,,,D,
The residual ridge on the mandibular edentulous arch is,A primary bearing area,Has very dense bone and is resistant to resorption,Decreases in radius as it resorbs,None of the above,,,D,
The retromolar pad is important for which of the following?,Helps determine Campers Line,Is a primary stress bearing area,Determines the placement of the occlusal plane,Indicates the posterior extent of the mandibular denture,"b, c and d only","a, b, c and d",E,
The second number of the mold (i.e. 22E) on a mold card by Dentslply indicates what?,The height of the central incisor,The width of the six anterior teeth on a flat surface,The facial form of the patient,The proportion of the tooth and facial contour of the patient,,,D,
The thickness of the disto-buccal flange of the maxillary denture is dependent upon,The passage of the condyle during translation,The passage of the coronoid process during opening and closing,The presence of tori in the palate,The anatomy of the posterior denture teeth selected,All of the above,,B,
The vibrating line is,Where the incisal edges of the maxillary anterior teeth meet the lip during “V or F” (fricative) sounds,Marks the transition from fixed to moveable tissues on the hard palate,Is also known as the wet-dry line on the lower lip,a and c only,,,B,
Tooth loss leads to:,Loss of vertical dimension of occlusion,Over closure of the mandible leading to a protruded mandibular position,Collapse of facial structures,A concave profile,All of the above,,E,
Undercuts present on a residual ridge:,Should be maintained for bony support when the extraction of teeth are performed,Are desirable as aids in denture retention,Are not an issue as denture bases are flexible and will easily slip over and adapt to them,Can lead to sore spots and may need to be surgically removed,b and c only,,D,
What class of articulator is a semi-adjustable articulator?,Class IV,Class I,Class III,Class II,,,C,
What is commonly used to record Camper's Line during the jaw relations appointment?,A wolf plane,The clear ruler,A fox plane,Where the pylons are for buses lining up for summer day camp dismissal,,,C,
"When adapting the Triad custom tray sheet to the relieved diagnostic cast, you should:",Forcefully adapt the material to the cast in order to eliminate any air bubbles trapped between the material and the cast.,"Carefully adapt the material to the cast in order to eliminate any air bubbles, but taking care NOT to press too hard as it will tend to make the custom tray too thin.","Don't worry about making the peripheries of the tray too thin, as you'll be using compound to border mold the peripheries anyway.",None of the above,,,B,
When setting maxillary anterior teeth;,The central incisor should have its incisal edge slightly below the occlusal plane,The cervical neck of the canine should be placed palatally,The incisal edge of the lateral should be 1mm above the occlusal plane,The six incisors should all have their long axis perpendicular to the occlusal plane,,,C,
"When viewed from the front, a properly contoured maxillary rim:",Is parallel to the patient's ears,Is parallel to the patients interpupillary line,Shows 1-2m of wax when the patient is at rest,Touches the lower lip when the patient is counting from 50-60,"b, c, and d only",,E,
Which arch increases in radius as it resorbs?,Maxilla,Mandible,Both,Neither,,,B,
Which of the following is true about complete dentures?,A patients' chewing capacity is greatly reduced,A common complaint of patients receiving complete maxillary denture is related to loss of eating pleasure,A maxillary complete denture is ideally retained by suction,All of the above,,,D,
"You deliver a new lower denture and the patient returns with the complaint of a sore throat, the likely cause is you failing to properly capture in your impression:",The hamular frenum,The lingual frenum,The retro-mylohoid space,The masseteric notch,"It has nothing to do with the denture, refer the patient to an ENT",,C,
Your patient comes in for a post op visit after you delivered a new lower denture. The chief complaint is of bilateral linear sores at the level of the occlusal plane extending from the molars back. He states that they occurred after he started using the denture you gave him. The most likely etiology is:,Viral lesions,Anterior teeth set too far lingual,Posterior teeth set buccal to the ridge,Excessive VDO,None of the above,,C,
