title,Pathomedicine Exam 4 (Fall 2017),patho,legacy
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
"Which of the following organisms is most likely to be responsible for pneumonia in a malnourished, alcoholic patient? This organism also produces a thick, gelatinous sputum related to its polysaccharide capsule.",Streptococcus pneumoniae,Mycobacterium tuberculosis,Haemophilus influenzae,Staphylococcus aureus,Klebsiella pneumoniae,,,E,
Which of the following diseases is related to a deficiency in surfactant?,Pontiac fever,Scrofula,Pott disease,Neonatal respiratory distress syndrome,Acute respiratory distress syndrome,,,D,
Which of the following diseases will demonstrate histopathologic findings comprised of diffuse alveolar damage and the formation of hyaline membranes?,Chronic bronchitis,Asthma,Emphysema,Acute respiratory distress syndrome,Pneumoconiosis,,,D,
Silicosis is the most prevalent occupational disease worldwide. It is one of the pneumoconiosis and is classified as a/an:,Obstructive lung disease,Restrictive lung disease,Acute respiratory distress syndrome,Asbestosis,Neoplastic disease of the lung,,,B,
Which of the following is least likely to result from a malignant neoplasm of the lung?,Cough,Dyspnea,Chest pain,Hemoptysis,Fever,,,E,
Which of the following is not a common feature of squamous cell carcinoma of the lung?,More common in men than women,Strong correlation with smoking,Centrally located within the major bronchi,Development from a precursor dysplastic lesion,More common in women than men,,,E,
"Ipsilateral enophthalmos, ptosis, miosis and anhidrosis are features of:",Horner syndrome,Ghon complex,Pott disease,Pontiac fever,Epiglottitis,,,A,
Shuamann bodies and asteroid bodies are most likely to be identified in histopathologic sections of involved tissue from patients with:,Tuberculosis,Chronic bronchitis,Acute bacterial pneumonia,Emphysema,Sarcoidosis,,,E,
All of the following are functions of the kidney except:,Regulation of fluid volume,Synthesis of renin,Synthesis of erythropoietin,Synthesis of aldosterone,Excretion of nitrogenous wastes,,,D,
Azotemia is measured by the:,Blood urea nitrogen,Serum creatinine,Creatinine clearance,Glomerular filtration rate,Serum parathyroid hormone,,,A,
Patients with CKD are at risk for developing anemia for all of the following reasons except:,Episodes of bleeding,Decreased synthesis of erythropoietin,Shortened survival of red blood cells,Mechanical destruction of platelets,,,,D,
Advanced CKD includes several potential clinical manifestations. Those involving the oral cavity include all of the following except:,Urine-like odor of the breath,Uremic stomatitis,Candidiasis,"Hemorrhage (including petechiae, purpura and gingival hemorrhage)",Increased risk of caries,,,E,
Patients with CKD on hemodialysis are at risk of hemorrhage for all of the following reasons except:,Altered levels of tissue factor,Mechanical destruction of platelets,Altered platelet adherence and aggregation,Activation of thromboxane A2,Administration of heparin,,,D,
The best measure of overall renal function is the:,Blood urea nitrogen,Glomerular filtration rate,Serum creatinine,Complete blood cell count,"Serum 1,25-dihyrdoxyvitamin D",,,B,
Most patients on hemodialysis have an access site placed surgically on the:,Forearm,Subclavian region,Abdomen,Axilla,Subscapular region,,,A,
Statement 1: Low serum levels of albumin increase binding sites for circulating drugs. Statement 2: Low serum levels of albumin may enhance drug effects.,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,,,D,
Hard tissue manifestations of CKD in the oral and maxillofacial region include all of the following except:,Loss of lamina dura,Ground glass radiographic appearance (of bone),Brown tumors,All responses are manifestations of CKD in the oral maxillofacial region and there are no exceptions among the responses,,,,D,
Which of the following is an acquired polycystic kidney disease (PKD)?,Autosomal dominant (adult) PKD,Autosomal recessive (childhood) PKD,Portal bile duct proliferations,Hepatic cysts,PKD in patients with ESRD on long-term dialysis,,,E,
All of the following are features of nephrolithiasis-medullary cystic disease complex except:,Cysts are too small to be identified on imaging,ESRD develops over a 5-10 year period,Anuria,Polydipsia,Begins in childhood,,,C,
Which of the following is an example of a primary disease of the kidney?,Injury by antibodies (Abs) directed at antigens within the glomerulus,Systemic lupus erythematosus,Benign hypertension (HTN),Diabetes mellitus,Malignant hypertension (HTN),,,A,
Please refer to case 2. Does this patient fit within the typical age range for minimal change disease?,Yes,No,There is no specified age range with this disease,,,,,A,images/patho-legacy-fall-2017-4/fig36.jpeg
Please refer to case 2. How would expect this patient to respond to a course of cortical steroids?,Rapidly,Slowly,No response,,,,,A,images/patho-legacy-fall-2017-4/fig37.jpeg
Please refer to case 2. This disease is a:,Secondary disease of the kidney,Nephrotic syndrome,Nephritic syndrome,,,,,B,images/patho-legacy-fall-2017-4/fig38.jpeg
Please refer to case 2. Which of the following were likely identified in the urine?,Large amounts of protein,Hematuria,Normal amounts of protein,Complete abscence of protein,,,,A,images/patho-legacy-fall-2017-4/fig39.jpeg
Which finding is most likely to be present in a patient with post-infectious glomerulonephritis?,Red blood cell casts in the urine,Daily protein loss of greater than 3.5 g,Elevated anti-streptolysin O antibody titers,Daily protein loss of greater than 3.0 g,Granular deposits of IgA in the mesangium,,,A,
Nephritic syndrome characterized by deposition of IgG and C3 at the glomerular basement membrane and concurrent pulmonary involvement comprises:,Goodpasture syndrome,Henoch-Scholein purpura,Tubulointerstial nephritis,Pott disease,Sarcoidosis,,,A,
All of the following are likely to cause hydronephrosis except:,Calculi,Neoplasia within the urinary tract,Patentency of the ureters,Paralysis of the bladder,Pregnancy,,,C,
Which of the following organisms has the strongest association with the formation of magnesium ammonium phosphate (struvite) stone formation?,Proteus vulgaris,Staphylococcus aureus,Escherichia coli,Klebsiella pneumoniae,Enterobacter aerogenes,,,A,
"Please refer to case 3. If his pediatrician was correct about the classification of his asthma, what type of hypersensitivity is involved?",Type I,Type II,Type III,Type IV,,,,A,
Please refer to case 3. Smoking cessation is a necessary part of this patient's care. The preceding statement is:,True,False,,,,,,A,
"Please refer to case 3. You choose to move forward with the extraction of #s 16 and 17. While you are administering a left mandibular block injection with the patient upright, he begins to wheeze, have difficulty breathing and starts to cough persistently. You stop your work and he reports that he feels he is having an attack. Your next step is to:",Take his blood pressure,Send him home immediately,Have him utilize his albuterol inhaler,Activate the emergency response system (e.g. call 911),Allow the patient a brief rest period while you wait to complete your work,,,C,
Presence of tuberculosis the in the spine is known as (best referred to as):,Pott disease,Milliary tubrerculosis,Gohn complex,Scrofula,Simon focus,,,A,
Use of nitrous oxide is contraindicated in patients with:,Intermittent asthma,Persistent asthma,Emphysema,Pott disease,Latent tuberculosis,,,C,
Histopathological findings in atypical pneumonias are likely to be predominated by a:,Lymphocytic infiltrate,Neutrophilic infiltrate,Epithelioid macrophage infiltrate,Plasma cell infiltrate,Eosinophilic infiltrate,,,A,
"Amyloid may accumulate in the body for a number of different reasons. Under the microscope it appears as a pink, amorphous material. It stains positive for Congo Red and sections with this stain demonstrate apple green birefringence when viewed under polarized light. Amyloid is comprised of:",Beta pleated sheets,Hemoglobin,Collagen,Alpha helix,Elastin,,,A,
