title,Oral Radiology Midterm Exam (Fall 2017),oralrad,midterm
question,option_a,option_b,option_c,option_d,correct,image
ALARA stands for:,As long as radiation applies,Any lengthy article requires acknowledgements,As low as reasonably achievable,As low as Roentgen allows,C,
Which of the following is NOT a guiding principle of radiation protection?,Justification,Optimization,Dose limitation,Elaboration,D,
"Which of the following intraoral projections should show all of a tooth, including the crown, root, and surrounding bone?",Periapical projection,Bitewing projection,CBCT projection,Panoramic projection,A,
A full-mouth series of radiographs consists of _________________ projections.,Periapical and occlusal,Bitewing and periapical,Occlusal and bitewing,Panoramic and occlusal,B,
"At Touro, we prefer the ____________ technique for periapical radiography because it provides a less distorted view of the dentition.",Bisecting angle technique,Paralleling,Occlusal,Bitewing,B,
Which of the following types of projections is particularly valuable for detecting interproximal caries in the early stages before it becomes clinically apparent?,Occlusal,Periapical,Bitewing,Panoramic,C,
The mesial-most aspect of the molar periapical projection should include the _________ half of the __________.,Distal; canines,Mesial; canines,Distal; second premolar,Mesial; second premolar,C,
Which of the following is the best indication for an occlusal radiograph?,Localize an object in the buccal-lingual dimension,Evaluation of periapical pathology,Interproximal caries detection,Evaluation of periodontal bone height,A,
Which of the following is NOT a technique to inhibit gagging during an intraoral radiographic examination?,Have the patient keep his/her eyes wide open,Ask the patient to help place the image receptor,Use a phosphor plate instead of a film,Distract the patient (ex: elevate a foot),C,
___________________ will minimize loss of image clarity and improve the quality of radiographs.,Increasing the distance between the object and image receptor,Increasing the distance between the x-ray source and object Decreasing the distance between the x-ray source and object Decreasing the distance between the x-ray source and image receptor,,,B,
Which of the following is the major error depicted in this radiograph?,Horizontal misangulation,Vertical misangulation,Double image,Rotation of the image receptor,C,images/oralrad-midterm-fall-2017/fig37.jpeg
Which of the following is the major error depicted in this radiograph?,Overexposure,Vertical misangulation,Horizontal misangulation,Cone cut,B,images/oralrad-midterm-fall-2017/fig38.jpeg
Which of the following is the major error depicted in this radiograph?,Overexposure,Obfuscation,Double image,Cone cut,D,images/oralrad-midterm-fall-2017/fig39.jpeg
Which one of the following choices best describes a principle of prescribing radiographs?,Radiographs -- the more the merrier!,Radiographs are taken before each clinical exam.,Radiographs aid in evaluating structures which cannot be directly visualized.,Radiographs are likely to cause developmental defects in a fetus.,C,
"A 30-year-old female patient, 6 months pregnant, presents to your clinic in significant pain. The patient reports she was not able to sleep last night due to her tooth pain. When asked where the pain is coming from, she points to tooth #19. On intraoral examination, you see that tooth #19 has gross carious decay. The patient reports she has never had dental radiographs taken. Which of the following is the most appropriate radiographic prescription?",Take one periapical radiograph of the area.,Take a full mouth series of radiographs.,Take a panoramic radiograph.,Defer taking any radiographs until the patient is no longer pregnant.,A,
"A 27-year-old male patient presents to your clinic for an initial examination. He reports he just moved to New York from Washington, so he needs a new dentist. The patient reports he had radiographs taken 3 years ago at his previous dentist, but he is not sure which ones were taken. You call the patient’s previous dental office, and the previous office says they will mail you all of his radiographs. On intraoral examination, the patient’s dentition appears to have decay on multiple teeth, several restorations, and periodontal disease. What radiographs should you take at today’s dental appointment?",Bitewing radiographs only,Full mouth series,No radiographs today; wait for the previous radiographs to arrive by mail to make a decision,Cone-beam CT of the skull,B,
Which of the following statements is NOT true regarding leaded aprons in dental radiography?,The NCRP and ADA have concluded that leaded aprons are unnecessary.,Many patients feel more comfortable wearing a leaded apron.,"Leaded aprons, if used incorrectly, can get in the way of the radiograph.",Leaded aprons are usually placed in direct path of the x-rays.,D,
Which of the following is the theory that describes small doses of radiation having a protective effect against getting cancer?,Linear no-threshold model,Hormetic model (Hormesis),Threshold model,Yancoskie theory,B,
The lingual foramen is usually closest to the apex of the mandibular:,incisors,canines,premolars,molars,A,
The zygomatic process of the maxilla arises in the region of the apices of the _________ on periapical images.,incisors,canines,premolars,molars,D,
The lateral fossa appears on intraoral periapical radiographs as a:,poorly-defined diagonal line created by the cheek,poorly-defined radiolucent region of bone around the root of the maxillary lateral incisor,poorly-defined radiopaque line between the maxillary incisors,poorly-defined radiopaque line in the midline between the two portions of the premaxilla,B,
Which of the following structures is radiographically indistinguishable from dentin?,Pulp,Cementum,Air,Enamel,B,
Which of the following structures is indicated by the white arrows?,Periapical cyst,Nasopalatine canal,Intermaxillary suture,Incisive foramen,B,images/oralrad-midterm-fall-2017/fig49.jpeg
Which of the following structures is indicated by the white arrows?,Mandibular canal,Submandibular gland fossa,Mylohyoid ridge,Inferior mandibular cortex,A,images/oralrad-midterm-fall-2017/fig50.jpeg
