title,Removable Prosthodontics Midterm Exam (Spring 2022),rempros,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
_________ is the habitual postural position in which the elevator and depressor muscles are in a state of equilibrium; there is no tooth contact.,Vertical dimension of rest,Rest position,Freeway space,None of the above,,B,
Lingualized Occlusion is indicated in which of the following scenarios?,The patient has resorbed ridges but is very demanding esthetically,The patient has displaceable flabby ridges,The patient complains that their old flat dentures didn't chew very well,All of the above,None of the above,D,
Aging and tooth loss in the denture wearing population can often affect the facial appearance. Which of the following can be seen in this patient cohort?,"Thinning appearance of the lips (reduced lip display), and increased accentuation of peri-oral wrinkles",Accentuation of the naso-labial folds,Reduction of the lower face height,All of the above,,D,
A properly poured and trimmed master cast should have what depth of vestibule preserved?,7- 10 mm,10-12 mm,2-3 mm,4-6 mm,,C,
"In the above picture, the arrow indicates what part of the RDP framework?",Indirect retainer,Bracing arm,Direct retainer,Abutment,,D,images/rempros-midterm-spring-2022/fig20.jpeg
A patient presents with severe mandibular resorption. Which anatomic structure(s) would you be specifically concerned with versus a patient with a well-formed ridge?,The retro-molar pad,The size and position of the buccal shelf,The mental foramen,b and c only,,D,
In the photo above the arrow points to what surface?,Intaglio surface,Cameo surface,All of the above,None of the above,,A,images/rempros-midterm-spring-2022/fig22.jpeg
Festooning a denture:,Occurs after final wax try in,Creates the appearance of natural supporting tissues,converts the wax pattern of a denture into resin,A and B,,D,
Flat or monoplane posterior denture teeth are an example of what design category?,Anatomic,Retrognathic,Non-anatomic,Non-esthetic,,C,
"In the photo above of a completed anterior set up, which of the following statements is CORRECT regarding the desired parameters for anterior esthetics related to the CENTRAL INCISORS?",The maxillary central incisors should be placed coincident with the patient's mid-line.,The central incisors incisal edges should be set flat on the maxillary occlusal plane using the Trubyte Occlusal Plane guide (the 2x2 metal plate).,The long axes of the central incisors are placed such that there is a slight distal inclination to the root.,"All of these statements are correct, and this set up has achieved these parameters for esthetics",,D,images/rempros-midterm-spring-2022/fig25.jpeg
Which of the following conditions can be caused in an edentulous patient by an ill-fitting denture flange?,Papillary hyperplasia,Epulis fissurata,Candidiasis,Fibrous tuberosity,,B,
The ____ is used as a guide to verify the occlusal plane.,Ala-tragus line,Interpupillary line,Camper's plane,All of the above,,D,
"When border molding a mandibular complete denture, the extension of the lingual right and left flanges are best molded by having the patient ____.",Purse the lips,Lick the top lip with the tongue,Open wide,Swallow,,B,
An edentulous patient with a diminished vertical dimension of occlusion is predisposed to have which of the following conditions?,Epulis fissurata,Pemphigus vulgaris,Papillary hyperplasia,Angular cheilosis,,D,
All of the following are characteristics of a posterior palatal seal of complete dentures except one. Which one is the exception?,Compensates for shrinkage of the acrylic resin caused by its processing,Provides a seal against air being forced under the denture.,It extends into incisive papilla area,Enhances retention,,C,
Which of the following statements is true concerning vertical dimension of rest (VDR)?,VDR is a physiologic rest position.,VDR is a postural relationship of the mandible to maxilla.,VDR is the amount of jaw separation controlled by jaw muscles when they are in a relaxed state.,All of the above,,D,
Statement 1: The incisive papilla provides a guide for the anterior-posterior placement of maxillary anterior denture teeth. Statement 2: The labial surfaces of natural teeth are generally 8 to 10 mm anterior to this structure.,Both statements are true.,"The first statement is true, and the second statement is false.","The first statement is false, and the second statement is true.",Both statements are false.,,A,
________ is resistance to movement towards the tissues or teeth.,Stability,Support,Retention,Resiliency,,B,
A patient has generalized severe alveolar bone loss with resulting teeth mobility for the maxillary and mandibular anterior and posterior teeth. All remaining teeth need to be extracted. The patient has opted to have immediate maxillary and mandibular complete dentures. The patient does not want to wait for healing after all the teeth are extracted before dentures can be constructed mainly because of esthetic concerns. What is the best esthetic option for the patient that would minimize drastic changes in the supporting tissue the day of the delivery of the immediate denture?,"Extract all the anterior teeth, leave the posterior teeth to maintain the vertical dimension, construct an immediate denture, and extract the posterior teeth the day of delivery of the immediate denture","Extract the posterior teeth, leave the anterior teeth, wait 3-4 weeks for healing, construct the dentures, and extract the anterior teeth the day of delivery of the immediate dentures",Extract all the teeth because it is very difficult to predict the esthetic outcome of immediate dentures when most of the posterior and anterior teeth are present,,,B,
"__________ is a form of denture occlusion that articulates the maxillary lingual cusps with the mandibular occlusal surfaces in centric occlusion, working and nonworking mandibular positions.",Monoplane Occlusion,Lingualized Occlusion,Clear Occlusion,None of the above,,B,
What is the purpose of adjusting the occlusion in dentures?,To obtain balanced occlusion,To stabilize dentures,To obtain even occlusal contacts,All of the above,,D,
All of the following are a feature of papillary hyperplasia except one. Which one is the exception?,It is a proliferative bone disease,It can be caused by wearing dentures at night,It can be caused by poor oral hygiene,It can be caused by an ill-fitting denture,,A,
A patient with complete dentures presents with angular cheilitis. A review of recent medical history revealed that vitamin deficiency is not a factor. A possible predisposing factor is ____.,Excessive vertical dimension of occlusion,A closed or insufficient vertical dimension of occlusion,Improper balance of the occlusion,Poor contour of the denture base,,B,
In the photo above the arrow points to what?,Buccal Sulcus,Crest of alveolar ridge,Hamular notch,Fovea Palatinae,,C,images/rempros-midterm-spring-2022/fig39.jpeg
What is the function of Orbicularis Oris muscle?,Suckling in nursing infant,Acts as oral sphincter,Depresses the Mandible,None of the above,,B,
