title,GDA Midterm Exam (Summer 2022),gda,midterm,"One question has a duplicate answer choice in the original source (two options both read ""Incomplete bilateral"")."
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following is not true of the Rule of 10's?,The child must be 10 months of age.,The child must weigh 10 pounds.,"The child's white blood cell count must be less than 10,000.",The hemoglobin must be at least 10 grams.,,A,
The Millard Advancement technique to repair clef lips aims to hide the surgical scar where?,The aloe of the nose,The vestibular mucosa,The philtrum of the upper lip,The nasolacrimal groove,,C,
The cleft pictured in the figure is an example of a ______ cleft.,Incomplete bilateral,Complete unilateral,Incomplete bilateral,Complete bilateral,,D,images/gda-midterm-summer-2022/fig20.jpeg
Which ethnic group is most likely to have a cleft lip or palate?,South Asians,Africans,Europeans,Americans,,A,
The premaxillary portion of the palate DOES NOT contain which of the following?,Lateral incisors,Central incisors,Incisive fossa,First premolars,,D,
What is the most appropriate patient positioning for an individual with Pierre Robins syndrome?,Completely supine in the dental chair,Upright so the airway is not compromised,Semi-upright with head tilted back and head flat,You are unlikely to see this patient in your office because they rarely survive into early child-hood.,,B,
Which of the following is not a typical characteristic of Treacher Collins syndrome?,Hearing loss,Underdevelopment of the zygoma,Below average intelligence,Crowded teeth and shortened rami,,C,
Which facial prominence gives rise to the zygomatic bone?,Frontonasal,Maxillary,Mandibular,None of the above,,B,
A child presents to your office with a diagnosis of Down Syndrome. He needs several occlusal restorations and his parents have consented to have you treat him in the office. On exam you note which clinical finding which may lead to difficulty in isolation and control of the tongue?,Microglossia,Macroglossia,Ankylglossia,,,B,
Which of the following cranial nerves is not associated with innervation of the tongue?,CN V,CN VII,X,XI,XII,D,
Which pharyngeal arches contribute to the formation of the tongue?,"I, II,","I, II, IV","I, III, VI","I, II, III, IV","I, II, IV, V",D,
The thyroid gland arises from the pharyngeal apparatus.,True,False,,,,B,
The nasolacrimal duct separates the nasal cavity and the oral cavity preventing communica-tion and will rupture in week 7.,True,False,,,,B,
The green area shown in the figure can be identified as which facial prominence?,Frontonasal,Maxillary,Mandibular,,,A,images/gda-midterm-summer-2022/fig31.jpeg
A 12 year old patient is accompanied to your office for a new patient visit by his parents. His medical history is remarkable for DiGeorge syndrome. Which of the following would you not expect to see as a clinical presentation of this syndrome?,Fish mouth deformity,Hearing loss,Vision loss,Notched ears,,C,
Cranial nerve VI is the _________ and controls ____________.,Abducens; lid contraction,Vagus; visceral muscle movement,Abducens; eyeball movement,Vagus; downward and inward eyeball movement,None of the above,C,
What does Cranial Nerve I control?,Sense of smell,Hearing,Trapezius Movement,Eyeball Movement,None of the above,A,
What does pharyngeal cleft 1 develop into?,External auditory meatus,Malleus,Tympanic Membrane,Hyoid,,A,
What is the stomodeum?,Primordia of the ear,Primordia of the eye,Primordia of the chin,Primordia of the mouth,Primordia of the tongue,D,
Mesenchyme from the 2nd pharyngeal arch gives rise to what group of muscles?,Extraocular muscles,Muscles of facial expression,Muscles of mastication,Muscles of the tongue,,B,
It is possible to screen for Downs Syndrome or Trisomy 21 prior to birth.,True,False,,,,A,
Which of the following statements is true of the canilicular stage of lung maturation?,The stage lasts from 6-16 weeks.,Surfactant development begins.,Respiration is possible due to terminal sac formation.,Transition occurs to autonomous gas exhange.,,C,
Which set of primordial kidneys have an adult derivative in the male only?,Pronephric,Mesonephric,Metanephric,,,B,
Which section of the primitive guy gives rise to the jejunum?,Foregut,Midgut,Hindgut,,,B,
What is the adult analogue of the third aortic arch?,Maxillary artery,Ductus Arteriosus,Stapedial arteries,Common Carotid artery,,D,
Statement 1: Vasculogenesis is the formation of new vascular channels by assembly of individual cell pre-cursors called angioblasts. Statement 2: Angiogenesis is the formation of new vessels by budding and branch-ing from preexisting vessels.,Both statements are true.,Both statements are false.,Statment 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,A,
The secondary vesicles that arise from the forebrain are the telencephalon and the ________.,Diencephalon,Mesencephalon,Metencephalon,Myelencephalon,,A,
Statement 1: The alar plate brings sensory information away from the spinal cord. Statement 2: The basal plate brings motor information to the spinal cord.,Both statements are true.,Both statements are false.,Statment 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,B,
During development the marginal zone gives rise to which part of the spinal cord?,Gray matter,White matter,Neurons,Macroglia,,B,
Which of the following is not a source for folic acid in the diet?,Leafy greens,Papayas,Broccoli,Legumes,All of the above are sources,E,
Spina bifida cystica generally presents without symptoms.,True,False,,,,B,
"Statement 1: During neurulation the embryo is referred to as the neurula. Statement 2: Neural folds fuse to become the neural tuve, the primordium of the brain vesicles and spinal cord.",Both statements are true.,Both statements are false.,Statment 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,A,
Which of the following statements about somites is TRUE?,Cells remain in place and do not differentiate.,There are 60-64 pairs of somites.,Somites give rise to dermatomes which is turn given rise to the skin.,None of the above are true.,,C,
Early nutrition to the embryo is provided by which of the following reactions that causes cel-lular swelling and accumulation of lipids and glycogen?,Cortical reaction,Zona reaction,Acrosome reaction,Decidual reaction,,D,
In the provided figure the cut through the center is known as what?,Median plane,Sagittal plane,Frontal plane,Proximal plane,,A,images/gda-midterm-summer-2022/fig52.jpeg
The tail of the developing embryo is also referred to as what end?,Caudal end,Sagittal end,Cranial end,Medial end,Proximal end,A,
At what stage does the developing embryo first have an outer layer of cells and an inner mass?,Morula,Blastocyst,Zygote,Neuroblast,,B,
The zona pellucida functions to block against polyspermy and __________________.,Ensure the male mitochondria does not enter the egg.,Release cortical granules that change the biology of the egg.,Digests the acrosome,Controls the size of the zygote as it is passing through the uterine tube.,,D,
Which medication is used for termination of an early detected ectopic pregnancy?,Metformin,Estradiol,Plan B,Methotrexate,Methamphetamine,D,
The sperm can live in the female genital tract for up to 48 hours thus why conception can oc-cur even if ovulation is delayed.,True,False,,,,A,
Statement 1: During meiosis the chromosome number is preserved. Statement 2: In mitosis the chromosome number is divided in half.,Both statements are true.,Both statements are false.,Statment 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,B,
Which germ layer gives rise to connective tissue?,Endoderm,Mesoderm,Ectoderm,,,B,
Which of the following hormones is detected in a positive pregnancy test?,Somatotropin,Human chorionic gonadotropin,Testosterone,Estrogen,Androgens,B,
True or False: The frontal nasal process develops into the lower lip.,True,False,,,,B,
True or False: Meckel's Cartilage is a derivative of pharyngeal arch 1 and contributes to the formation of the maxilla.,True,False,,,,B,
True or False: Mitochondrial DNA is only inherited from the father.,True,False,,,,B,
Which of the following is not a risk factor for ectopic pregnancy?,Tobacco use,Use of an IUD as birth control,Sexually transmitted disease,Previous ectopic pregnancy,Pregnancy of twins,E,
The most frequent site for an ectopic pregnancy to occur is which of the following?,Isthmus of the uterine tube,Ampulla of the uterine tube,Abdomen,Ovary,Cervix,B,
Statement 1: Spermatogenesis occurs in the testes. Statement 2: Oogenesis occurs in the uterus.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement is true.,,C,
What structure degenerates as the embryo moves through the uterine tube to allow increased size of the blastocyst in the uterus?,Zona Pellucida,Cortical granules,Pronucleus,Synctiotrophoblast,Blastomere,A,
In what part of the uterus does fertilization occur?,Infundibulum,Ampulla,Isthmus,Mesosalpinx,Ovarian ligament,B,
"Statement 1: Each pair of chromosomes consists of one chromosome from the mother and one from the father. Statement 2: During meiosis, the sex cells divide to produce gametes which contain two sets of chromosomes (2n).",Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement is true.,,C,
Which of the following statements is NOT true regarding gametogenesis?,The first meiotic division is a reduction division because the chromosome number is reduced from diploid to haploid.,During meiosis division occurs and chromosome number is reduced from 43 to 26.,The only haploid cells in the body are the egg and the sperm and they each contain 23 chromosomes.,Gametogenesis is important because it ensures the same number of chromosomes from one generation to the next.,,B,
