title,Ethics Final Exam (Summer 2023),ethics,
question,option_a,option_b,option_c,option_d,option_e,correct,image
SOFA Scores (Sequential Organ Failure Assessments) were used to allocate medical resources during the COVID Pandemic. Which of the following statements were found to be TRUE in the Yale-New Haven Health study that Dr. Etienne cited?,Utilization of SOFA Scores for allocation of medical resources during a disaster would be more likely to deny these resources to Non-Hispanic Black patients.,Utilization of SOFA Scores for allocation of medical resources during a disaster would be more likely to deny these resources to white patients.,Utilization of SOFA Scores for allocation of medical resources during a disaster would be more likely to deny these resources to Asian patients.,"Utilization of SOFA Scores for allocation of medical resources during a disaster would treat white, black, and Asian patients equally.",,A,
Which of the following is not a measure of health inequities?,Incidence/prevalence of disease,Disability adjusted life years,Premature/Excessive mortality,Quality of life,ALL of these are measures of health inequities.,E,
Which of the following statements is FALSE?,Bright black students taught by black teachers are more likely to get into gifted and talented programs than bright black students taught by white teachers.,African Americans are more likely than whites Americans to live in neighborhoods with toxic industrial pollution that pose great health dangers.,Food insecurity is a structural inequality that leads to health inequities.,"Governmental rules, laws, and practices do not play a role in the development of structural determinants of health.",,D,
Which of the following statements is FALSE?,"Implicit bias is an unconscious association, belief, or attitude toward any social group.",Implicit bias is often comprised of negative attitudes toward racial and/or ethnic minorities.,Prejudicial racial stereotyping often plays a part in implicit bias.,Explicit beliefs are often a stronger predictor of behavior than implicit bias.,,D,
Which of the following statements is FALSE?,Stark Laws are federal laws that influence the practice of dentistry by regulating how money can be exchanged between professionals.,State laws that influence the practice of dentistry pertain to how dentists get and maintain their license.,Local municipalities influence a dental practice by controlling HIPAA regulations which are related to a patient's privacy.,Local municipalities influence a dental practice by regulating such areas as zoning and parking.,"Federal, state, and local governmental regulations influence the practice of dentistry.",C,
Which of the following statements is FALSE?,The TPO exception included in HIPAA regulations allows for the exchange of information between the provider and select others when necessary for the provision of treatment.,The TPO exception included in HIPAA regulations allows for the exchange of information between the provider and select others when necessary for payment purposes.,The TPO exception included in HIPAA regulations allows for the exchange of information between the provider and select others when necessary for business operations.,HIPAA regulations are extremely strict so there are no exceptions allowed for the exchange of information.,,D,
Consider the following two statements: I. A minor is less than 18 years of age. II. There are no circumstances under which a minor can make their own health care decisions. Which of the following is CORRECT:,Both I and II are TRUE.,Both I and II are FALSE.,I is TRUE and II is FALSE.,I is FALSE and II is TRUE.,,C,
Which of the following statements is TRUE?,OPD stands for Officials Pursuing Dentists.,Investigations by OPD are often initiated after complaints by disgruntled patients or employees of a dental practice.,OPD requires that a dentist be represented by a lawyer in any investigation it pursues.,"If OPD initiates an investigation in response to a specific complaint, they are legally bound to restrict their investigation into that specific complaint and cannot look into any other issues that may be revealed during their investigation.",,B,
Consider the following two statements: I. Dentists can only accept kickbacks from other dentists if they follow the strict protocols that have been established. II. Dentists can only provide kickbacks to other dentists if they follow the strict protocols that have been established.. Which of the following is CORRECT:,Both I and II are TRUE.,Both I and II are FALSE.,I is TRUE and II is FALSE.,I is FALSE and II is TRUE.,,B,
"Although the Hippocratic Oath was written over 2400 years ago, many of the concepts included in this Oath are consistent with ethical principles we strive to meet today. Which of the following ethical principles are not covered in the Hippocratic Oath?",Autonomy,Beneficence,Non-maleficence,Justice,ALL of these principles are covered in the Hippocratic Oath.,E,
The American Dental Association helps its members by:,Running a phone-in Ethics Hotline to assist members with ethics questions.,Publishing a regular clumn Call Ethical Moment thatdiscusses ethics questions submitted by members.,Offering Peer Review Programs.,Offering Wellness Programs.,ALL of the above.,E,
