title,Oral & Maxillofacial Surgery Final Exam (Spring 2023),omfs,final
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Which of the following statements about inadvertent alveolar bone fracture during tooth extraction is TRUE?,There is an increased risk for this complication in younger patients because their bone is less mature and inherently weaker than bone in older patients.,A defect in the alveolus will result whenever an alveolar fracture occurs as the bone fragment will not remain viable and will subsequently be lost.,Maxillary molars with widespread roots should not be luxated with an elevator but should instead be extracted with forceps only to reduce the likelihood of alveolar bone fracture.,Application of an elevator between a maxillary third molar and the bone of the tuberosity can reduce the likelihood of causing a tuberosity fracture during extraction.,A common site for alveolar bone fracture during extraction is the lingual plate at mandibular incisors.,,,D,
Consider the following actions. I. Examining an extracted maxillary molar for the presence of bone attached to the tooth between the roots. II. Having the patient blow their nose and seeing if blood bubbles are present in the extraction site. III. Probing the socket to see how far in the probe can be placed. IV. Listening for air movement through the socket as the patient breathes normally. Which of these techniques is a safe and potentially useful method to help determine if an oro-antral communication occurred during an extraction?,I and IV.,"I, II, and IV.","I, III, and IV.","I, II, III, and IV.",I and III.,IV.,,A,
Which of the following statements about flap repair of an oro-antral communication is TRUE?,Flap repair of an oro-antral communication is easier when teeth adjacent to the opening are present as these teeth can help support the flap.,Flap repair of an oro-antral communication should be designed so that the suture line is directly over the sinus opening to ensure that predictable closure is achieved.,"When performing flap repair of an oro-antral communication, mucosal surfaces should be de-epithelialized as needed so that raw bleeding surfaces can be sutured to one another.",Success of flap repair of an oro-antral communication is not affected by whether or not the sinus is infected.,Repair of an oro-antral communication by buccal flap advancement results in a ridge suface that better resembles normal crestal tissue than when a palatal flap is advanced.,,,C,
Which of the following statements about oral infections is FALSE?,The inoculation stage occurs over 0-3 days during which time pus is not present.,The cellulitis stage occurs over 1-5 days and is diagnosed by the presence of pus.,Abscess occurs over 4-7 days with the continued presence of pus.,Rupture follows the path of least resistance.,The microbiology of oral infections has evolved over time.,,,B,
Which of the following choices does not accurately describe a sign or symptom of an airway related issue during a physical evaluation?,Difficulty swallowing associated with pharyngeal swelling.,Difficulty sleeping in a supine position.,Patient in a “Sniffing position” associated with a retropharyngeal space infection.,Uvula deviated to the same side as a lateral pharyngeal space infection.,Muffled voice associated with epiglottitis.,Distant quality to voice associated with a retropharyngeal or lateral pharyngeal infection.,Elevated tongue associated with a floor of the mouth or sublingual space infection.,D,
Submental space infections can generally arise from which of the following teeth? I. Maxillary anteriors II. Mandibular anteriors III. Maxillary posteriors IV. Mandibular posteriors,IV.,II.,II and IV.,III and IV.,I and IV.,,,B,
Trismus will be prominent with infection of which of the following spaces?,Anterior lateral pharyngeal and masseteric and pterygoid.,Parotic.,Retropharyngeal.,Buccal.,Submental.,,,A,
Which of the following statements about Ludwig's Angina is FALSE?,It involves the submandibular spaces bilaterally and submental space in midline,It involves a rapid spread to the lateral pharyngeal and retropharyngeal spaces.,Rapid obstruction of the upper airway occurs.,"The patient may exhibit mouth pain, stiff neck, drooling, and dysphagia.",The retruded tongue position which is evident on clinical examination can cause respiratory difficulty by obstructing the airway.,,,E,
Which of the following processes/signs/symptoms is consistent with Cavernous Sinus Thrombosis?,Descending septic thrombophlebitis.,Anterior route of spread via the facial vein.,Posterior route of spread via the angular vein.,Congestion of retinal arteries,CN 6 paresis --> ophthalmoplegia / blindness,,,E,
Which of the following statements about suturing is FALSE?,Sutures should be placed at equal internal and external distances from the wound margins.,Sutures should be placed as tightly as necessary to maintain wound closure.,"Wound edges should be everted, especially when suturing skin.",Wounds tend to contract when healing.,4-0 sutures are thinner than 3-0 sutures.,,,B,
Consider these 4 images in the attachment.,Images I and II depict a hemostat and its beaks.,Images I and IV depict a hemostat and its beaks.,Images II and III depict a hemostat and its beaks.,Images III and IV depict a hemostat and its beaks.,"Images I, II, III, and IV depict two different types of hemostats.",,,C,images/omfs-final-spring-2023/fig38.jpeg
"The following scenario and radiograph applies to these questions. A 51 year-old female presented to her general dentist complaining of severe pain at tooth #32. She reported that she was having difficulty eating and she was just consuming liquids. She also reported that she was constantly thirsty, urinating frequently, and tired. She reported a history of Type II diabetes for which she was prescribed metformin. She has not taken the Metformin for the past 2 months because she reported that she was not feeling well while taking it. She last saw her physician 3 months ago and they are unaware that she stopped her medication. Clinical examination revealed a partially exposed #32 with swollen pericoronal gingiva, extending along the lingual margin of 31.  She had mild swelling and tenderness along the right mandibular angle, She was able to open her mouth to a maximum interincisal distance of 30 mm. Panoramic radiograph is shown here: Which of the following questions is the LEAST USEFUL for helping her dentist to assess the serious acute risk that this patient might be facing and determine how they will treat the patient?",Is the patient having difficulty eating because her tooth is bothering her or she is having problems swallowing?,Has she checked her blood glucose today?,Does she have any other medical problems?,Is she on any other medications?,Is #31 vital or non-vital?,,,E,images/omfs-final-spring-2023/fig39.jpeg
"The following scenario and radiograph applies to these questions. A 51 year-old female presented to her general dentist complaining of severe pain at tooth #32. She reported that she was having difficulty eating and she was just consuming liquids. She also reported that she was constantly thirsty, urinating frequently, and tired. She reported a history of Type II diabetes for which she was prescribed metformin. She has not taken the Metformin for the past 2 months because she reported that she was not feeling well while taking it. She last saw her physician 3 months ago and they are unaware that she stopped her medication. Clinical examination revealed a partially exposed #32 with swollen pericoronal gingiva, extending along the lingual margin of 31.  She had mild swelling and tenderness along the right mandibular angle, She was able to open her mouth to a maximum interincisal distance of 30 mm. Panoramic radiograph is shown here: This patient is a poorly controlled diabetic. Thus…",…she is at greater risk of developing an infection and when she has an infection it is more difficult to control.,…she is at greater risk of developing an infection but when she has an infection it is not more difficult to control.,…she is not at greater risk of developing an infection but when she has an infection it is more difficult to control.,…she is not at greater risk of developing an infection but when she has an infection it is not more difficult to control.,,,,A,images/omfs-final-spring-2023/fig40.jpeg
"The following scenario and radiograph applies to these questions. A 51 year-old female presented to her general dentist complaining of severe pain at tooth #32. She reported that she was having difficulty eating and she was just consuming liquids. She also reported that she was constantly thirsty, urinating frequently, and tired. She reported a history of Type II diabetes for which she was prescribed metformin. She has not taken the Metformin for the past 2 months because she reported that she was not feeling well while taking it. She last saw her physician 3 months ago and they are unaware that she stopped her medication. Clinical examination revealed a partially exposed #32 with swollen pericoronal gingiva, extending along the lingual margin of 31.  She had mild swelling and tenderness along the right mandibular angle, She was able to open her mouth to a maximum interincisal distance of 30 mm. Panoramic radiograph is shown here: Finger stick revealed a significantly elevated glucose of 430. Immediate treatment should include all of the following EXCEPT:",Extraction of #32.,Administration of antibiotics.,Thorough airway evaluation.,Treatment of elevated glucose with close monitoring.,,,,A,images/omfs-final-spring-2023/fig41.jpeg
"The following scenario and radiograph applies to these questions. A 51 year-old female presented to her general dentist complaining of severe pain at tooth #32. She reported that she was having difficulty eating and she was just consuming liquids. She also reported that she was constantly thirsty, urinating frequently, and tired. She reported a history of Type II diabetes for which she was prescribed metformin. She has not taken the Metformin for the past 2 months because she reported that she was not feeling well while taking it. She last saw her physician 3 months ago and they are unaware that she stopped her medication. Clinical examination revealed a partially exposed #32 with swollen pericoronal gingiva, extending along the lingual margin of 31.  She had mild swelling and tenderness along the right mandibular angle, She was able to open her mouth to a maximum interincisal distance of 30 mm. Panoramic radiograph is shown here: The patient's trismus can be due to:",Submental space infection.,Canine space infection.,Buccal space infection.,Masticator space infection.,Vestibular abscess.,,,D,images/omfs-final-spring-2023/fig42.jpeg
"The following scenario and radiograph applies to these questions. A 51 year-old female presented to her general dentist complaining of severe pain at tooth #32. She reported that she was having difficulty eating and she was just consuming liquids. She also reported that she was constantly thirsty, urinating frequently, and tired. She reported a history of Type II diabetes for which she was prescribed metformin. She has not taken the Metformin for the past 2 months because she reported that she was not feeling well while taking it. She last saw her physician 3 months ago and they are unaware that she stopped her medication. Clinical examination revealed a partially exposed #32 with swollen pericoronal gingiva, extending along the lingual margin of 31.  She had mild swelling and tenderness along the right mandibular angle, She was able to open her mouth to a maximum interincisal distance of 30 mm. Panoramic radiograph is shown here: If #32 is to be treated now or in the future, which of the following statements is CORRECT?",A panoramic radiograph is always sufficient for determining how to treat a mandibular third molar.,CBCT is always required to determine how to treat a mandibular third molar.,"Based on this radiograph, #32 can be extracted without significant risk to the inferior alveolar nerve.","Based on this radiograph, CBCT should be obtained to determine if extraction or coronectomy should be performed.","Based on this radiograph, coronectomy should be performed to treat #32.",,,C,images/omfs-final-spring-2023/fig43.jpeg
"The following scenario and radiograph applies to these questions. A 51 year-old female presented to her general dentist complaining of severe pain at tooth #32. She reported that she was having difficulty eating and she was just consuming liquids. She also reported that she was constantly thirsty, urinating frequently, and tired. She reported a history of Type II diabetes for which she was prescribed metformin. She has not taken the Metformin for the past 2 months because she reported that she was not feeling well while taking it. She last saw her physician 3 months ago and they are unaware that she stopped her medication. Clinical examination revealed a partially exposed #32 with swollen pericoronal gingiva, extending along the lingual margin of 31.  She had mild swelling and tenderness along the right mandibular angle, She was able to open her mouth to a maximum interincisal distance of 30 mm. Panoramic radiograph is shown here: If a decision is made to extract #32 now or in the future, which of the following steps are in the correct order?","Full thickness flap, buccal trough/bone removal, sectioning of tooth, elevation/removal of fragments, irrigation of socket, suturing.","Full thickness flap, sectioning of tooth, buccal trough/bone removal, elevation/removal of fragments, irrigation of socket, suturing.","Full thickness flap, buccal trough/bone removal, sectioning of tooth, elevation/removal of fragments, suturing, irrigation of socket.","Full thickness flap, sectioning of tooth, buccal trough/bone removal, elevation/removal of fragments, suturing, irrigation of socket.","Full thickness flap, buccal trough/bone removal, elevation/removal of tooth, irrigation of socket, suturing.",,,A,images/omfs-final-spring-2023/fig44.jpeg
The following scenario applies to these questions. A patient has multiple medical problems. He was treated with steroids for asthma for one week one year ago. He is on warfarin for atrial fibrillation. He requires extraction of #14. You call the patient's physician to discuss treatment. The physician immediately tells you the patient is “cleared for treatment” and you can proceed with the extraction.,You should proceed with treatment since the patient is cleared.,You should seek the opinion of another physician.,You should check the physician's online reviews to decide if you should accept the physician's clearance.,You should discuss the patient's condition and treatment with the physician and decide what you are doing after consulting with the physician.,,,,D,
The following scenario applies to these questions. A patient has multiple medical problems. He was treated with steroids for asthma for one week one year ago. He is on warfarin for atrial fibrillation. He requires extraction of #14. Which of the following statements is CORRECT?,This extraction should be performed in the hospital since the patient was on steroids.,This patient requires steroid supplementation because they may not be able to respond to the stress of the surgery.,"In general, an adrenally suppressed patient can undergo tooth extraction without steroid supplementation.",The amount of steroids that this patient received would cause adrenal suppression.,,,,C,
The following scenario applies to these questions. A patient has multiple medical problems. He was treated with steroids for asthma for one week one year ago. He is on warfarin for atrial fibrillation. He requires extraction of #14. Which of the following statements is CORRECT?,"Prior to extraction, the warfarin should be discontinued for 3 days.","Prior to extraction, it is not necessary to discontinue the warfarin.","Prior to extraction, the warfarin should be discontinued for 10 days.","Prior to extraction, the patient's INR should be obtained to determine how to manage the warfarin.","Prior to extraction, the patient's platelet count should be obtained to determine how to manage the warfarin.",,,D,
Which of the following statements is TRUE?,"If the patient's physician insists that the patient's anticoagulation is interrupted for as short a time as possible, a shorter acting anticoagulant can be used in the peri-operative period to minimize the interruption.","If the patient was on Direct Acting Oral Anticoagulants instead of warfarin, their INR would be critical for determining peri-operative management.","If you could not reach the patient’s physician, you should do the extraction and stop the warfarin because you cannot take a chance of causing a bleeding problem.","If you could not reach the patient’s physician, you should do the extraction and not stop the warfarin for the extraction because you cannot take a chance of causing the patient to have a stroke.","If the patient is in pain post-operatively, their blood pressure will increase and they will have more bleeding. The patient should be advised to take ibuprofen post-operatively so that they are not in pain and will be at lower risk of bleeding.",,,A,
