title,Ethics Final Exam (Summer 2020),ethics,
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
"Which of the following statements regarding the ethical principle of beneficence, as described in the American Dental Association Principles of Ethics and Code of Professional Conduct, is TRUE?","Beneficence applies to how the dentist treats his/her patients, but not to how he/she treats his/her staff.","Beneficence applies to a dentist’s behavior in their practice, but not in other situations.",Beneficence does not apply to research situations because some treatments provided during research may not be helpful to a patient or may even harm a patient.,Adherence to the principle of beneficence by those involved in the profession of dentistry is one of the factors that allows the profession to self-regulate and govern itself.,No harm can come to a patient if their dentist adheres to the principle of beneficence.,,,D,
A patient insists on a certain treatment that the dentist knows will harm them. Which of the following statements is TRUE?,"The ethical principle of patient autonomy supersedes the principle of non-maleficence, so the dentist must perform the treatment.","The dentist should have the patient sign a “hold-harmless” waiver which will then allow them to perform any treatment, even if it would otherwise be considered malpractice.","The dentist must do the requested procedure because if they did not provide treatment, the patient could charge them with abandonment.",The dentist should do the procedure but not charge the patient so they can show that their intent was purely to do what the patient wanted and there was no incentive or benefit to the dentist.,The dentist should not do the harmful procedure.,,,E,
"Which of the following statements related to the ethical principle of justice, as described in the American Dental Association Principles of Ethics and Code of Professional Conduct, is TRUE?",The Americans with Disabilities Act prohibits a dentist from discriminating against people with disabilities and is consistent with the ethical principle of justice.,"Adherence to this ethical principle prevents a dentist from criticizing the work of another dentist, even if that criticism is justifiable, as all dentists must treat their fellow dentists justly and fairly.","Adherence to this ethical principle prevents a dentist from testifying against another dentist in a malpractice case when there truly was an act of malpracatice, as all dentists must treat their fellow dentists justly and fairly.",The ethical principle of justice allows a specialist to give a portion of the fee they collect to the dentist who referred the patient because the referring dentist did not earn a fee and it is just and fair for them to receive some compensation.,,,,A,
"Which of these statements is consistent with the ethical principle of veracity, as described in the American Dental Association Principles of Ethics and Code of Professional Conduct?","A dentist can advertise that he is the “best” if a patient says to him, “Hey Doc, you are the best.”",A dentist does not need to disclose a conflict of interest is he thinks that the conflict has not influenced his decision-making in any way.,"A dentist must accurately and honestly present the risks of a procedure to a patient, even if he thinks that the patient may refuse a necessary procedure out of fear when learning the risks.",A dentist can maintain the name of a retired or deceased dentist in the name of the practice as long as he/she wants since they were in the practice when it was given that name.,,,,C,
Which of the following statements related to access to dental care issues is FALSE?,Access to dental care is not a problem in the United States.,Dental Health Professional Shortage Areas exist where there are not enough dentists to provide care.,"Groups such as people with low incomes, elderly patients, Native Americans, people of color, patients with disabilities, developmentally disabled patients, and the homeless do not have adequate access to dentistry dental care.","Organized dentistry does advocate on behalf of the underserved, but is seen by some as self-serving.",Adding a dental benefit to Medicaid and Medicare programs with a 20 % co-pay would still be problematic for those with lower incomes who would still not be able to afford care.,,,A,
It is likely that the nonmedical use of prescription stimulants can improve academic performance in the long run.,TRUE,FALSE,,,,,,B,
Which of the following statements regarding HIPAA (Health Insurance Portability and Accountability Act) Laws is TRUE?,HIPAA was originally proposed to enable people to change their jobs and keep their insurance.,HIPAA regulations regarding how Protected Health Information can be disclosed and utilized apply only to minors.,"If a breach of a patient’s Protected Health Information occurs, the provider to must disclose the breach only if the provider determines that the breach is serious enough to warrant reporting.","The TPO exception to HIPAA allows disclosure of information via Telecommunication devices, Phone, and Other digital media.",Healthcare professionals can communicate with any member of a patient’s immediate family about their treatment without any permissions from the patient.,,,A,
In the small group sessions we discussed a case in which a dentist was concerned that his patient who needed antibiotic prophylaxis would go to a different dentist and not receive the necessary antibiotic prior to dental treatment. The patient would not allow this dentist to inform the new dentist of the patient’s condition. Consider the following statements: I. The ethical principles of BENEFICENCE and NON-MALEFICENCE support the argument that the original dentist should not inform the new dentist of the need for antibiotic prophylaxis. II. The ethical principle of AUTONOMY supports the argument that the original dentist should inform the new dentist of the need for antibiotic prophylaxis.,Both statements are TRUE.,Both statements are FALSE.,I is TRUE and II is FALSE.,I is FALSE and II is TRUE.,,,,B,
"Which of the following statements regarding the practice of the professions of dentistry, dental hygiene, and registered dental assisting, in NYS is FALSE?",Rules and regulations including those pertaining to licensing of dentists are determined by the NYS Education Department Office of the Professions.,"To qualify for a license as a dentist in NY State, an applicant must satisfactorily complete a clinicallybased postdoctoral general practice or specialty dental residency program, of at least one year's duration, in a hospital or dental facility accredited for teaching purposes by an approved national accrediting body.","To qualify for a license as a dentist in NY State, an applicant must be of good moral character.","When renewing one’s NY State registration to practice, a dentist must satisfy mandatory continuing education requirements.",Procedures that may legally be performed by dental hygienists and registered dental assistants are determined solely by the dentist who is in the office at the time that they are performing those procedures.,,,E,
"Which of the following statements is TRUE, according to statistics from the American Dental Association Health Policy Institute from a 2013 study?",The most common reason given by seniors (adults ages 65 and older) regardless of income level for not going to the dentist is cost.,Fewer than half of all seniors (adults ages 65 and older) actually visited the dentist within the previous year.,Seniors (adults ages 65 and older) with lower household incomes experienced more problems related to the condition of their mouth and teeth.,It is the ethical obligation of the dental profession to work towards alleviating access to dental care issues and related problems that exist for seniors.,All these statements are TRUE.,,,E,
In the small group sessions we discussed a case in which a nurse suspected that a new patient was an undocumented immigrant and wanted to report the patient to “the appropriate federal authorities.” Which of the following statements is TRUE?,All US citizens have a duty to report suspected undocumented immigrants because they may be breaking the law.,"Even if the doctor did not suspect this individual patient of being an undocumented immigrant, she is not obligated to treat this patient because it is not uncommon for persons of her ethnic group to be undocumented immigrants.","If the doctor began to care for this patient and later found out that she was an undocumented immigrant, she would no longer be obligated to continue treating the patient.","It is permissible to report the patient to “the appropriate federal authorities,” because if the patient committed a crime, she is no longer protected by HIPAA.","The doctor would have an ethical obligation to provide life-saving treatment or stabilization,to the patient if she presented in a life-threatening situation.",,,E,
You encounter a situation in which the ethical way to proceed is not readily apparent. Consider the following statements: I. You should carefully consider how each of the 5 ethical principles we have studied applies to the situation. II. The way to proceed will always immediately become obvious.,I is TRUE and II is FALSE.,I is FALSE and II is TRUE.,I and II are both TRUE.,I and II are both FALSE.,,,,A,
"We discussed a case in which a doctor would be forced to report his patient for not being compliant with the contract he signed to keep his medical appointments, take his medications, and follow health improvement plans. The patient would subsequently lose certain medical benefits. Which of the following statements is TRUE?",The goal of this program was to encourage patients with unhealthy lifestyles to practice responsible self-care and improve their health and decrease medical expenditures by the state.,Well-intentioned programs such as this one may have unintended consequences that are the opposite of what was intended.,"In this scenario, the doctor-patient relationship is at risk when the doctor is obligated to report the patient.",Medical costs for the state may end up increasing since that patient loses certain medical benefits and may become sicker and require increased care.,All of these statements are TRUE.,,,E,
"When making ethical decisions, a TCDM students may “consider the judgement of others”. Which of the following is not a resource that may be useful?",American Dental Association Principles of Ethics and Code of Professional Conduct.,Hippocratic Oath.,Touro College of Dental Medicine faculty members.,American College of Dentists Handbook.,American Dental Association Ethics Hotline.,TCDM Student Honor Code,All of the above choices may be useful resources.,G,
"Consider the following statements: I. In general, a patient below the age of 20, cannot legally give consent for medical or surgical treatments; consent must be obtained from either a parent or a legal guardian. II. There are no exceptions in which consent for medical or surgical procedures can be given by patients under their state’s designated legal age of consent.",I is TRUE and II is FALSE.,I is FALSE and II is TRUE.,I and II are both TRUE.,I and II are both FALSE.,,,,D,
"We discussed a case in which the practice manager in a dental office changed a treatment plan so that teeth would be restored by crowns instead of less extensive restorations, even though the dentist who developed the original treatment plan still believed that restorations, not crowns, were indicated. Consider the following two statements: I. If the dentist provides the crowns as his boss desired even though he does not believe it is the right treatment, this could not be considered unethical as his boss has more experience in treating patients. II. If the dentist provides the crowns, and the patient does not have any increased expenses, no harm was done to the patient so this would not be considered unethical.",I is TRUE and II is FALSE.,I is FALSE and II is TRUE.,I and II are both TRUE.,I and II are both FALSE.,,,,D,
"You share office space with another dentist, but maintain separate practices with your own patients. You believe that you smell alcohol on the other dentist’s breath throughout the day and strongly suspect that he is consuming alcohol between patients and may be impaired while treating patients. Which of the following statements are TRUE?","If you are correct, he is violating the ethical principle of autonomy because he might harm his patients.","If you do nothing about this situation, you are not violating the ethical principle of non-maleficence because you bear no ethical responsibility for what happens to his patients in his practice.","Since you are not totally sure he is treating patients while impaired, you are violating the ethical principle of veracity if you approach him about your suspicions because your accusation may not be truthful.",The ethical principle of autonomy allows him to drink alcohol and treat patients as he is allowed to make his own decisions.,None of these statements are TRUE.,,,E,
"Your in-person classes have been changed to Zoom sessions due to the COVID-19 pandemic. You are aware that many students are working together on a Zoom quiz by communicating with each other regarding the answers, even though they were told that this was not allowed. You decide to join the group and work with them to determine the answers.  You justify your behavior by reasoning that “everyone else is doing it”, and you “would be at a disadvantage if you did not do it too.” Consider the following statement: The justification described would be a valid ethical argument for defending yourself if you were charged with violating the Honor Code and you would never be found guilty. This statement is:",TRUE,FALSE,,,,,,B,
One of the dentists in your group practice is performing “high-tech” diagnostic procedure on patients for which there is insufficient evidence to support its use. The procedure has not been demonstrated to be as accurate as the traditional “low-tech” treatment. Patients are charged a higher fee for the “high-tech” procedure. Which of the following statements is TRUE?,An inaccurate diagnosis may cause harm to the patient which would be a violation of the ethical principle of non-maleficence.,Not disclosing the potential inaccuracy of the test to the patient would be a violation of the ethical principle of veracity.,Not providing the patient with the information they need to make an informed decision and choose which procedure they would prefer would be a violation of the ethical principle of autonomy.,Charging a higher fee for a less accurate procedure would be a violation of the ethical principle of justice.,All of these statements are TRUE.,,,E,
"You have graduated from TCDM and completed a GPR. It is your first day in practice and a patient comes in complaining of pain in their lower jaw and tells you that another dentist had recently completed a crown in that area. The pain they are having is the same pain that they saw the previous dentist for and the crown was done because of that pain. You examine the patient clinically and radiographically and realize that the pain is coming from the tooth next to the one that was treated. When you tell the patient what is going on, they exclaim that their previous dentist was a “quack” and that they want to sue him. Which of the following statements are TRUE?",The ethical principle of justice dictates that you cannot assume that the previous dentist did something wrong because you do not know the circumstances that existed when that dentist treated the patient.,You can try to determine the patient’s original condition at the first dentist who is obligated by the ethical principle of autonomy to furnish the patient with a copy of their records if the patient requests those records.,The original dentist cannot provide the records to you without the patient’s permission as this would constitute a HIPAA violation.,The original dentist cannot provide the records to you without the patient’s permission as this would violate patient autonomy.,All of these statements are TRUE.,,,E,
"You have graduated from TCDM and completed a GPR. It is your first day in practice and an elderly retired patient comes in with her adult daughter. The patient has an infection. When you tell her she needs antibiotics, she asks you to write the prescription in her daughter’s name, otherwise she will not get it. Her daughter is on a prescription plan but she is not and she can’t afford the prescription. Consider the following statement: Although writing the prescription in her daughter’s name is insurance fraud and is illegal, you cannot get in trouble for doing so because the ethical principle of beneficence outweighs any legal principle. This statement is:",TRUE,FALSE,,,,,,B,
TCDM faculty need to consider the impact of their actions on multiple stakeholders because they have obligations to which of the following groups?,TCDM patients and TCDM students.,TCDM faculty and TCDM/TCUS itself.,"TCDM patients, other TCDM faculty, TCDM students, and TCDM/TCUS itself.","TCDM patients, TCDM students, and TCDM/TCUS itself.","TCDM patients, other TCDM faculty, and TCDM students.",,,C,
"Two students decide to pull all-nighters to study for a test and decide to take substances to help them stay awake and concentrate. One of the students buys non-prescription No-Doz while the other students gets some prescription Adderall from a friend, even though he has not been prescribed that medication himself. Which of the following statements would be agreed upon by a majority of people as being most accurate?",Both students cheated because they used these substances.,Neither student cheated because they still had to take the test based on the knowledge that they acquired.,"Any student who takes Adderall, prescribed or not, is a cheater since it gives them an unfair advantage over other students","It doesn’t matter if the students cheated or didn’t cheat, all that matters is that they learned the material.","Like many questions that arise in ethical decision-making, the answer will depend on many factors that need to be considered and may vary from one individual to another based on their background and previous experiences.",,,E,
"Now that you have completed this Ethics course and been given the tools to use in ethical decisionmaking, you do not need to take any additional ethics courses during dental school.",TRUE,FALSE,,,,,,B,
"Now that you have completed this Ethics course and been given the tools to use in ethical decisionmaking, choosing the most ethical path to take will always be simple.",TRUE,FALSE,,,,,,B,
Consider the following two statements: I. A toll-free Ethics Hotline [(800)621-8099] is available through the American Dental Association to assist its members in managing ethical challenges. II. The Touro College of Dental Medicine SPEA (Student Professionalism and Ethics Association) Chapter is part of a national organization which promotes and support students’ lifelong commitment to ethical behavior in order to benefit the patients they serve and to further the dental profession. Dr. Wachs encourages all students to join this organization.,Both of these statements are TRUE.,Neither of these statements is related to anything that was discussed in this course.,,,,,,A,
