title,Oral & Maxillofacial Surgery Midterm Exam (Spring 2022),omfs,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Which of the following statements about the use of straight elevators is TRUE?,Forceful movements are required to achieve adequate mobility of a tooth.,The convex surface of the elevator should be applied to the tooth being extracted.,They can only be used when adjacent teeth are present to manipulate against.,A “pen grasp” should be used to apply maximum force.,None of these statements is TRUE.,,,E,
Which of the following statements about the use of periotomes for extractions is FALSE?,They may be advantageous for preserving socket anatomy when performing extractions.,They are used to sever PDL fibers.,They are only used effectively in the first 2 - 3 mm of the PDL space.,They are used by applying apically directed pressure circumferentially around the tooth,Eventual delivery of the tooth is accomplished with forceps.,,,C,
“Surgical” or “open” extraction technique is indicated for all of the following EXCEPT:,When excess force would otherwise be necessary.,When a substantial portion of the crown is missing or covered by tissue.,When access to the root or fragment of the root is difficult or limited.,When closed technique would pose additional risk to vital structures.,When the tooth to be extracted has advanced periodontal disease.,,,E,
"All of the following are useful techniques for performing extractions, EXCEPT:","When extracting mandibular teeth, the jaw should be supported by having the patient bite on a bite block.","When extracting maxillary teeth, the jaw should be supported by the operator or assistant pushing up on the patient's chin.",The operator's non-dominant hand and/or fingers can be useful for retracting.,The operator's non-dominant hand and/or fingers can be useful for tactile purposes such as determining if inadvertent mobilization of an adjacent tooth or restoration is occurring.,The operator's non-dominant hand and/or fingers can be useful for controlling tooth/restoration fragments that may fracture off during an extraction.,,,B,
Which of the following statements regarding the effects of tooth-specific factors on difficulty of extraction is FALSE?,Extraction of maxillary lateral incisors may be complicated by distal curvature of the root.,"Maxillary second premolars and single rooted first premolars generally have conical roots, making them amenable to extraction by rotational movements.","Extraction of maxillary second molars is generally easier than extraction of maxillary first molars because their roots are generally shorter and less divergent, and their buccal roots are often fused.","Although mandibular premolars often have conical roots making them amenable to extraction by rotation, extraction may be made more difficult due to roots that are curved or have bulbous apices.",Extraction of mandibular second molars may be more difficult than extraction of mandibular first molars because they generally have roots that are more widely divergent.,,,E,
Which of the following statements about extractions is FALSE?,The treatment plan for subsequent tooth replacement should be considered when determining the extraction technique to be used.,Surgical extraction techniques generally provide greater access to safely remove a tooth or root.,Surgical extraction techniques do not allow for contouring or smoothing of bone at the time of extraction.,"Compared to surgical extraction techniques, closed extraction techniques may be more traumatic or morbid, resulting in a greater likelihood of unintended crown or root fracture.","Compared to surgical extraction techniques, closed extraction techniques may be more traumatic or morbid, with an increased risk of sinus exposure when extracting maxillary posterior teeth.",,,C,
Which of the following statements regarding surgical flaps is FALSE?,"When designing a flap, the base should be broader than free margin, allowing for an adequate blood supply to prevent ischemic necrosis of the flap.",Periosteum should be preserved as it is the primary tissue responsible for bone healing.,Improper placement of an incision can result in wound dehiscence and delayed healing.,Incisions in the retromolar region of the mandible should be flared to the buccal to minimize the risk of damaging the lingual nerve.,Releasing incisions carry a much higher risk of complications at the anterior palatine foramen region when compared to the greater palatine foramen region.,,,E,
Which of the following statements about elevating a flap is FALSE?,A sharp scalpel blade should be used when making an incision.,The spearpoint end of the periosteal elevator should be used to elevate the flap.,"When elevating a flap, it is most effective and least damaging to the papilla to elevate from the angled length of the papilla rather than from the apex of the papilla.",Injecting local anesthesia under the periosteum will make it more difficult to elevate a full thickness mucoperiosteal flap.,A retractor should be positioned to rest on bone without placing tension on the soft tissues.,,,D,
Which of the following statements about surgical extractions is TRUE?,The beaks of an extraction forceps should never be placed on the bone overlying a root to be extracted.,"If limited access is preventing extraction of a fractured root, elevation of a flap may enable extraction by allowing for adequate positioning of an elevator and/or forceps, even without removing bone.","Once an extraction is begun, all root fragments should be removed, no matter how much bone needs to be removed to accomplish their removal.","After completing an open extraction, the operator should directly palpate the exposed bony edges and aggressively smooth any sharp areas.",Irrigation prior to closing a flap is only necessary if there may be tooth fragments or debris under the flap as they may result in post-operative infection. Bone fragments or debris cannot result in post-operative infection.,,,B,
"Consider the following statements about bone removal during surgical extractions: I. When sectioning a multi-rooted tooth for extraction, it is important to preserve the buccal and lingual/palatal cortical plates. II. When sectioning a multi-rooted tooth for extraction, it is important to preserve the interseptal bone - the bone between the tooth being extracted and the adjacent teeth). III. When sectioning a multi-rooted tooth for extraction, it is important to preserve the interradicular bone - the bone between the individual roots of the tooth being extracted. Which of the following is correct:",Only I is TRUE.,Only II is TRUE.,Only III is TRUE.,Only I and II are TRUE.,Only I and III are TRUE.,Only II and III are TRUE.,"I, II, and III are TRUE.",D,
Hard and soft tissue surgical procedures are often necessary prior to designing and fabricating prostheses for patients. All of the following are necessary when evaluating a patient for a prosthesis EXCEPT:,Assessment of interarch relationships.,Assessment of skeletal relationships.,"Radiograph examination for the presence of impacted teeth, retained roots, and pathology.",Radiograph examination for the location of the mental and lingual nerves.,"Visual examination and palpation for bony undercuts, protuberances, tori, exostoses, post-tuberosity notching, height of palatal vault, and depth of vestibules.",,,D,
Which of the following statements about INTRASEPTAL ALVEOPLASTY is FALSE?,This procedure is indicated when contouring of irregularities of the buccal bone is necessary.,This procedure results in decreased alveolar ridge thickness.,This procedure maintains alveolar ridge height.,This procedure is useful for the reduction or elimination of buccal undercuts.,This procedure involves the use of a rongeur and/or a surgical handpiece and bur for cutting intraseptal bone.,,,A,
Which of the following statements about pre-prosthetic surgery is FALSE?,Maxillary torus reduction may be made more difficult because the overlying mucosa may be thin and extend into the invaginations between the lobes of the torus.,Mandibular torus reduction may be made more difficult because the overlying mucosa may be thin and extend into the invaginations between the lobes of the torus.,In some cases maxillary or mandibular torus reduction may be effectively accomplished by reduction of excess soft tissue only.,Infection may result from displacement of bone fragments or debris into the floor of the mouth during mandibular torus reduction.,Oro-nasal communication may result as a complication of maxillary tuberosity reduction.,,,C,
Which of the following statements is FALSE?,"When performing soft tissue pre-prosthetic procedures, the operator must be aware that their choice of technique may cause a reduction in vestibular depth.","When performing pre-prosthetic procedures, the operator must be aware that the location where the inferior alveolar nerve exits the mandible may have been altered due to resorption of the mandible.","When performing soft tissue pre-prosthetic procedures, the operator should use a technique that achieves healing by primary intention to achieve the optimal result while promoting the quickest healing and most comfortable post-operative recovery.","When incising the frenum along the base of the tongue during a lingual frenectomy, the operator should cut along a clamp as this helps to avoid cutting into the floor of the mouth and aids in hemostasis.","When removing an epulis, the operator may use different techniques based on the amount of tissue that needs to be removed.",,,C,
Which of the following statements about the transpositional flap vestibuloplasty is TRUE?,All incisions should be made to develop full thickness mucoperiosteal flaps.,The height of the bone does not matter as this is a soft tissue procedure intended to increase the facial vestibular depth.,The lingual vestibular depth does not matter as this procedure is intended to increase the facial vestibular depth.,This procedure yields reliable predictable results.,This procedure does not involve placement of a skin graft.,,,E,
Which of the following statements about the submucosal vestibuloplasty for maxillary ridge extension is FALSE?,This procedure is used to achieve better stability and retention of maxillary dentures.,Adequate pre-operative evaluation must be performed to avoid esthetic changes such as shortening or inversion of the upper lip.,A splint is used to hold the mucosa against the periosteum at the depth of vestibule until healing has occurred.,Submucosal and supraperiosteal tunneling is performed so that tissues can be effectively repositioned without the actual excision of any tissue.,An anterior vertical incision is used to allow entry for submucosal and supraperiosteal tunneling.,,,D,
"BONUS: A throat screen should be used to minimize the risk of aspiration or ingestion of objects such as teeth, restorations, small instruments and other objects.",True,False,,,,,,A,
