title,Oral & Maxillofacial Surgery Midterm Exam (Spring 2021),omfs,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
Which of the following statements is TRUE?,"When treating a patient, dentists should be more concerned with the patient’s blood pressure than with their heart rate.","When treating a patient, dentists should be more concerned with the patient’s heart rate than with their blood pressure.","If a patient’s heart rate is greater than 100, this could be because they are a “trained athlete.”","If a patient is on a medication that slows their heart rate to a value below normal, the medication should be stopped prior to oral surgery procedures.",None of these statements are TRUE.,,,,E,
Which of the following statements related to blood pressure is TRUE?,Blood pressure values that are in the “normotensive” range (around 120/80) should be achieved in all patients prior to any oral surgery procedures are performed.,"If a patient presents with blood pressure of 200/110 but reports that they do not have high blood pressure but that their pressure is elevated because they are very anxious about their anticipated procedure, it is safe to proceed with oral surgery.",Rapid positional changes should be avoided in patients on certain anti-hypertensive medications since orthostatic hypotension may occur.,Medications which reduce a patient’s anxiety do not have any effect on an anxious patient’s blood pressure at dental appointments.,One of the causes of loss of consciousness during a vaso-vagal episode is a sudden extreme increase in blood pressure.,,,,C,
Consider the following radiograph: Which of the following statements is TRUE?,It is an acceptable radiograph to use prior to extracting the tooth with the “X” on it.,It is NOT an acceptable radiograph to use prior to extracting the tooth with the “X” on it.,,,,,,,B,images/omfs-midterm-spring-2021/fig13.jpeg
Which of the following statements is TRUE?,"If a patient is going to undergo radiation therapy with exposure of the jaws and oral cavity, extraction of teeth that would otherwise be amenable to restorative and periodontal treatment may be indicated before the radiation is done.",All impacted teeth do not need to be extracted.,Trismus due to a dentoalveolar infection may make it necessary to achieve resolution of an acute infection with antibiotic therapy prior to extracting the offending tooth.,Extraction of third molars with severe active pericoronitis is associated with an increased incidence of post-operative complications.,All of these statements are TRUE.,,,,E,
Which of the following statements is FALSE?,It is not important to know the restorative treatment plan when extracting a tooth.,Extensive bone pathology distant to a tooth being extracted does not complicate the extraction.,The condition of a tooth adjacent to a tooth to be extracted does not influence whether or not an extraction is complicated.,A patient’s medical status does not influence whether or not an extraction is complicated.,All of these statements are FALSE.,,,,E,
Assume that the maxillary first molar indicated with the “X” that is shown in this radiograph requires extraction. Which of the following statements is TRUE?,It is likely that this tooth can be removed with a closed extraction technique.,The restoration in the adjacent premolar should be removed prior to the first molar extraction to prevent fracture of the premolar.,"Although it is unlikely that this tooth can be removed with a closed extraction technique, the closed technique should be used in case the surgeon gets lucky.",The closed extraction technique should be used until the tooth fractures and then an open technique should be used to remove whatever portion of the tooth remains.,An open extraction technique should be used from the start.,,,,E,images/omfs-midterm-spring-2021/fig17.jpeg
Which of the following statements about forceps is TRUE?,It is important to use the correct forceps when extracting a tooth since the beaks of the forceps were designed to adapt to the crown of the tooth.,The beaks of the forceps should be seated as apically as possible on the tooth being extracted.,"When extracting a tooth, the beaks of the forceps should be parallel to the tooth in the buccal-lingual plane but this is not necessary in the mesial-distal plane.",The position and angulation of the beaks of the forceps is not important when extracting a tooth.,The maxillary universal forceps is also called a 151 forceps.,,,,B,
Which of the following statements about different forces and pressures that are applied during tooth extraction is FALSE?,"When extracting a tooth, pressure is directed in the apical direction, even though the ultimate goal is to move the tooth in the opposite direction.",Rotational forces are most effective when applied to teeth that have single conical roots.,The use of excessive force when applying buccal pressure can result in fracture of the buccal plate of bone or the tooth.,Tractional force should be a strong force as it is the final and ultimate force that removes the tooth.,All of these statements are TRUE.,,,,D,
Which of the following statements about luxation is FALSE?,"During extractions, teeth are luxated with both elevators and forceps.","When luxating a tooth with forceps, the tooth should be held for a few seconds at maximum luxation position.",Most teeth are delivered with a final luxation movement towards the lingual/palatal direction.,Luxation movements may be increased in magnitude as increased mobility is achieved.,Luxation with an elevator is almost exclusively done with the elevator positioned from the buccal.,,,,C,
Which of the following statements about extractions is FALSE?,Supporting the mandible during extraction of lower teeth is beneficial in reducing the chance of mandibular fracture and TMJ injury and increases patient comfort.,A bite block should be used to help support the mandible during extraction of lower teeth.,The surgeon’s non-dominant hand can be used for retraction during an extraction.,The surgeon’s non-dominant hand can be used to provide tactile feedback to the surgeon during an extraction.,None of these statements are FALSE.,,,,E,
Which of the following statements about cowhorn forceps is TRUE?,Cowhorn forceps generally will not be used for mandibular third molar extractions because these teeth often have conical fused roots without a distinct furcation.,Cowhorn forceps are an excellent choice for the extraction of any tooth with a distinct furcation.,Cowhorn forceps generally will not be used for mandibular third molar extractions because these teeth usually have three roots.,Cowhorn forceps are an excellent choice for maxillary third molar extractions.,A cowhorn forceps is also known as a universal forceps because they can be used for the extraction of any tooth.,,,,A,
"All of the following factors may increase the difficulty and/or risk involved in extracting primary teeth, EXCEPT:",The roots of primary teeth are often long and thin and can easily fracture.,"The roots of primary teeth may resorb unevenly and if this occurs mid-root, there is an increased likelihood of fracture.",The roots of primary molars may converge and envelope the crown of the succedaneous tooth.  This may result in the succedaneous tooth being extracted with the primary tooth.,Delayed exfoliation of a primary tooth may result in the tooth being submerged relative to the adjacent teeth making access difficult.,A child may be anxious and uncooperative for dental procedures.,Proximity to the maxillary sinus or inferior alveolar nerve canal often increases the risk of significant permanent damage when primary teeth are extracted.,,,F,
Which of the following statements is FALSE?,Failure to remove excess granulation tissue surrounding a periodontally involved tooth at the time of extraction can result in increased bleeding.,Gauze pressure must be applied directly to an extraction site in order to be effective in achieving hemostasis.,"Following extraction, the boney cortical plates should be compressed, provided this does not result in an alveolar ridge that becomes too narrow for implant placement.","If a fragment of buccal plate fractures during an extraction, the decision to remove or maintain the fragment will depend on both the size of the fragment and whether or not its soft tissue attachment can be maintained.",A throat screen only needs to be used at the final step of an extraction when the tooth is being delivered with the forceps.,,,,E,
Which of the following statements is TRUE when planning a flap to extract a tooth?,An envelope flap should extend at least two teeth anterior to and one tooth posterior to the tooth being extracted.,An envelope flap should extend at least one tooth anterior to and two teeth posterior to the tooth being extracted.,A flap with an anterior vertical release should extend at least two teeth anterior to and one tooth posterior to the tooth being extracted.,A flap with both anterior and posterior vertical releases should extend at least two teeth anterior to and one tooth posterior to the tooth being extracted.,An envelope flap should extend at least two teeth anterior to and two teeth posterior to the tooth being extracted.,,,,A,
You are extracting an impacted tooth from the palate. Consider the following statements: I. You should not incise the neurovascular bundle at the anterior palatine foramen because of the risk of severe uncontrollable bleeding. II. You should not incise the neurovascular bundle at the anterior palatine foramen because of the risk of a permanent significant neurosensory disturbance in the area. III. You should not make a releasing incision at the area of the greater palatine foramen because of the risk of causing difficult to control pulsatile bleeding. Which of the above statements is a TRUE statement that can help guide your surgical approach?,"I, II, and III.",III.,I and II.,II.,I and III.,II and III.,I.,"None of the statements (I, II, III) here are TRUE.",B,
"Your patient presents with pain in their maxillary second bicuspid which has an active periapical infection.  The patient is not planning on replacing this tooth.  While you are extracting the tooth, it fractures. You take a radiograph and determine that the apical portion of the root, which measures approximately 2 mm, remains in it’s original position in the socket.  There is a periapical lesion present which indents the floor of the maxillary sinus. Consider the following statements: I. The fragment should be left in place since it is in its original position and is definitely less than 4 – 5 mm in length. II. The fragment should be left in place since it is deep in the alveolus. III. The fragment should be left in place since the patient is not planning on replacing the tooth with an implant. IV. If an attempt is made to remove the fragment, it may be displaced into the maxillary antrum. V. The fragment would be easier to remove if you had achieved good mobilization of the tooth prior to the occurrence of the fracture. Which of these statements is TRUE?",IV and V.,"I, II, III, IV, and V.","I, II, and III.","I, III, and IV.","I, III, IV, and V.",,,,A,
A new patient presents to your office for upper and lower full dentures. The patient has been edentulous for a long time and has a severely atrophic mandible.  The mandibular left bicuspid/molar area has several sharp boney projections that need to be smoothed out prior to denture construction.  Which of the following statements is TRUE?,The mandible can be exposed with a crestal incision extending from the area of the canine to the area of the third molar without any risk of neurosensory disturbance..,The incision should be flared buccally in the third molar area to protect the mental nerve.,A series of short repeated scalpel strokes should be used to make the necessary incision.,It is not necessary to irrigate under the flap after the bone is smoothed with a bur and handpiece since the surgery was on bone only and there will not be any tooth debris under the flap.,None of these statements are TRUE.,,,,E,
"You are extracting a maxillary molar and decide that you need to section the tooth.  Consider the following statements: I. When sectioning the tooth, it is important to avoid drilling into the buccal and lingual cortical plates. II. When sectioning the tooth, it is important to avoid drilling into the interseptal bone. III. When sectioning the tooth, it is important to avoid drilling into the interradicular bone. Which of the above statements is a FALSE statement?","I, II, and III.",III.,II.,II and III.,I and II.,,,,B,
Which of the following statements about alveoplasty is FALSE?,Simple alveoplasty involves removal of bone.,Intraseptal alveoplasty involves removal of bone.,Simple alveoplasty involves exposure of the buccal cortical bone via elevation of a full-thickness mucoperiosteal flap which may result in post-operative bone resorption.,Intraseptal alveoplasty involves exposure of the buccal cortical bone via elevation of a full-thickness mucoperiosteal flap so that the ridge width can be narrowed without reducing height.,Simple alveoplasty is indicated when there are buccal bone irregularities while intraseptal alveoplasty is indicated when the buccal bone does not have irregularities.,,,,D,
Which of the following statements about flaps for removal of maxillary and mandibular tori is FALSE?,Flap development may be difficult because the mucosa overlying the torus is often extremely thin.,Flap development may be difficult because the torus is often comprised of multiple lobes and the mucosa may extend into invaginations between the lobes or into peripheral undercuts.,Flap elevation may be made easier by injecting local anesthesia into the potential space between the bone and the periostium.,"Since torus removal is strictly a boney procedure, soft tissue removal is not performed, even if excess tissue is present in the flapped tissue following bone reduction.",Wound dehiscence and flap necrosis are potential complications of torus removal.,,,,D,
Which of the following statements regarding the excision of hyperplastic tissue is TRUE?,"After excision of a small area of hyperplastic tissue from the buccal surface of the alveolar ridge, primary closure can be performed, enabling healing by secondary intention.","After excision of a large area of hyperplastic tissue from the buccal surface of the alveolar ridge, the periosteum is removed and the wound left open, allowing healing by primary intention.","After excision of a large area of hyperplastic tissue from the buccal surface of the alveolar ridge, primary closure of the mucosal tissues may result in loss of vestibular depth.",A full-thickness mucoperiosteal flap should be elevated if the surgical plan involves suturing the mucosal margin to the periosteum.,"When excising hyperplastic tissue, surgical technique is not important as each patient will heal differently depending on their medical history.",,,,C,
Which of the following statements about frenectomies is FALSE?,A simple frenectomy involves excision of frenal tissue with suturing of mucosal margins to periostium at the depth of the vestibule.,A simple frenectomy may result in increased loss of vestibular depth when compared with a Z-plasty frenectomy,"When treating a wide buccal frenum with a localized vestibuloplasty with secondary epithelialization, a supraperiosteal incision and dissection should be performed and the mucosal margin should be sutured to the periosteum at the maximum depth of the vestibule.",A stent or denture may be used following frenectomy procedures to help maintain vestibular depth.,"When performing a lingual frenectomy, it is necessary to make the incision deep into the floor of the mouth to prevent regrowth of the frenum.",,,,E,
Which of the following statements about a transpositional flap vestibuloplasty is FALSE?,This procedure is also referred to as a Lip Switch Procedure.,Adequate bone height of at least 15 mm is necessary for the procedure to be beneficial.,Adequate lingual vestibular depth is necessary for the procedure to be beneficial.,The procedure involves developing a thin labial mucosal flap which is extended into a supraperiosteal dissection on the anterior aspect of the mandible.  The flap is then sutured to the depth of the vestibule.,The procedure is very predictable and relapse is exceedingly rare.,,,,E,
Which of the following statements about immediate dentures is TRUE?,Staging of extractions for immediate denture fabrication results in a better denture fit than if all anterior and posterior teeth were extracted at the time of denture insertion.,It is beneficial to extract posterior teeth first when fabricating immediate dentures as the patient can still smile with their remining anterior teeth.,"After immediate dentures are inserted they should be left in for at least the first 24 - 48 hours, otherwise it may not be possible to immediately reinsert them due to swelling.","When planning immediate dentures, the patient should be informed that it is often necessary to make new dentures for a better fit after all healing has occurred.",All of these statements are TRUE.,,,,E,
