title,Preclinical Pediatric Dentistry Exam 2 (Spring 2021),pedo,exam2
question,option_a,option_b,option_c,option_d,correct,image
"How much healthy dentin must insulate the pulp, upon radiographic evaluation of a tooth with a carious lesion, in order to be a suitable candidate for SDF?",1mm,2mm,3mm,Amount is irrelevant,A,
What is the purpose of the silver component of Silver Diamine Fluoride?,To remineralize the tooth structure,To act as a solvent,To make it taste better,To act as an antimicrobial agent,D,
Which of the following is not a contraindication for SDF therapy?,Nickel allergy,Stomatitis,Ulcerative gingivitis,Irreversible pulpitis,A,
Which of the following is not an action of SDF?,Arrest decay,Prevent decay,Decrease dentinal hypersensitivity,Increase dentinal tubules permeability,D,
"Before placing SDF on a tooth, it is important to",Cover the tooth with Vaseline,Coat the tooth with fluoride varnish,Clean the tooth with pumice,Use 37% Phosphoric acid for 20 seconds,C,
The maximum dose of SDF is 1 drop per _____ of body weight per treatment visit.,10 lbs,1 kg,22 lbs,5 kg,C,
SDF treatment is most effective when applied:,Two times per week,One time per month,Two times per year,One time per year,C,
All of the following should be considered when creating a restorative treatment plan for a patient except:,Caries risk assessment,Patient’s oral hygiene,Patient’s ability to pay for treatment,Patient’s ability to cooperate for treatment,C,
"In this 4 year old’s primary molars, the material of choice to restore conservative preparations, when isolation is not ideal is:",Amalgam,IRM,Resin Modified Glass Ionomer,Resin Based Composite,C,images/pedo-exam2-spring-2021/fig31.jpeg
Indication(s) for use of stainless steel crowns include the following:,To properly seal a primary molar after a pulpotomy,To restore primary molars with extensive/ multiple surface caries,High risk patients under sedation/ general anesthesia,All of the answers,D,
The ideal pulpal floor of a class I preparation of a primary molar is:,1.5mm into dentin,2.0mm into dentin,2.5mm into dentin,0.5mm into dentin,D,
The main difference between Atraumatic Restorative Therapy (ART) and Interim Therapeutic Restoration (ITR) is,The age of the patient,The need to provide definitive treatment at a later date,Restorative material of choice,The patient’s access to dental care,B,
"When restoring a primary Class II restoration, it is important to remember that:",Broader contacts need to be fully restored,Primary teeth have a wider occlusal table,Enamel rods are directed cervically,A matrix band is not required,A,
Which of the following materials are being used more progressively in pediatric restorative dentistry?,Silver amalgam alloys,Stainless steel alloys,"Resin based composites, glass ionomers, or some combination",Porcelain,C,
When doing a Preventive Resin Restoration (PRR) one should,Extend into all the grooves of the occlusal table and fill with resin,Extend into all the grooves of the occlusal table and fill with sealant,"Open only affected grooves, fill with resin and leave the rest of the grooves","Open only affected grooves, fill with resin and seal the rest of the grooves",D,
"Which bur, ideally used for a PRR, has a tapered shape and cuts very few dentinal tubules?",330 bur,Fissurotomy bur,556 bur,#2 round bur,B,
"When doing a Preventive Resin Restoration (PRR), the following principles must be followed:","Good isolation, remove decay and unsupported enamel, must have flat floor and sharp line angles, occlusal bevel","Good isolation, remove decay, can leave unsupported enamel, no need for flat floor or sharp line angles, no occlusal bevel","Good isolation, remove decay and unsupported enamel, no need for flat floor or sharp line angles, no occlusal bevel","Good isolation, can leave some decay, remove unsupported enamel, must have flat floor and sharp line angles, must have occlusal bevel",C,
Dental professionals are mandated reporters under state law and may face criminal sanctions for failing to report cases.,True,False,,,A,
"Knees, shins, back and elbows are all non-suspicious area of bruising in a child.",True,False,,,B,
Unattended dental needs could be a physical indicator of Maltreatment/ Neglect.,True,False,,,A,
"As a mandated reporter, it is your responsibility to have clear and sufficient evidence that Child abuse/ Neglect has taken place before you call the Statewide Central Registry (SCR) hotline.",True,False,,,B,
"When a mandated reporter makes an official report to New York State Central Registry, you must provide your name.",True,False,,,B,
The following statements are true regarding an ideal Class II primary molar preparation:,The gingival floor is 1mm wide in a mesiodistal direction; the gingival floor is not parallel to the pulpal floor,The gingival floor is 1.5mm wide in a mesiodistal direction; the gingival floor is not parallel to the pulpal floor,The gingival floor is 1mm wide in a mesiodistal direction; the gingival floor is parallel to the pulpal floor,The gingival floor is 1.5mm wide in a mesiodistal direction; the gingival floor is parallel to the pulpal floor,C,
Which is not an example of an appropriate matrix band that can be used to restore a proximal contact of a primary molar?,Denovo band,Sectional matrix,Mylar strip,T-band,C,
Which statement is true regarding zirconia crowns for primary teeth?,Zirconia crowns are used for anterior and posterior primary teeth,Zirconia crowns are more easily adjusted than stainless steel crowns,Zirconia crowns sometimes require an impression,Zirconia crowns are only indicated to seal a pulpotomy on a primary molar,A,
Which sequence describes the correct procedure for a preventive resin restoration (PRR)?,"Pumice, etch, bond, seal, composite","Etch, excavate, pumice, composite, seal","Pumice, excavate, etch, bond, seal","Pumice, excavate, etch, bond, composite, seal",D,
What is the name of the procedure shown below to restore carious primary maxillary incisors?,Resin infiltrate,Resin celluloid (strip) crowns,Hall technique,SMART,B,images/pedo-exam2-spring-2021/fig49.jpeg
Which of the following is an example of a non-aerosol producing restorative procedure?,SDF,Hall Technique,ART/SMART,All of the answers,D,
